event,comparison,arm,dimension,value,answers,weighted_gain_change
affect_acknowledgement,default,explicit,model,MiniMax-M2.7,256,-0.0008186745894719911
affect_acknowledgement,default,explicit,model,MiniMax-M3,256,-0.01473676108203662
affect_acknowledgement,default,explicit,model,deepseek-v4-pro,256,0.001729961391486183
affect_acknowledgement,default,explicit,model,doubao-seed-2.0-lite,256,-0.0009594940880790015
affect_acknowledgement,default,explicit,model,glm-5.3,256,-9.197468137123611e-05
affect_acknowledgement,default,explicit,domain,language,320,-0.001971592526336107
affect_acknowledgement,default,explicit,domain,logic_and_data,320,-0.004549708075244315
affect_acknowledgement,default,explicit,domain,mathematics,320,-0.0034575203535721815
affect_acknowledgement,default,explicit,domain,science,320,-0.004898122094320062
affect_acknowledgement,default,explicit,progress,correct_partial,640,-0.008738189177179941
affect_acknowledgement,default,explicit,progress,wrong_attempt,640,-0.006138753872292724
affect_acknowledgement,default,explicit,cue_pole,calm,640,-0.012632171165777972
affect_acknowledgement,default,explicit,cue_pole,frustrated,640,-0.002244771883694694
affect_acknowledgement,default,implicit,model,MiniMax-M2.7,256,-0.0013433469915782297
affect_acknowledgement,default,implicit,model,MiniMax-M3,256,-0.013441075108439
affect_acknowledgement,default,implicit,model,deepseek-v4-pro,256,0.003885906899442272
affect_acknowledgement,default,implicit,model,doubao-seed-2.0-lite,256,-0.004651686876223497
affect_acknowledgement,default,implicit,model,glm-5.3,256,0.0003068853195780915
affect_acknowledgement,default,implicit,domain,language,320,-0.0025657011462705244
affect_acknowledgement,default,implicit,domain,logic_and_data,320,-0.004189934420183149
affect_acknowledgement,default,implicit,domain,mathematics,320,-0.003933012343778381
affect_acknowledgement,default,implicit,domain,science,320,-0.004554668846988306
affect_acknowledgement,default,implicit,progress,correct_partial,640,-0.01086293586496384
affect_acknowledgement,default,implicit,progress,wrong_attempt,640,-0.00438038089225652
affect_acknowledgement,default,implicit,cue_pole,calm,640,-0.010920967907681333
affect_acknowledgement,default,implicit,cue_pole,frustrated,640,-0.004322348849539027
affect_acknowledgement,conditional,explicit,model,MiniMax-M2.7,256,0.000267443492483776
affect_acknowledgement,conditional,explicit,model,MiniMax-M3,256,-0.0055773559466852
affect_acknowledgement,conditional,explicit,model,deepseek-v4-pro,256,-0.010557057540898921
affect_acknowledgement,conditional,explicit,model,doubao-seed-2.0-lite,256,-0.0005494280069869792
affect_acknowledgement,conditional,explicit,model,glm-5.3,256,0.0002723991424780042
affect_acknowledgement,conditional,explicit,domain,language,320,-0.0034770568198485736
affect_acknowledgement,conditional,explicit,domain,logic_and_data,320,-0.003996948292157895
affect_acknowledgement,conditional,explicit,domain,mathematics,320,-0.006447901945400586
affect_acknowledgement,conditional,explicit,domain,science,320,-0.0022220918022022667
affect_acknowledgement,conditional,explicit,progress,correct_partial,640,-0.01151595519503346
affect_acknowledgement,conditional,explicit,progress,wrong_attempt,640,-0.004628043664575863
affect_acknowledgement,conditional,explicit,cue_pole,calm,640,-0.011418219587343875
affect_acknowledgement,conditional,explicit,cue_pole,frustrated,640,-0.0047257792722654466
affect_acknowledgement,conditional,implicit,model,MiniMax-M2.7,256,0.0004660925497364437
