group,factor,high,low,metric,mean_difference,bootstrap_ci_low,bootstrap_ci_high,target_metric
ALL,question_policy,question_first,explain_only,question_first,0.809375,0.771875,0.840625,True
ALL,question_policy,question_first,explain_only,answer_reveal_correct,0.015625,-0.009375000000000008,0.046875,False
ALL,question_policy,question_first,explain_only,warmth_marker,0.06250000000000003,0.024999999999999988,0.103125,False
ALL,question_policy,question_first,explain_only,question_any,0.91875,0.88125,0.95625,False
ALL,question_policy,question_first,explain_only,answer_reveal_any,0.006249999999999978,-0.015624999999999993,0.03125000000000001,False
ALL,question_policy,question_first,explain_only,word_count,-7.290625000000006,-10.472421875,-4.418671875000001,False
ALL,question_policy,question_first,explain_only,char_count,-47.72187500000001,-65.6425,-31.665078125000022,False
ALL,question_policy,question_first,explain_only,sentence_count,-0.2999999999999998,-0.6499999999999999,-0.05312499999999987,False
ALL,answer_policy,reveal,withhold,question_first,0.09687499999999999,0.078125,0.11874999999999998,False
ALL,answer_policy,reveal,withhold,answer_reveal_correct,0.921875,0.9,0.95,True
ALL,answer_policy,reveal,withhold,warmth_marker,-0.03125,-0.07812499999999999,0.009374999999999984,False
ALL,answer_policy,reveal,withhold,question_any,-0.050000000000000044,-0.09062500000000002,-0.015624999999999972,False
ALL,answer_policy,reveal,withhold,answer_reveal_any,0.93125,0.9092968749999999,0.95625,False
ALL,answer_policy,reveal,withhold,word_count,-14.140625,-19.505546874999997,-8.965312499999998,False
ALL,answer_policy,reveal,withhold,char_count,-80.74062500000002,-108.909921875,-52.261328125,False
ALL,answer_policy,reveal,withhold,sentence_count,0.025000000000000355,-0.3407031250000003,0.4187499999999996,False
ALL,tone_policy,warm,neutral,question_first,-0.10312499999999997,-0.125,-0.078125,False
ALL,tone_policy,warm,neutral,answer_reveal_correct,0.015625,-0.00937499999999998,0.04062499999999999,False
ALL,tone_policy,warm,neutral,warmth_marker,0.55,0.496875,0.596875,True
ALL,tone_policy,warm,neutral,question_any,0.025000000000000022,0.003124999999999989,0.046874999999999986,False
ALL,tone_policy,warm,neutral,answer_reveal_any,0.006249999999999978,-0.012499999999999983,0.028124999999999983,False
ALL,tone_policy,warm,neutral,word_count,27.121875000000003,21.171796875,32.228515625,False
ALL,tone_policy,warm,neutral,char_count,147.27187500000002,114.741328125,176.04062499999998,False
ALL,tone_policy,warm,neutral,sentence_count,1.4625000000000004,1.2249999999999996,1.646875,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_first,0.53125,0.421875,0.640625,True
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_correct,0.015625,-0.0625,0.09375,False
MiniMax-M2.7,question_policy,question_first,explain_only,warmth_marker,0.15625,0.046875,0.28125,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_any,0.796875,0.71875,0.890625,False
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_any,0.0,-0.0625,0.078125,False
MiniMax-M2.7,question_policy,question_first,explain_only,word_count,-15.671875,-26.71875,-6.96875,False
MiniMax-M2.7,question_policy,question_first,explain_only,char_count,-95.3125,-149.505859375,-48.63750000000002,False
MiniMax-M2.7,question_policy,question_first,explain_only,sentence_count,-1.03125,-1.6875,-0.453125,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_first,0.28125,0.1875,0.375,False
MiniMax-M2.7,answer_policy,reveal,withhold,answer_reveal_correct,0.828125,0.71875,0.9375,True
MiniMax-M2.7,answer_policy,reveal,withhold,warmth_marker,0.09375,-0.015625,0.21875,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_any,-0.140625,-0.234375,-0.03125,False
MiniMax-M2.7,answer_policy,reveal,withhold,answer_reveal_any,0.84375,0.71875,0.953125,False
MiniMax-M2.7,answer_policy,reveal,withhold,word_count,-15.453125,-25.922265625,-3.4355468750000107,False
MiniMax-M2.7,answer_policy,reveal,withhold,char_count,-87.75,-146.1,-21.233984375000002,False
MiniMax-M2.7,answer_policy,reveal,withhold,sentence_count,-0.5,-1.1875,0.42226562499999787,False
MiniMax-M2.7,tone_policy,warm,neutral,question_first,-0.09375,-0.1875,0.0,False
MiniMax-M2.7,tone_policy,warm,neutral,answer_reveal_correct,0.015625,-0.078125,0.09375,False
MiniMax-M2.7,tone_policy,warm,neutral,warmth_marker,0.53125,0.390625,0.671875,True
MiniMax-M2.7,tone_policy,warm,neutral,question_any,0.078125,0.015625,0.15625,False
MiniMax-M2.7,tone_policy,warm,neutral,answer_reveal_any,0.0,-0.09375,0.0625,False
MiniMax-M2.7,tone_policy,warm,neutral,word_count,29.234375,18.842578125,40.266406249999996,False
MiniMax-M2.7,tone_policy,warm,neutral,char_count,167.0625,113.0921875,226.74140624999995,False
MiniMax-M2.7,tone_policy,warm,neutral,sentence_count,1.90625,1.421875,2.421875,False
MiniMax-M3,question_policy,question_first,explain_only,question_first,0.65625,0.59375,0.734375,True
MiniMax-M3,question_policy,question_first,explain_only,answer_reveal_correct,0.046875,-0.015625,0.125,False
MiniMax-M3,question_policy,question_first,explain_only,warmth_marker,0.0625,0.015625,0.125,False
MiniMax-M3,question_policy,question_first,explain_only,question_any,0.828125,0.734375,0.921875,False
MiniMax-M3,question_policy,question_first,explain_only,answer_reveal_any,0.046875,-0.015625,0.125,False
MiniMax-M3,question_policy,question_first,explain_only,word_count,-21.34375,-32.578515625,-12.12304687500001,False
MiniMax-M3,question_policy,question_first,explain_only,char_count,-120.90625,-177.644921875,-71.98164062500001,False
MiniMax-M3,question_policy,question_first,explain_only,sentence_count,-1.328125,-2.281640625,-0.46835937500000213,False
MiniMax-M3,answer_policy,reveal,withhold,question_first,0.09375,0.0625,0.125,False
MiniMax-M3,answer_policy,reveal,withhold,answer_reveal_correct,0.828125,0.765625,0.890625,True
MiniMax-M3,answer_policy,reveal,withhold,warmth_marker,0.0625,-0.0625,0.203125,False
MiniMax-M3,answer_policy,reveal,withhold,question_any,-0.078125,-0.1875,0.015625,False
MiniMax-M3,answer_policy,reveal,withhold,answer_reveal_any,0.828125,0.765625,0.890625,False
MiniMax-M3,answer_policy,reveal,withhold,word_count,-1.8125,-13.144921875,11.563671874999994,False
MiniMax-M3,answer_policy,reveal,withhold,char_count,-6.53125,-70.251953125,69.52851562499984,False
MiniMax-M3,answer_policy,reveal,withhold,sentence_count,0.203125,-0.5625,1.0160156249999979,False
MiniMax-M3,tone_policy,warm,neutral,question_first,-0.34375,-0.40625,-0.265625,False
MiniMax-M3,tone_policy,warm,neutral,answer_reveal_correct,0.015625,-0.0625,0.09414062499999787,False
MiniMax-M3,tone_policy,warm,neutral,warmth_marker,0.5625,0.40625,0.734375,True
MiniMax-M3,tone_policy,warm,neutral,question_any,0.015625,-0.06289062499999998,0.109375,False
MiniMax-M3,tone_policy,warm,neutral,answer_reveal_any,0.015625,-0.0625,0.09375,False
MiniMax-M3,tone_policy,warm,neutral,word_count,40.9375,32.890234375,48.0,False
MiniMax-M3,tone_policy,warm,neutral,char_count,222.71875,176.544921875,263.096484375,False
MiniMax-M3,tone_policy,warm,neutral,sentence_count,2.765625,2.25,3.21875,False
deepseek-v4-pro,question_policy,question_first,explain_only,question_first,0.953125,0.890625,1.0,True
deepseek-v4-pro,question_policy,question_first,explain_only,answer_reveal_correct,0.015625,0.0,0.046875,False
deepseek-v4-pro,question_policy,question_first,explain_only,warmth_marker,-0.015625,-0.15625,0.140625,False
deepseek-v4-pro,question_policy,question_first,explain_only,question_any,0.984375,0.953125,1.0,False
