model,event,arm,sources,mean_difference,source_standard_error,t_statistic,p_one_sided_gain,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,neutral_equivalence_margin,supports_neutral_equivalence,degenerate_source_interval,frozen_numerical_equivalence_flag,equivalence_support_for_narrative,interpretation_note,bounded_source_half_width,bounded_source_95_low,bounded_source_95_high,nondegenerate_t_equivalence_flag,bounded_source_equivalence_support
MiniMax-M2.7,affect_acknowledgement,neutral_a,16,0.0859375,0.0355733360761024,2.415784109090945,0.0144590684249013,,0.0234375,0.15625,0.0016666666666666,-0.0500228438359625,0.2218978438359625,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.8554761202923832,1.0,False,False
MiniMax-M2.7,affect_acknowledgement,neutral_b,16,0.0234375,0.0364769297810273,0.642529405317179,0.2651142983592494,,-0.046875,0.09375,0.0016666666666666,-0.11597635493053,0.16285135493053,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9179761202923832,0.9648511202923832,False,False
MiniMax-M2.7,answer_reveal,neutral_a,16,-0.015625,0.0106739070478745,-1.4638501094227998,0.9180621931721732,,-0.0390625,0.0,0.0016666666666666,-0.0564203886921795,0.0251703886921795,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9570386202923832,0.9257886202923832,True,False
MiniMax-M2.7,answer_reveal,neutral_b,16,-0.0234375,0.0125972777317164,-1.8605210188381267,0.958734646826519,,-0.046875,0.0,0.0016666666666666,-0.0715839602627435,0.0247089602627435,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9648511202923832,0.9179761202923832,True,False
MiniMax-M2.7,reasoning_elicitation,neutral_a,16,0.015625,0.0409442583479865,0.3816163884860883,0.3540487514051577,,-0.0546875,0.09375,0.0016666666666666,-0.1408628658327579,0.1721128658327579,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9257886202923832,0.9570386202923832,False,False
MiniMax-M2.7,reasoning_elicitation,neutral_b,16,0.0625,0.0228217732293819,2.7386127875258306,0.0076155135222004,,0.015625,0.109375,0.0016666666666666,-0.0247242099693757,0.1497242099693757,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.8789136202923832,1.0,False,False
MiniMax-M3,affect_acknowledgement,neutral_a,16,-0.0078125,0.0448793956760783,-0.1740776559556978,0.5679339705674713,,-0.09375,0.0703125,0.0016666666666666,-0.1793403559822483,0.1637153559822483,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9492261202923832,0.9336011202923832,False,False
MiniMax-M3,affect_acknowledgement,neutral_b,16,0.015625,0.0339941018168348,0.4596385597769217,0.3261835209709719,,-0.046875,0.078125,0.0016666666666666,-0.11429955252226,0.14554955252226,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9257886202923832,0.9570386202923832,False,False
MiniMax-M3,answer_reveal,neutral_a,16,-0.0390625,0.045240603881727,-0.8634389607645712,0.7992540594387977,,-0.125,0.046875,0.0016666666666666,-0.2119708841320766,0.1338458841320766,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9804761202923832,0.9023511202923832,False,False
MiniMax-M3,answer_reveal,neutral_b,16,-0.046875,0.0545757787392905,-0.8588975014708023,0.7980428778761895,,-0.1484375,0.0546875,0.0016666666666666,-0.2554621740180724,0.1617121740180724,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9882886202923832,0.8945386202923832,False,False
MiniMax-M3,reasoning_elicitation,neutral_a,16,-0.0234375,0.0667500292602932,-0.3511234415883917,0.6348106186275799,,-0.1484375,0.1015625,0.0016666666666666,-0.2785543355387024,0.2316793355387024,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9648511202923832,0.9179761202923832,False,False
