task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_fraction,negative_fraction,bh_q_within_task
mathdial_hard,deepseek-v4-pro,affective_warmth,40,2.325,2.3,-0.025,0.0,-0.35,0.325,0.9244382436758459,0.225,0.35,0.9441071424774596
mathdial_hard,deepseek-v4-pro,autonomy_support,40,1.825,3.125,1.3,1.5,0.8,1.775,2.654888923169171e-05,0.625,0.15,7.496156959536481e-05
mathdial_hard,deepseek-v4-pro,cognitive_load,40,2.2,1.4,-0.8,-1.0,-1.125,-0.475,9.419693176163335e-05,0.125,0.6,0.00025119181803102226
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,40,3.85,3.1,-0.75,-1.0,-1.25,-0.225,0.011735966637779613,0.2,0.525,0.023471933275559225
mathdial_hard,deepseek-v4-pro,elicitation,40,2.025,4.125,2.1,2.5,1.5493750000000002,2.675,3.199408609933725e-06,0.675,0.075,1.7551168225875655e-05
mathdial_hard,deepseek-v4-pro,epistemic_caution,40,1.125,1.325,0.2,0.0,-0.025,0.425,0.0968310210241573,0.25,0.075,0.14084512148968334
mathdial_hard,deepseek-v4-pro,help_directness,40,3.925,2.225,-1.7,-2.0,-2.175,-1.2243750000000035,3.5342680746079035e-06,0.05,0.7,1.7551168225875655e-05
mathdial_hard,deepseek-v4-pro,personalization,40,2.95,2.975,0.025,0.0,-0.175,0.225,0.7477301646241347,0.075,0.075,0.7802401717817058
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,40,3.825,3.0,-0.825,-1.0,-1.25,-0.425,0.0010653032220364893,0.15,0.6,0.0024349787932262616
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,40,1.9,3.5,1.6,2.0,1.1,2.075,5.446184991168879e-06,0.775,0.15,2.010899073662355e-05
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,40,2.475,1.425,-1.05,-1.0,-1.35,-0.725,6.4035127998386805e-06,0.075,0.7,2.1866530078751306e-05
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,40,3.8,3.0,-0.8,-1.0,-1.25,-0.35,0.0016629063826387584,0.175,0.525,0.003628159380302746
mathdial_hard,doubao-seed-2.0-pro,elicitation,40,1.85,4.7,2.85,3.5,2.35,3.3,1.7223926904677195e-07,0.85,0.0,5.836903160295026e-06
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,40,1.1,1.35,0.25,0.0,0.0,0.5,0.11797695483005739,0.225,0.05,0.16655570093655162
mathdial_hard,doubao-seed-2.0-pro,help_directness,40,3.975,2.1,-1.875,-2.0,-2.3,-1.425,7.12218098868039e-07,0.05,0.8,7.839351482446781e-06
mathdial_hard,doubao-seed-2.0-pro,personalization,40,3.125,3.075,-0.05,0.0,-0.225,0.125,0.5886881339518899,0.05,0.1,0.6279340095486826
mathdial_hard,glm-5.2,affective_warmth,40,2.9,2.45,-0.45,-1.0,-0.800625,-0.1,0.019669393946981268,0.225,0.55,0.03631272728673465
mathdial_hard,glm-5.2,autonomy_support,40,2.975,3.175,0.2,0.0,-0.225,0.625,0.35390521734155167,0.35,0.35,0.40446310553320197
mathdial_hard,glm-5.2,cognitive_load,40,1.775,1.575,-0.2,0.0,-0.475,0.1,0.19277759410321904,0.225,0.45,0.25703679213762537
mathdial_hard,glm-5.2,diagnostic_specificity,40,3.425,3.125,-0.3,0.0,-0.7,0.07562499999999658,0.12484980136312773,0.225,0.375,0.17122258472657517
mathdial_hard,glm-5.2,elicitation,40,3.45,4.35,0.9,0.0,0.35,1.4006249999999965,0.0036018886807145144,0.475,0.125,0.007516985072795509
mathdial_hard,glm-5.2,epistemic_caution,40,1.2,1.3,0.1,0.0,-0.1,0.35,0.37191943368177693,0.15,0.1,0.4151658794587278
