task,model,dimension,contexts,raw_mean,mean_item_centered_score,centered_across_models
mathdial_hard,deepseek-v4-pro,affective_warmth,40,2.325,-0.575,-0.5749999999999997
mathdial_hard,deepseek-v4-pro,autonomy_support,40,1.825,-0.012499999999999973,-0.012500000000000178
mathdial_hard,deepseek-v4-pro,cognitive_load,40,2.2,-0.05833333333333328,-0.058333333333333126
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,40,3.85,0.4041666666666666,0.4041666666666668
mathdial_hard,deepseek-v4-pro,elicitation,40,2.025,0.0958333333333333,0.09583333333333344
mathdial_hard,deepseek-v4-pro,epistemic_caution,40,1.125,-0.012499999999999994,-0.012499999999999956
mathdial_hard,deepseek-v4-pro,help_directness,40,3.925,-0.075,-0.07500000000000018
mathdial_hard,deepseek-v4-pro,personalization,40,2.95,0.00416666666666668,0.004166666666666874
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,40,3.825,0.925,0.9250000000000003
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,40,1.9,0.06250000000000003,0.06249999999999978
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,40,2.475,0.2166666666666667,0.21666666666666679
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,40,3.8,0.35416666666666663,0.3541666666666665
mathdial_hard,doubao-seed-2.0-pro,elicitation,40,1.85,-0.0791666666666667,-0.07916666666666639
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,40,1.1,-0.0375,-0.03749999999999987
mathdial_hard,doubao-seed-2.0-pro,help_directness,40,3.975,-0.024999999999999994,-0.02499999999999991
mathdial_hard,doubao-seed-2.0-pro,personalization,40,3.125,0.17916666666666667,0.1791666666666667
mathdial_hard,glm-5.2,affective_warmth,40,2.9,-2.7755575615628914e-17,0.0
mathdial_hard,glm-5.2,autonomy_support,40,2.975,1.1375,1.1375
mathdial_hard,glm-5.2,cognitive_load,40,1.775,-0.4833333333333333,-0.4833333333333334
mathdial_hard,glm-5.2,diagnostic_specificity,40,3.425,-0.020833333333333363,-0.02083333333333348
mathdial_hard,glm-5.2,elicitation,40,3.45,1.5208333333333333,1.5208333333333337
mathdial_hard,glm-5.2,epistemic_caution,40,1.2,0.0625,0.0625
mathdial_hard,glm-5.2,help_directness,40,3.075,-0.925,-0.9249999999999998
mathdial_hard,glm-5.2,personalization,40,3.0,0.054166666666666675,0.054166666666666696
mathdial_hard,minimax-m2.7,affective_warmth,40,2.275,-0.625,-0.625
mathdial_hard,minimax-m2.7,autonomy_support,40,1.475,-0.36249999999999993,-0.36250000000000004
mathdial_hard,minimax-m2.7,cognitive_load,40,2.425,0.1666666666666667,0.16666666666666652
mathdial_hard,minimax-m2.7,diagnostic_specificity,40,2.925,-0.5208333333333334,-0.5208333333333335
mathdial_hard,minimax-m2.7,elicitation,40,1.5,-0.4291666666666667,-0.4291666666666665
mathdial_hard,minimax-m2.7,epistemic_caution,40,1.125,-0.0125,-0.012499999999999956
mathdial_hard,minimax-m2.7,help_directness,40,4.6,0.6,0.5999999999999996
mathdial_hard,minimax-m2.7,personalization,40,2.8,-0.14583333333333331,-0.14583333333333348
mathdial_hard,minimax-m3,affective_warmth,40,2.9,5.551115123125783e-18,0.0
mathdial_hard,minimax-m3,autonomy_support,40,1.45,-0.38749999999999996,-0.3875000000000002
mathdial_hard,minimax-m3,cognitive_load,40,2.625,0.3666666666666667,0.3666666666666667
mathdial_hard,minimax-m3,diagnostic_specificity,40,3.5,0.05416666666666664,0.054166666666666696
mathdial_hard,minimax-m3,elicitation,40,1.5,-0.4291666666666667,-0.4291666666666665
mathdial_hard,minimax-m3,epistemic_caution,40,1.125,-0.012499999999999999,-0.012499999999999956
mathdial_hard,minimax-m3,help_directness,40,4.5,0.5,0.5
mathdial_hard,minimax-m3,personalization,40,2.95,0.004166666666666671,0.004166666666666874
mathdial_hard,qwen3.5-4b,affective_warmth,40,3.175,0.275,0.2749999999999999
mathdial_hard,qwen3.5-4b,autonomy_support,40,1.4,-0.4374999999999999,-0.4375000000000002
mathdial_hard,qwen3.5-4b,cognitive_load,40,2.05,-0.20833333333333331,-0.20833333333333348
mathdial_hard,qwen3.5-4b,diagnostic_specificity,40,3.175,-0.27083333333333337,-0.2708333333333335
mathdial_hard,qwen3.5-4b,elicitation,40,1.25,-0.6791666666666667,-0.6791666666666665
mathdial_hard,qwen3.5-4b,epistemic_caution,40,1.15,0.0125,0.012499999999999956
mathdial_hard,qwen3.5-4b,help_directness,40,3.925,-0.07500000000000001,-0.07500000000000018
mathdial_hard,qwen3.5-4b,personalization,40,2.85,-0.09583333333333333,-0.09583333333333321
mathdial_standard,deepseek-v4-pro,affective_warmth,79,2.4683544303797467,-0.620253164556962,-0.6202531645569622
mathdial_standard,deepseek-v4-pro,autonomy_support,79,2.2658227848101267,0.3523206751054852,0.3523206751054855
mathdial_standard,deepseek-v4-pro,cognitive_load,79,1.9620253164556962,-0.23206751054852323,-0.23206751054852304
mathdial_standard,deepseek-v4-pro,diagnostic_specificity,79,3.8734177215189876,0.23839662447257381,0.23839662447257393
mathdial_standard,deepseek-v4-pro,elicitation,79,2.4430379746835444,0.4620253164556962,0.4620253164556962
mathdial_standard,deepseek-v4-pro,epistemic_caution,79,1.3544303797468353,0.16455696202531644,0.16455696202531644
mathdial_standard,deepseek-v4-pro,help_directness,79,3.329113924050633,-0.44936708860759494,-0.44936708860759467
mathdial_standard,deepseek-v4-pro,personalization,79,2.848101265822785,0.010548523206751046,0.010548523206751259
mathdial_standard,doubao-seed-2.0-pro,affective_warmth,79,3.9240506329113924,0.8354430379746836,0.8354430379746836
mathdial_standard,doubao-seed-2.0-pro,autonomy_support,79,1.7088607594936709,-0.2046413502109705,-0.2046413502109703
mathdial_standard,doubao-seed-2.0-pro,cognitive_load,79,2.3037974683544302,0.10970464135021096,0.10970464135021096
mathdial_standard,doubao-seed-2.0-pro,diagnostic_specificity,79,3.7468354430379747,0.11181434599156116,0.11181434599156104
mathdial_standard,doubao-seed-2.0-pro,elicitation,79,1.7088607594936709,-0.27215189873417717,-0.27215189873417733
