source_family,model,event,arm,present
active_passive_voice,MiniMax-M2.7,affect_acknowledgement,canonical,0.375
active_passive_voice,MiniMax-M2.7,answer_reveal,canonical,1.0
active_passive_voice,MiniMax-M2.7,reasoning_elicitation,canonical,0.0
active_passive_voice,MiniMax-M3,affect_acknowledgement,canonical,0.625
active_passive_voice,MiniMax-M3,answer_reveal,canonical,1.0
active_passive_voice,MiniMax-M3,reasoning_elicitation,canonical,0.625
active_passive_voice,deepseek-v4-pro,affect_acknowledgement,canonical,0.5
active_passive_voice,deepseek-v4-pro,answer_reveal,canonical,1.0
active_passive_voice,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
active_passive_voice,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.5
active_passive_voice,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
active_passive_voice,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
active_passive_voice,glm-5.3,affect_acknowledgement,canonical,0.75
active_passive_voice,glm-5.3,answer_reveal,canonical,0.25
active_passive_voice,glm-5.3,reasoning_elicitation,canonical,1.0
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,ask,0.0
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,canonical,0.125
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,explain,0.25
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,neutral_a,0.125
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,neutral_b,0.375
all_different_constraint,MiniMax-M2.7,answer_reveal,ask,0.0
all_different_constraint,MiniMax-M2.7,answer_reveal,canonical,1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,explain,1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,neutral_a,1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,neutral_b,1.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,ask,1.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,canonical,0.125
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,explain,0.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,neutral_a,0.125
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,neutral_b,0.125
all_different_constraint,MiniMax-M3,affect_acknowledgement,ask,0.375
all_different_constraint,MiniMax-M3,affect_acknowledgement,canonical,0.625
all_different_constraint,MiniMax-M3,affect_acknowledgement,explain,0.625
all_different_constraint,MiniMax-M3,affect_acknowledgement,neutral_a,0.625
all_different_constraint,MiniMax-M3,affect_acknowledgement,neutral_b,0.625
all_different_constraint,MiniMax-M3,answer_reveal,ask,0.0
all_different_constraint,MiniMax-M3,answer_reveal,canonical,0.625
all_different_constraint,MiniMax-M3,answer_reveal,explain,1.0
all_different_constraint,MiniMax-M3,answer_reveal,neutral_a,0.375
all_different_constraint,MiniMax-M3,answer_reveal,neutral_b,0.5
all_different_constraint,MiniMax-M3,reasoning_elicitation,ask,1.0
all_different_constraint,MiniMax-M3,reasoning_elicitation,canonical,0.5
all_different_constraint,MiniMax-M3,reasoning_elicitation,explain,0.125
all_different_constraint,MiniMax-M3,reasoning_elicitation,neutral_a,0.625
all_different_constraint,MiniMax-M3,reasoning_elicitation,neutral_b,0.625
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,ask,0.375
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,canonical,0.75
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,explain,0.25
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,neutral_a,0.5
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,neutral_b,0.375
all_different_constraint,deepseek-v4-pro,answer_reveal,ask,0.0
all_different_constraint,deepseek-v4-pro,answer_reveal,canonical,1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,explain,1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,neutral_a,1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,neutral_b,1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,ask,1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,explain,0.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,neutral_a,0.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,neutral_b,0.0
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,ask,0.5
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.625
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,explain,0.375
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,0.375
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,0.5
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,ask,0.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,explain,1.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,neutral_a,1.0
