model,source,n,expressed_confidence,accuracy,overconfidence_gap,brier,high_confidence_wrong_rate
deepseek-v4-pro,agieval,100,0.943,0.66,0.2829999999999999,0.2958,0.3
deepseek-v4-pro,ceval,200,0.9482499999999999,0.725,0.22324999999999995,0.2279045,0.195
deepseek-v4-pro,mmlu_pro,149,0.9314093959731545,0.6577181208053692,0.27369127516778535,0.2863114093959731,0.2348993288590604
deepseek-v4-pro,mtb_problem_solving,100,0.971,0.65,0.32099999999999995,0.32835000000000003,0.32
doubao-seed-2.0-pro,agieval,100,0.9812000000000001,0.68,0.3012,0.306824,0.3
doubao-seed-2.0-pro,ceval,200,0.9830500000000001,0.765,0.21805000000000008,0.2171105,0.215
doubao-seed-2.0-pro,mmlu_pro,150,0.9541999999999999,0.6266666666666667,0.32753333333333323,0.33698466666666665,0.36666666666666664
doubao-seed-2.0-pro,mtb_problem_solving,100,0.9889,0.68,0.30889999999999995,0.305683,0.32
glm-5.2,agieval,100,0.9438000000000001,0.66,0.28380000000000005,0.31602199999999997,0.3
glm-5.2,ceval,200,0.9592499999999998,0.665,0.2942499999999998,0.3060365,0.305
glm-5.2,mmlu_pro,150,0.9136000000000002,0.6333333333333333,0.2802666666666669,0.3040973333333334,0.21333333333333335
glm-5.2,mtb_problem_solving,100,0.9735999999999998,0.73,0.24359999999999982,0.24930799999999997,0.24
minimax-m2.7,agieval,100,0.9421,0.48,0.46210000000000007,0.459535,0.47
minimax-m2.7,ceval,200,0.93275,0.58,0.35275,0.3605175,0.325
minimax-m2.7,mmlu_pro,146,0.9195205479452054,0.4794520547945205,0.4400684931506849,0.4281719178082192,0.3493150684931507
minimax-m2.7,mtb_problem_solving,100,0.968,0.33,0.6379999999999999,0.6247499999999999,0.62
minimax-m3,agieval,98,0.8840816326530613,0.5714285714285714,0.3126530612244899,0.35669183673469385,0.24489795918367346
minimax-m3,ceval,200,0.86005,0.56,0.30004999999999993,0.3305635,0.185
minimax-m3,mmlu_pro,147,0.829795918367347,0.5782312925170068,0.25156462585034023,0.2843700680272109,0.14285714285714285
minimax-m3,mtb_problem_solving,100,0.9372999999999999,0.67,0.26729999999999987,0.281231,0.24
qwen3.5-4b,agieval,100,0.9547999999999999,0.54,0.41479999999999984,0.42054,0.41
qwen3.5-4b,ceval,195,0.9592307692307693,0.5128205128205128,0.44641025641025656,0.4399523076923077,0.4564102564102564
qwen3.5-4b,mmlu_pro,150,0.9376666666666669,0.5533333333333333,0.3843333333333335,0.386862,0.38
qwen3.5-4b,mtb_problem_solving,100,0.9723,0.58,0.3923000000000001,0.38779700000000006,0.39
