event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,20,0.95,0.9655172413793104,0.9090909090909091
affect_acknowledgement,MiniMax-M3,glm-5.3,20,0.95,0.9655172413793104,0.9090909090909091
affect_acknowledgement,deepseek-v4-pro,glm-5.3,20,1.0,1.0,1.0
answer_reveal,MiniMax-M3,deepseek-v4-pro,20,0.95,0.9696969696969697,0.8571428571428571
answer_reveal,MiniMax-M3,glm-5.3,20,0.95,0.9696969696969697,0.8571428571428571
answer_reveal,deepseek-v4-pro,glm-5.3,20,1.0,1.0,1.0
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,20,0.9,0.8,0.9333333333333333
epistemic_qualification,MiniMax-M3,glm-5.3,20,1.0,1.0,1.0
epistemic_qualification,deepseek-v4-pro,glm-5.3,20,0.9,0.8,0.9333333333333333
information_request,MiniMax-M3,deepseek-v4-pro,20,1.0,,1.0
information_request,MiniMax-M3,glm-5.3,20,1.0,,1.0
information_request,deepseek-v4-pro,glm-5.3,20,1.0,,1.0
learner_choice,MiniMax-M3,deepseek-v4-pro,20,1.0,1.0,1.0
learner_choice,MiniMax-M3,glm-5.3,20,0.95,0.8,0.9714285714285714
learner_choice,deepseek-v4-pro,glm-5.3,20,0.95,0.8,0.9714285714285714
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,20,0.95,0.9230769230769231,0.9629629629629629
reasoning_elicitation,MiniMax-M3,glm-5.3,20,0.9,0.8571428571428571,0.9230769230769231
reasoning_elicitation,deepseek-v4-pro,glm-5.3,20,0.95,0.9333333333333333,0.96
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,20,0.9,0.5,0.9444444444444444
unsupported_ability_claim,MiniMax-M3,glm-5.3,20,0.9,0.5,0.9444444444444444
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,20,1.0,1.0,1.0
worked_explanation,MiniMax-M3,deepseek-v4-pro,20,0.95,0.9743589743589743,0.0
worked_explanation,MiniMax-M3,glm-5.3,20,0.95,0.9743589743589743,0.0
worked_explanation,deepseek-v4-pro,glm-5.3,20,1.0,1.0,
