panel,model,event,present
all_three,MiniMax-M2.7,affect_acknowledgement,0.3854166666666667
all_three,MiniMax-M2.7,answer_reveal,0.96875
all_three,MiniMax-M2.7,epistemic_qualification,0.28125
all_three,MiniMax-M2.7,information_request,0.010416666666666666
all_three,MiniMax-M2.7,learner_choice,0.21875
all_three,MiniMax-M2.7,reasoning_elicitation,0.22916666666666666
all_three,MiniMax-M2.7,unsupported_ability_claim,0.08333333333333333
all_three,MiniMax-M2.7,worked_explanation,1.0
all_three,MiniMax-M3,affect_acknowledgement,0.8645833333333334
all_three,MiniMax-M3,answer_reveal,0.875
all_three,MiniMax-M3,epistemic_qualification,0.25
all_three,MiniMax-M3,information_request,0.0
all_three,MiniMax-M3,learner_choice,0.28125
all_three,MiniMax-M3,reasoning_elicitation,0.4479166666666667
all_three,MiniMax-M3,unsupported_ability_claim,0.3020833333333333
all_three,MiniMax-M3,worked_explanation,1.0
all_three,deepseek-v4-pro,affect_acknowledgement,0.8333333333333334
all_three,deepseek-v4-pro,answer_reveal,1.0
all_three,deepseek-v4-pro,epistemic_qualification,0.2604166666666667
all_three,deepseek-v4-pro,information_request,0.03125
all_three,deepseek-v4-pro,learner_choice,0.0625
all_three,deepseek-v4-pro,reasoning_elicitation,0.20833333333333334
all_three,deepseek-v4-pro,unsupported_ability_claim,0.05208333333333333
all_three,deepseek-v4-pro,worked_explanation,0.9791666666666666
all_three,doubao-seed-2.0-lite,affect_acknowledgement,0.6979166666666666
all_three,doubao-seed-2.0-lite,answer_reveal,1.0
all_three,doubao-seed-2.0-lite,epistemic_qualification,0.21875
all_three,doubao-seed-2.0-lite,information_request,0.0
all_three,doubao-seed-2.0-lite,learner_choice,0.03125
all_three,doubao-seed-2.0-lite,reasoning_elicitation,0.020833333333333332
all_three,doubao-seed-2.0-lite,unsupported_ability_claim,0.041666666666666664
all_three,doubao-seed-2.0-lite,worked_explanation,1.0
all_three,glm-5.3,affect_acknowledgement,0.6979166666666666
all_three,glm-5.3,answer_reveal,0.16666666666666666
all_three,glm-5.3,epistemic_qualification,0.21875
all_three,glm-5.3,information_request,0.010416666666666666
all_three,glm-5.3,learner_choice,0.14583333333333331
all_three,glm-5.3,reasoning_elicitation,1.0
all_three,glm-5.3,unsupported_ability_claim,0.020833333333333332
all_three,glm-5.3,worked_explanation,0.7291666666666666
without_MiniMax-M3,MiniMax-M2.7,affect_acknowledgement,0.390625
without_MiniMax-M3,MiniMax-M2.7,answer_reveal,0.984375
without_MiniMax-M3,MiniMax-M2.7,epistemic_qualification,0.328125
without_MiniMax-M3,MiniMax-M2.7,information_request,0.015625
without_MiniMax-M3,MiniMax-M2.7,learner_choice,0.234375
without_MiniMax-M3,MiniMax-M2.7,reasoning_elicitation,0.265625
without_MiniMax-M3,MiniMax-M2.7,unsupported_ability_claim,0.0625
without_MiniMax-M3,MiniMax-M2.7,worked_explanation,1.0
without_MiniMax-M3,MiniMax-M3,affect_acknowledgement,0.875
without_MiniMax-M3,MiniMax-M3,answer_reveal,0.890625
without_MiniMax-M3,MiniMax-M3,epistemic_qualification,0.28125
without_MiniMax-M3,MiniMax-M3,information_request,0.0
without_MiniMax-M3,MiniMax-M3,learner_choice,0.265625
without_MiniMax-M3,MiniMax-M3,reasoning_elicitation,0.484375
without_MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0.25
without_MiniMax-M3,MiniMax-M3,worked_explanation,1.0
without_MiniMax-M3,deepseek-v4-pro,affect_acknowledgement,0.828125
without_MiniMax-M3,deepseek-v4-pro,answer_reveal,1.0
