group,order,factors,metric,interaction,bootstrap_ci_low,bootstrap_ci_high
ALL,2,question_policy*answer_policy,question_first,0.19374999999999998,0.15625,0.23749999999999996
ALL,2,question_policy*answer_policy,answer_reveal_correct,0.03125,-0.02499999999999998,0.09374999999999999
ALL,2,question_policy*answer_policy,warmth_marker,0.012500000000000039,-0.075,0.11250000000000002
ALL,2,question_policy*answer_policy,question_any,0.08750000000000002,0.018750000000000017,0.175
ALL,2,question_policy*answer_policy,answer_reveal_any,0.012499999999999956,-0.031249999999999972,0.06250000000000001
ALL,2,question_policy*answer_policy,word_count,14.96875,8.024687499999997,22.95109375
ALL,2,question_policy*answer_policy,char_count,84.89375000000001,45.058125,132.16531249999997
ALL,2,question_policy*answer_policy,sentence_count,1.0750000000000002,0.525,1.7126562499999993
ALL,2,question_policy*tone_policy,question_first,-0.20624999999999993,-0.25625,-0.16249999999999998
ALL,2,question_policy*tone_policy,answer_reveal_correct,0.018750000000000044,-0.03125000000000001,0.062499999999999986
ALL,2,question_policy*tone_policy,warmth_marker,0.12500000000000006,0.049999999999999975,0.20624999999999996
ALL,2,question_policy*tone_policy,question_any,-0.06249999999999989,-0.13124999999999998,-0.006249999999999978
ALL,2,question_policy*tone_policy,answer_reveal_any,0.03750000000000003,0.0,0.08124999999999999
ALL,2,question_policy*tone_policy,word_count,4.293749999999996,-3.8581250000000042,11.275781249999994
ALL,2,question_policy*tone_policy,char_count,21.54374999999999,-27.20718750000001,58.62203124999991
ALL,2,question_policy*tone_policy,sentence_count,0.47500000000000053,-0.03125000000000017,0.8375000000000001
ALL,2,answer_policy*tone_policy,question_first,0.11875000000000002,0.06875000000000003,0.16875
ALL,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,-0.01874999999999996,0.08124999999999998
ALL,2,answer_policy*tone_policy,warmth_marker,-0.0625,-0.1625,0.012499999999999983
ALL,2,answer_policy*tone_policy,question_any,-0.025000000000000022,-0.06874999999999999,0.012500000000000025
ALL,2,answer_policy*tone_policy,answer_reveal_any,0.012499999999999956,-0.024999999999999967,0.05640624999999913
ALL,2,answer_policy*tone_policy,word_count,-11.306250000000006,-16.22515625,-5.1929687500000075
ALL,2,answer_policy*tone_policy,char_count,-58.11874999999992,-88.48187500000002,-20.73078125000002
ALL,2,answer_policy*tone_policy,sentence_count,-0.6000000000000005,-0.9687499999999998,-0.18749999999999967
ALL,3,question_policy*answer_policy*tone_policy,question_first,0.23750000000000004,0.12500000000000008,0.35
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.03750000000000009,-0.05000000000000003,0.12499999999999997
ALL,3,question_policy*answer_policy*tone_policy,warmth_marker,0.025000000000000078,-0.16249999999999998,0.22500000000000003
ALL,3,question_policy*answer_policy*tone_policy,question_any,0.02499999999999991,-0.03749999999999998,0.07500000000000002
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.07500000000000007,0.0,0.16249999999999998
ALL,3,question_policy*answer_policy*tone_policy,word_count,-5.662500000000016,-17.855624999999986,11.12625
ALL,3,question_policy*answer_policy*tone_policy,char_count,-22.28749999999991,-83.87500000000001,63.26249999999985
ALL,3,question_policy*answer_policy*tone_policy,sentence_count,-0.34999999999999964,-1.1499999999999995,0.5878124999999982
MiniMax-M2.7,2,question_policy*answer_policy,question_first,0.5625,0.375,0.71875
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_correct,0.03125,-0.125,0.21875
MiniMax-M2.7,2,question_policy*answer_policy,warmth_marker,0.0625,-0.125,0.3125
MiniMax-M2.7,2,question_policy*answer_policy,question_any,0.21875,0.0625,0.375
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_any,0.0,-0.125,0.15625
MiniMax-M2.7,2,question_policy*answer_policy,word_count,16.84375,2.81171875,33.31562499999998
MiniMax-M2.7,2,question_policy*answer_policy,char_count,103.875,24.26796875,202.3171875
MiniMax-M2.7,2,question_policy*answer_policy,sentence_count,0.375,-0.09375,0.90625
MiniMax-M2.7,2,question_policy*tone_policy,question_first,-0.1875,-0.375,0.0
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_correct,-0.09375,-0.1875,-0.030468750000004263
MiniMax-M2.7,2,question_policy*tone_policy,warmth_marker,0.3125,0.09375,0.5625
MiniMax-M2.7,2,question_policy*tone_policy,question_any,-0.21875,-0.4375,-0.0625
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_any,-0.0625,-0.125,0.0
MiniMax-M2.7,2,question_policy*tone_policy,word_count,4.84375,-16.03125,22.25546874999997
MiniMax-M2.7,2,question_policy*tone_policy,char_count,27.625,-83.846875,123.20156249999992
MiniMax-M2.7,2,question_policy*tone_policy,sentence_count,0.5625,-1.1875,2.25
MiniMax-M2.7,2,answer_policy*tone_policy,question_first,0.1875,0.0625,0.34375
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,-0.125,0.15625
MiniMax-M2.7,2,answer_policy*tone_policy,warmth_marker,0.1875,-0.0625,0.4375
MiniMax-M2.7,2,answer_policy*tone_policy,question_any,-0.09375,-0.28125,0.0
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_any,0.0,-0.15625,0.125
MiniMax-M2.7,2,answer_policy*tone_policy,word_count,-15.34375,-26.71875,-3.40078125000003
MiniMax-M2.7,2,answer_policy*tone_policy,char_count,-92.125,-157.7828125,-24.966406250000013
MiniMax-M2.7,2,answer_policy*tone_policy,sentence_count,-0.25,-2.06328125,1.1875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_first,0.375,0.125,0.6875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,-0.1875,-0.375,-0.0625
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,warmth_marker,0.125,-0.25,0.625
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_any,0.0625,0.0,0.1875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_any,-0.125,-0.25,0.0
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,word_count,3.5625,-18.128125,30.9375
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,char_count,40.25,-96.8125,203.57499999999993
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,sentence_count,-1.5,-4.3125,2.0640624999999915
MiniMax-M3,2,question_policy*answer_policy,question_first,0.1875,0.125,0.25
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_correct,0.09375,-0.03125,0.25
MiniMax-M3,2,question_policy*answer_policy,warmth_marker,0.125,-0.0625,0.34375
MiniMax-M3,2,question_policy*answer_policy,question_any,0.15625,-0.03125,0.375
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_any,0.09375,-0.0625,0.25
MiniMax-M3,2,question_policy*answer_policy,word_count,31.25,17.4359375,45.50234374999999
MiniMax-M3,2,question_policy*answer_policy,char_count,164.8125,93.71640625,236.71249999999986
MiniMax-M3,2,question_policy*answer_policy,sentence_count,2.15625,1.1875,3.21875
MiniMax-M3,2,question_policy*tone_policy,question_first,-0.6875,-0.8125,-0.53125
MiniMax-M3,2,question_policy*tone_policy,answer_reveal_correct,0.21875,0.09375,0.34375
MiniMax-M3,2,question_policy*tone_policy,warmth_marker,0.125,0.03125,0.25
MiniMax-M3,2,question_policy*tone_policy,question_any,-0.03125,-0.21875,0.15625
MiniMax-M3,2,question_policy*tone_policy,answer_reveal_any,0.21875,0.09375,0.34375
MiniMax-M3,2,question_policy*tone_policy,word_count,12.0,-5.0328125,28.846874999999983
MiniMax-M3,2,question_policy*tone_policy,char_count,64.4375,-21.03359375,152.6875
MiniMax-M3,2,question_policy*tone_policy,sentence_count,0.90625,-0.53125,2.34375
MiniMax-M3,2,answer_policy*tone_policy,question_first,0.1875,0.09375,0.25
MiniMax-M3,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,-0.125,0.21875
MiniMax-M3,2,answer_policy*tone_policy,warmth_marker,0.125,-0.125,0.40625
MiniMax-M3,2,answer_policy*tone_policy,question_any,0.03125,-0.09375,0.15625
MiniMax-M3,2,answer_policy*tone_policy,answer_reveal_any,0.03125,-0.125,0.21875
MiniMax-M3,2,answer_policy*tone_policy,word_count,-14.8125,-31.75703125,5.658593749999987
MiniMax-M3,2,answer_policy*tone_policy,char_count,-75.1875,-183.21875,52.25
MiniMax-M3,2,answer_policy*tone_policy,sentence_count,-1.15625,-2.6875,0.3125
MiniMax-M3,3,question_policy*answer_policy*tone_policy,question_first,0.375,0.1875,0.5
MiniMax-M3,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.4375,0.1875,0.6875
MiniMax-M3,3,question_policy*answer_policy*tone_policy,warmth_marker,0.25,-0.125,0.6875
MiniMax-M3,3,question_policy*answer_policy*tone_policy,question_any,-0.0625,-0.3125,0.1875
MiniMax-M3,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.4375,0.1875,0.6875
MiniMax-M3,3,question_policy*answer_policy*tone_policy,word_count,-22.625,-49.5,11.076562499999923
MiniMax-M3,3,question_policy*answer_policy*tone_policy,char_count,-128.875,-280.5859375,49.75937499999995
MiniMax-M3,3,question_policy*answer_policy*tone_policy,sentence_count,-0.8125,-2.8125,1.375
deepseek-v4-pro,2,question_policy*answer_policy,question_first,0.09375,0.0,0.21875
deepseek-v4-pro,2,question_policy*answer_policy,answer_reveal_correct,0.03125,0.0,0.09375
deepseek-v4-pro,2,question_policy*answer_policy,warmth_marker,-0.03125,-0.21875,0.1875
deepseek-v4-pro,2,question_policy*answer_policy,question_any,0.03125,0.0,0.09375
deepseek-v4-pro,2,question_policy*answer_policy,answer_reveal_any,0.0,0.0,0.0
deepseek-v4-pro,2,question_policy*answer_policy,word_count,19.84375,3.625,40.875
deepseek-v4-pro,2,question_policy*answer_policy,char_count,109.125,15.2765625,228.23359374999993
deepseek-v4-pro,2,question_policy*answer_policy,sentence_count,1.21875,-0.0625,2.75
deepseek-v4-pro,2,question_policy*tone_policy,question_first,-0.03125,-0.09375,0.0
deepseek-v4-pro,2,question_policy*tone_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
deepseek-v4-pro,2,question_policy*tone_policy,warmth_marker,-0.03125,-0.3125,0.28125
deepseek-v4-pro,2,question_policy*tone_policy,question_any,-0.03125,-0.09375,0.0
deepseek-v4-pro,2,question_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
deepseek-v4-pro,2,question_policy*tone_policy,word_count,2.84375,-3.84375,8.625781249999996
deepseek-v4-pro,2,question_policy*tone_policy,char_count,4.625,-25.221875,31.815624999999983
deepseek-v4-pro,2,question_policy*tone_policy,sentence_count,0.71875,0.0,1.34375
deepseek-v4-pro,2,answer_policy*tone_policy,question_first,0.03125,0.0,0.09375
deepseek-v4-pro,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.09375
deepseek-v4-pro,2,answer_policy*tone_policy,warmth_marker,-0.15625,-0.375,0.09375
deepseek-v4-pro,2,answer_policy*tone_policy,question_any,-0.03125,-0.09375,0.0
deepseek-v4-pro,2,answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
deepseek-v4-pro,2,answer_policy*tone_policy,word_count,-4.03125,-15.43984375,6.410156249999979
deepseek-v4-pro,2,answer_policy*tone_policy,char_count,-13.8125,-78.65625,41.6875
deepseek-v4-pro,2,answer_policy*tone_policy,sentence_count,-0.15625,-1.125,0.90625
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,question_first,0.0625,0.0,0.1875
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,-0.0625,-0.1875,0.0
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.0625,-0.4375,0.375
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,question_any,0.0625,0.0,0.1875
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,word_count,-16.0625,-34.0640625,0.565624999999983
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,char_count,-70.375,-167.4390625,23.065624999999983
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,sentence_count,-1.5625,-2.875,-0.1875
doubao-seed-2.0-lite,2,question_policy*answer_policy,question_first,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,answer_reveal_correct,0.03125,0.0,0.09375
doubao-seed-2.0-lite,2,question_policy*answer_policy,warmth_marker,-0.1875,-0.40625,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,word_count,4.875,-3.12578125,14.063281249999996
doubao-seed-2.0-lite,2,question_policy*answer_policy,char_count,25.53125,-23.503125,81.875
doubao-seed-2.0-lite,2,question_policy*answer_policy,sentence_count,0.84375,0.46875,1.25
doubao-seed-2.0-lite,2,question_policy*tone_policy,question_first,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,warmth_marker,0.125,-0.0625,0.3125
doubao-seed-2.0-lite,2,question_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,word_count,-10.6875,-16.375,-3.90625
doubao-seed-2.0-lite,2,question_policy*tone_policy,char_count,-67.96875,-96.71875,-36.65468750000001
doubao-seed-2.0-lite,2,question_policy*tone_policy,sentence_count,-0.21875,-0.65625,0.21875
doubao-seed-2.0-lite,2,answer_policy*tone_policy,question_first,0.0,0.0,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.09375
doubao-seed-2.0-lite,2,answer_policy*tone_policy,warmth_marker,-0.25,-0.46875,-0.03125
doubao-seed-2.0-lite,2,answer_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,word_count,-16.0625,-19.59375,-11.874218750000004
doubao-seed-2.0-lite,2,answer_policy*tone_policy,char_count,-86.09375,-103.25234375,-66.59296875000001
doubao-seed-2.0-lite,2,answer_policy*tone_policy,sentence_count,-0.46875,-0.9375,0.0625
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,question_first,0.0,0.0,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,-0.0625,-0.1875,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.375,-0.8125,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,word_count,8.0,-6.875,23.875
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,char_count,59.3125,-10.759374999999999,132.12656249999998
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,sentence_count,0.9375,0.0,1.9375
glm-5.2,2,question_policy*answer_policy,question_first,0.125,0.03125,0.21875
glm-5.2,2,question_policy*answer_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
glm-5.2,2,question_policy*answer_policy,warmth_marker,0.09375,-0.125,0.28125
glm-5.2,2,question_policy*answer_policy,question_any,0.03125,0.0,0.09375
glm-5.2,2,question_policy*answer_policy,answer_reveal_any,-0.03125,-0.09375,0.0
glm-5.2,2,question_policy*answer_policy,word_count,2.03125,-6.75,9.65625
glm-5.2,2,question_policy*answer_policy,char_count,21.125,-28.70078125,67.91093749999997
glm-5.2,2,question_policy*answer_policy,sentence_count,0.78125,-0.03125,1.5625
glm-5.2,2,question_policy*tone_policy,question_first,-0.125,-0.21875,-0.06171875000000426
glm-5.2,2,question_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.09375
glm-5.2,2,question_policy*tone_policy,warmth_marker,0.09375,-0.15625,0.3125
glm-5.2,2,question_policy*tone_policy,question_any,-0.03125,-0.09375,0.0
glm-5.2,2,question_policy*tone_policy,answer_reveal_any,0.03125,0.0,0.09375
glm-5.2,2,question_policy*tone_policy,word_count,12.46875,-2.56328125,29.65625
glm-5.2,2,question_policy*tone_policy,char_count,79.0,-10.764843749999999,179.09375
glm-5.2,2,question_policy*tone_policy,sentence_count,0.40625,-0.1875,1.0
