classifier_variant,family,model,pair_id,target_act,generic,pedagogy,delta
char_svm,hard,deepseek-v4-flash,0,probing,0,1,1
char_svm,hard,deepseek-v4-flash,1,probing,0,1,1
char_svm,hard,deepseek-v4-flash,2,probing,0,0,0
char_svm,hard,deepseek-v4-flash,3,probing,0,1,1
char_svm,hard,deepseek-v4-flash,4,probing,0,0,0
char_svm,hard,deepseek-v4-flash,5,probing,0,1,1
char_svm,hard,deepseek-v4-flash,6,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,7,probing,0,1,1
char_svm,hard,deepseek-v4-flash,8,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,9,probing,0,1,1
char_svm,hard,deepseek-v4-flash,10,probing,0,0,0
char_svm,hard,deepseek-v4-flash,11,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,12,probing,0,0,0
char_svm,hard,deepseek-v4-flash,13,probing,0,0,0
char_svm,hard,deepseek-v4-flash,14,probing,0,0,0
char_svm,hard,deepseek-v4-flash,15,probing,0,1,1
char_svm,hard,deepseek-v4-flash,16,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,17,probing,0,0,0
char_svm,hard,deepseek-v4-flash,18,probing,0,0,0
char_svm,hard,deepseek-v4-flash,19,probing,1,1,0
char_svm,hard,deepseek-v4-flash,20,probing,0,1,1
char_svm,hard,deepseek-v4-flash,21,probing,0,1,1
char_svm,hard,deepseek-v4-flash,22,probing,0,0,0
char_svm,hard,deepseek-v4-flash,23,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,24,probing,0,1,1
char_svm,hard,deepseek-v4-flash,25,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,26,probing,0,0,0
char_svm,hard,deepseek-v4-flash,27,probing,0,1,1
char_svm,hard,deepseek-v4-flash,28,probing,0,0,0
char_svm,hard,deepseek-v4-flash,29,probing,0,0,0
char_svm,hard,deepseek-v4-flash,30,probing,0,0,0
char_svm,hard,deepseek-v4-flash,31,probing,0,0,0
char_svm,hard,deepseek-v4-flash,32,probing,0,0,0
char_svm,hard,deepseek-v4-flash,33,probing,0,0,0
char_svm,hard,deepseek-v4-flash,34,probing,0,0,0
char_svm,hard,deepseek-v4-flash,35,probing,0,0,0
char_svm,hard,deepseek-v4-flash,36,probing,0,1,1
char_svm,hard,deepseek-v4-flash,37,probing,0,0,0
char_svm,hard,deepseek-v4-flash,38,probing,0,0,0
char_svm,hard,deepseek-v4-flash,39,probing,0,0,0
char_svm,hard,deepseek-v4-flash,40,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,41,probing,0,1,1
char_svm,hard,deepseek-v4-flash,42,probing,0,0,0
char_svm,hard,deepseek-v4-flash,43,probing,0,0,0
char_svm,hard,deepseek-v4-flash,44,probing,0,0,0
char_svm,hard,deepseek-v4-flash,45,probing,0,0,0
char_svm,hard,deepseek-v4-flash,46,probing,0,1,1
char_svm,hard,deepseek-v4-flash,47,probing,0,0,0
char_svm,hard,deepseek-v4-flash,48,probing,0,1,1
char_svm,hard,deepseek-v4-flash,49,probing,0,1,1
char_svm,hard,deepseek-v4-flash,50,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,51,probing,0,0,0
char_svm,hard,deepseek-v4-flash,52,probing,0,0,0
char_svm,hard,deepseek-v4-flash,53,probing,0,0,0
char_svm,hard,deepseek-v4-flash,54,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,55,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,56,probing,0,0,0
char_svm,hard,deepseek-v4-flash,57,probing,0,1,1
char_svm,hard,deepseek-v4-flash,58,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,59,probing,0,1,1
char_svm,hard,deepseek-v4-flash,60,probing,0,0,0
char_svm,hard,deepseek-v4-flash,61,probing,0,0,0
char_svm,hard,deepseek-v4-flash,62,probing,0,0,0
char_svm,hard,deepseek-v4-flash,63,probing,0,0,0
char_svm,hard,deepseek-v4-flash,64,probing,1,1,0
char_svm,hard,deepseek-v4-flash,65,probing,0,0,0
char_svm,hard,deepseek-v4-flash,66,probing,0,0,0
char_svm,hard,deepseek-v4-flash,67,probing,0,1,1
char_svm,hard,deepseek-v4-flash,68,probing,0,1,1
char_svm,hard,deepseek-v4-flash,69,probing,0,1,1
char_svm,hard,deepseek-v4-flash,70,probing,0,0,0
char_svm,hard,deepseek-v4-flash,71,probing,1,1,0
char_svm,hard,deepseek-v4-flash,72,probing,0,1,1
char_svm,hard,deepseek-v4-flash,73,probing,0,0,0
char_svm,hard,deepseek-v4-flash,74,probing,0,0,0
char_svm,hard,deepseek-v4-flash,75,probing,0,1,1
char_svm,hard,deepseek-v4-flash,76,probing,0,0,0
char_svm,hard,deepseek-v4-flash,77,probing,1,1,0
char_svm,hard,deepseek-v4-flash,78,probing,0,1,1
char_svm,hard,deepseek-v4-flash,79,probing,0,0,0
char_svm,hard,deepseek-v4-flash,80,probing,0,0,0
char_svm,hard,deepseek-v4-flash,81,probing,0,0,0
char_svm,hard,deepseek-v4-flash,82,probing,0,0,0
char_svm,hard,deepseek-v4-flash,83,probing,0,0,0
char_svm,hard,deepseek-v4-flash,84,probing,0,1,1
char_svm,hard,deepseek-v4-flash,85,probing,0,0,0
char_svm,hard,deepseek-v4-flash,86,probing,0,1,1
char_svm,hard,deepseek-v4-flash,87,probing,0,0,0
char_svm,hard,deepseek-v4-flash,88,probing,0,0,0
char_svm,hard,deepseek-v4-flash,89,probing,1,1,0
char_svm,hard,deepseek-v4-flash,90,probing,1,1,0
char_svm,hard,deepseek-v4-flash,91,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,92,probing,0,0,0
char_svm,hard,deepseek-v4-flash,93,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,94,probing,0,0,0
char_svm,hard,deepseek-v4-flash,95,probing,0,0,0
char_svm,hard,deepseek-v4-flash,96,probing,0,0,0
char_svm,hard,deepseek-v4-flash,97,probing,0,0,0
char_svm,hard,deepseek-v4-flash,98,probing,0,0,0
char_svm,hard,deepseek-v4-flash,99,probing,0,0,0
char_svm,hard,deepseek-v4-flash,100,probing,1,0,-1
char_svm,hard,deepseek-v4-flash,101,probing,0,0,0
char_svm,hard,deepseek-v4-flash,102,probing,0,0,0
char_svm,hard,deepseek-v4-flash,103,probing,0,1,1
char_svm,hard,deepseek-v4-flash,104,probing,0,1,1
char_svm,hard,deepseek-v4-flash,105,probing,0,0,0
char_svm,hard,deepseek-v4-flash,106,probing,0,0,0
char_svm,hard,deepseek-v4-flash,107,probing,0,0,0
char_svm,hard,deepseek-v4-flash,108,probing,0,1,1
char_svm,hard,deepseek-v4-flash,109,probing,0,0,0
char_svm,hard,deepseek-v4-flash,110,probing,0,1,1
char_svm,hard,deepseek-v4-flash,111,probing,0,0,0
