classifier_variant,benchmark,family,arm,pair_id,item_id,model,target_act,target_source,predicted_act,act_match,response_sha256
char_svm,mathtutorbench_scaffolding,standard,generic,1,scaffolding-1,deepseek-v4-flash,focus,exact_human_lookup,probing,0,4f646e2966fa293f888d8ab6f075334d985d50a0a7d4ec187ecb1213bffc6be2
word_svm,mathtutorbench_scaffolding,standard,generic,1,scaffolding-1,deepseek-v4-flash,focus,exact_human_lookup,focus,1,4f646e2966fa293f888d8ab6f075334d985d50a0a7d4ec187ecb1213bffc6be2
hybrid_svm,mathtutorbench_scaffolding,standard,generic,1,scaffolding-1,deepseek-v4-flash,focus,exact_human_lookup,focus,1,4f646e2966fa293f888d8ab6f075334d985d50a0a7d4ec187ecb1213bffc6be2
char_svm,mathtutorbench_scaffolding,standard,generic,0,scaffolding-0,deepseek-v4-flash,probing,exact_human_lookup,telling,0,bb8a6651412b1d33d46d4b5cd23ed28800e376c80e4dab93e908d14e5da210d5
word_svm,mathtutorbench_scaffolding,standard,generic,0,scaffolding-0,deepseek-v4-flash,probing,exact_human_lookup,probing,1,bb8a6651412b1d33d46d4b5cd23ed28800e376c80e4dab93e908d14e5da210d5
hybrid_svm,mathtutorbench_scaffolding,standard,generic,0,scaffolding-0,deepseek-v4-flash,probing,exact_human_lookup,probing,1,bb8a6651412b1d33d46d4b5cd23ed28800e376c80e4dab93e908d14e5da210d5
char_svm,mathtutorbench_scaffolding,standard,generic,4,scaffolding-4,deepseek-v4-flash,probing,exact_human_lookup,telling,0,f8f9161e3bc4684d1a662979b8712a6c91126900dd2c4a03a01ec18fcbcf5487
word_svm,mathtutorbench_scaffolding,standard,generic,4,scaffolding-4,deepseek-v4-flash,probing,exact_human_lookup,focus,0,f8f9161e3bc4684d1a662979b8712a6c91126900dd2c4a03a01ec18fcbcf5487
hybrid_svm,mathtutorbench_scaffolding,standard,generic,4,scaffolding-4,deepseek-v4-flash,probing,exact_human_lookup,focus,0,f8f9161e3bc4684d1a662979b8712a6c91126900dd2c4a03a01ec18fcbcf5487
char_svm,mathtutorbench_scaffolding,standard,generic,6,scaffolding-6,deepseek-v4-flash,probing,exact_human_lookup,telling,0,07e111423d8380e28997bfccd06701d473ca004c2821d28e30b68365bcf733e9
word_svm,mathtutorbench_scaffolding,standard,generic,6,scaffolding-6,deepseek-v4-flash,probing,exact_human_lookup,telling,0,07e111423d8380e28997bfccd06701d473ca004c2821d28e30b68365bcf733e9
