group,contrast,metric,mean_difference,bootstrap_ci_low,bootstrap_ci_high
ALL,direct_minus_explore_reveal,answer_reveal_correct,0.009375000000000022,0.0,0.021875000000000006
ALL,explore_minus_direct_question,question_first,0.009375000000000022,0.0031250000000000028,0.018750000000000017
MiniMax-M2.7,direct_minus_explore_reveal,answer_reveal_correct,0.015625,0.0,0.046875
MiniMax-M2.7,explore_minus_direct_question,question_first,0.0,0.0,0.0
MiniMax-M3,direct_minus_explore_reveal,answer_reveal_correct,0.015625,0.0,0.046875
MiniMax-M3,explore_minus_direct_question,question_first,0.03125,0.0,0.078125
deepseek-v4-pro,direct_minus_explore_reveal,answer_reveal_correct,0.0,0.0,0.0
deepseek-v4-pro,explore_minus_direct_question,question_first,0.015625,0.0,0.046875
doubao-seed-2.0-lite,direct_minus_explore_reveal,answer_reveal_correct,0.015625,0.0,0.046875
doubao-seed-2.0-lite,explore_minus_direct_question,question_first,0.0,0.0,0.0
glm-5.2,direct_minus_explore_reveal,answer_reveal_correct,0.0,0.0,0.0
glm-5.2,explore_minus_direct_question,question_first,0.0,0.0,0.0
