sample_id,base_id,problem_family,learner_need,question_policy,answer_policy,tone_policy,model,prompt_sha256,response_sha256,question_first,question_any,answer_reveal_any,answer_reveal_correct,warmth_marker,word_count,char_count,sentence_count
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M2.7,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,9afbd7734414578390415d58e1e2a2af5773165a9af2cace32e6e1ef8d963a7a,0,0,1,1,0,33,171,3
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M3,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,95df9b168a80aa8dba9510f9dec7ee80ebb13e8b6485926983b9b65d018d018c,0,0,1,1,0,46,232,3
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,deepseek-v4-pro,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,5d3462c52d8241cd9b362971cc8a0f997a6666462f208572b283514179d06b4b,0,0,1,1,0,35,164,3
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,doubao-seed-2.0-lite,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,60dcf67f3998b6df5f29abdb18363438e8f896fceb0ca737b49c782d9f0aa44a,0,0,1,1,0,61,333,5
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,glm-5.2,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,75cccfb356bf182bddda2c2ddcffaef3c78162f33c789715686b9d3d6cf117a6,0,0,1,1,0,34,171,3
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M2.7,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,5e7c0fb135479e7d44e616ccee20de1e9d0f39cecd7d2d77f398d08d5871754e,0,0,1,1,0,51,255,3
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M3,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,06e75648423c159ba8ddea100fcea699c784a0fbb067d1c290b51366a8b520b5,0,0,1,1,1,76,420,4
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,deepseek-v4-pro,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,5448328efc2eed56ad89f03e63064478d9433f72dca2a4a8e4a32b3fc9c5b695,0,0,1,1,1,44,231,4
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,doubao-seed-2.0-lite,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,e5df99e6cea8cc759ae71f4344d38d86e0ebff1ca5962c7df24ff40ef887a982,0,0,1,1,0,94,511,5
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,glm-5.2,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,bc6ad447acb9b72daad60ad49786a247694d7844d57d5d24760a3b2d97dc1e80,0,0,1,1,1,62,294,6
