pair,model,axis,relative_centered_displacement
standard,deepseek-v4-pro,communal_expression,0.06341090538432467
standard,deepseek-v4-pro,dialogic_engagement,0.058046299273092294
standard,deepseek-v4-pro,directive_expression,-0.0015203327025643532
standard,deepseek-v4-pro,epistemic_caution_language,-0.05488706939741947
standard,deepseek-v4-pro,boundary_refusal_expression,-0.016745982285128684
standard,deepseek-v4-pro,organizational_style,0.001661391495222187
standard,deepseek-v4-pro,verbosity,-0.18014347965403515
standard,doubao-seed-2.0-pro,communal_expression,-0.049765325777575704
standard,doubao-seed-2.0-pro,dialogic_engagement,-0.0572474066866314
standard,doubao-seed-2.0-pro,directive_expression,0.14620278230129202
standard,doubao-seed-2.0-pro,epistemic_caution_language,-0.04665148126014823
standard,doubao-seed-2.0-pro,boundary_refusal_expression,0.0557555699491854
standard,doubao-seed-2.0-pro,organizational_style,0.001661391495222187
standard,doubao-seed-2.0-pro,verbosity,-0.713948053754251
standard,glm-5.2,communal_expression,-0.038521311547050074
standard,glm-5.2,dialogic_engagement,-0.3310544792212773
standard,glm-5.2,directive_expression,0.08281590118489644
standard,glm-5.2,epistemic_caution_language,-0.021895761569910646
standard,glm-5.2,boundary_refusal_expression,0.004826195361254856
standard,glm-5.2,organizational_style,0.001661391495222187
standard,glm-5.2,verbosity,0.04754260614431674
standard,minimax-m2.7,communal_expression,0.16658999580989023
standard,minimax-m2.7,dialogic_engagement,0.18870508067238329
standard,minimax-m2.7,directive_expression,-0.11168187354838419
standard,minimax-m2.7,epistemic_caution_language,0.07967302619390845
standard,minimax-m2.7,boundary_refusal_expression,0.015745911938067684
standard,minimax-m2.7,organizational_style,-0.02313546978311845
standard,minimax-m2.7,verbosity,0.10063549313776021
standard,minimax-m3,communal_expression,0.04951604631972367
standard,minimax-m3,dialogic_engagement,0.08689048050615227
standard,minimax-m3,directive_expression,0.029401913832325748
standard,minimax-m3,epistemic_caution_language,-0.04497080803407462
standard,minimax-m3,boundary_refusal_expression,-0.07791123215707824
standard,minimax-m3,organizational_style,0.001661391495222187
standard,minimax-m3,verbosity,0.4351219505156042
standard,qwen3.5-4b,communal_expression,-0.19123031018931272
standard,qwen3.5-4b,dialogic_engagement,0.05466002545628096
standard,qwen3.5-4b,directive_expression,-0.14521839106756568
standard,qwen3.5-4b,epistemic_caution_language,0.08873209406764453
standard,qwen3.5-4b,boundary_refusal_expression,0.018329537193698987
standard,qwen3.5-4b,organizational_style,0.0164899038022297
standard,qwen3.5-4b,verbosity,0.3107914836106048
hard,deepseek-v4-pro,communal_expression,0.025135749430789486
hard,deepseek-v4-pro,dialogic_engagement,0.07998063361743936
hard,deepseek-v4-pro,directive_expression,-0.025239317865163965
hard,deepseek-v4-pro,epistemic_caution_language,-0.047364344972969256
hard,deepseek-v4-pro,boundary_refusal_expression,-0.03685358922128391
hard,deepseek-v4-pro,organizational_style,0.0
hard,deepseek-v4-pro,verbosity,-0.005007519902088253
hard,doubao-seed-2.0-pro,communal_expression,-0.02331745711220215
hard,doubao-seed-2.0-pro,dialogic_engagement,-0.10715483101523399
hard,doubao-seed-2.0-pro,directive_expression,0.15591139334842735
hard,doubao-seed-2.0-pro,epistemic_caution_language,-0.06660646009854422
hard,doubao-seed-2.0-pro,boundary_refusal_expression,0.024347655449425156
hard,doubao-seed-2.0-pro,organizational_style,0.0
hard,doubao-seed-2.0-pro,verbosity,-0.6460993897306135
hard,glm-5.2,communal_expression,-0.03362663477226761
hard,glm-5.2,dialogic_engagement,-0.34364513573738303
hard,glm-5.2,directive_expression,0.06475409539006112
hard,glm-5.2,epistemic_caution_language,-0.02397565133738585
hard,glm-5.2,boundary_refusal_expression,0.029240662083998017
hard,glm-5.2,organizational_style,0.0
hard,glm-5.2,verbosity,-0.0771361770097198
hard,minimax-m2.7,communal_expression,0.1471643451270931
hard,minimax-m2.7,dialogic_engagement,0.18339932181253102
hard,minimax-m2.7,directive_expression,-0.1131501350574499
hard,minimax-m2.7,epistemic_caution_language,0.08244303215571944
hard,minimax-m2.7,boundary_refusal_expression,-0.015554535902417023
hard,minimax-m2.7,organizational_style,0.0
hard,minimax-m2.7,verbosity,0.1818819870525234
hard,minimax-m3,communal_expression,0.040262168014303865
hard,minimax-m3,dialogic_engagement,0.11268342396773187
hard,minimax-m3,directive_expression,0.01923561234214756
hard,minimax-m3,epistemic_caution_language,-0.007050269972425497
hard,minimax-m3,boundary_refusal_expression,0.05178615823840341
hard,minimax-m3,organizational_style,0.0
hard,minimax-m3,verbosity,0.19122154068374558
hard,qwen3.5-4b,communal_expression,-0.15561817068771663
hard,qwen3.5-4b,dialogic_engagement,0.07473658735491483
hard,qwen3.5-4b,directive_expression,-0.10151164815802216
hard,qwen3.5-4b,epistemic_caution_language,0.06255369422560542
hard,qwen3.5-4b,boundary_refusal_expression,-0.052966350648125646
hard,qwen3.5-4b,organizational_style,0.0
hard,qwen3.5-4b,verbosity,0.35513955890615234
