sample_id,base_id,problem_family,learner_need,question_policy,answer_policy,tone_policy,model,prompt_sha256,response_sha256,question_first,question_any,answer_reveal_any,answer_reveal_correct,warmth_marker,word_count,char_count,sentence_count,replication_queue_rank
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M2.7,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,2ded281f09f4b845c39a57932a118705b0e667b38d9f7a5f94a4de323b25b0fb,0,0,1,1,0,40,201,2,0
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,MiniMax-M3,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,f2e85b07da3b99eb14d74e81362fc4bb9d80ef30b90dae151eb91880adb12fb4,0,0,1,1,0,49,248,4,21
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,deepseek-v4-pro,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,a03c7120f732cf08860664b08aebab739bb8878ddbe24735b59fffce5cbc6569,0,0,1,1,0,41,201,4,56
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,doubao-seed-2.0-lite,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,f04fbdf679cdb1eed64b09452058b35c504576922618fb8003152df8d7bf095a,0,0,1,1,0,81,433,5,103
arithmetic_mean-00|direct|explain_only|reveal|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,neutral,glm-5.2,878109c3fe6ed4b8fdff26c713e6ca8eb05f56e77f6433619f568b526014d676,213c2166bcb27fdc38cee3f4bfdb847b3a2602c07535738b8a121b86039c29f7,0,0,1,1,0,45,217,4,39
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M2.7,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,988cb832454e13729a783d67aa533141038595a54c57d738a94be7b63fb44c33,0,0,1,1,0,63,327,8,88
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,MiniMax-M3,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,20f85f02d9d54c612a85dd80d436fab218505d2f5bd1c844904705529246fd78,0,0,1,1,1,96,530,5,26
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,deepseek-v4-pro,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,9a9fd2e0a651f997f5cf121febf2c6e23ead20eb13181c6b294aebb6ad274a9c,0,0,1,1,0,49,262,4,11
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,doubao-seed-2.0-lite,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,4166f1c88d08ad3c0bf46f74f6ac4b8c89a211a5010a1fab83846d3053c3b57b,0,0,1,1,0,87,487,4,63
arithmetic_mean-00|direct|explain_only|reveal|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,reveal,warm,glm-5.2,64e18f6e43bd29df3ad154da5b4a2e347676e4b07d7da858668faabe22761d31,a4faa7ae6fad5f84b20104bb50a8055a001f3de78f79ef948b768bfca94d8c3d,0,0,1,1,1,66,362,5,57
arithmetic_mean-00|direct|explain_only|withhold|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M2.7,f00213c9620ae17375755acd65ef0dfc106c6b2b75501bba2adbc2074155e19e,34d0f476865a7405fdb03e651de30cc3471c5923994ccae1efbf1e5c929418f6,0,1,0,0,0,69,391,10,96
arithmetic_mean-00|direct|explain_only|withhold|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,neutral,MiniMax-M3,f00213c9620ae17375755acd65ef0dfc106c6b2b75501bba2adbc2074155e19e,1f67a4d1c22570aa6b2177ff732cf97bdf55baa42925d1bdba0b93e1f647f060,0,0,0,0,0,63,340,3,99
arithmetic_mean-00|direct|explain_only|withhold|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,neutral,deepseek-v4-pro,f00213c9620ae17375755acd65ef0dfc106c6b2b75501bba2adbc2074155e19e,a4bc7556d619932fb8c80fd117037ce19f1e13a87d132b944332f24e9e127330,0,0,0,0,0,66,365,5,8
arithmetic_mean-00|direct|explain_only|withhold|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,neutral,doubao-seed-2.0-lite,f00213c9620ae17375755acd65ef0dfc106c6b2b75501bba2adbc2074155e19e,1af9db2a016155347d33d909ba1137fe8e7e3f9ed0ca85cde9e187ea6bb00d59,0,0,0,0,0,74,394,3,79
arithmetic_mean-00|direct|explain_only|withhold|neutral,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,neutral,glm-5.2,f00213c9620ae17375755acd65ef0dfc106c6b2b75501bba2adbc2074155e19e,d2ffe74e06ded6f24a9978ddb78ffa9d09334d1ae6cb525a4f855accef5c5b94,0,0,0,0,0,63,321,4,3
arithmetic_mean-00|direct|explain_only|withhold|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M2.7,26af136bf836772b010a702e007fe655ce7111dd856f0684f6e5927812f42fbb,52c3f98a692eca328af6db1c91f8f554a1b2e2ba310a9efbe9553fc52f21a93c,0,1,0,0,0,119,672,8,71
arithmetic_mean-00|direct|explain_only|withhold|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,warm,MiniMax-M3,26af136bf836772b010a702e007fe655ce7111dd856f0684f6e5927812f42fbb,a0bdc44fba110bc9aa250cc8fc507fdec66091791735c8da968b8bdfea054033,0,0,0,0,1,130,673,11,34
arithmetic_mean-00|direct|explain_only|withhold|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,warm,deepseek-v4-pro,26af136bf836772b010a702e007fe655ce7111dd856f0684f6e5927812f42fbb,e68e81e408336cb40f5cc9abdfa5f10105304a6dfff7edace6e9f1a2f978d3e8,0,0,0,0,1,59,308,4,50
arithmetic_mean-00|direct|explain_only|withhold|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,warm,doubao-seed-2.0-lite,26af136bf836772b010a702e007fe655ce7111dd856f0684f6e5927812f42fbb,76869f02a3570a7a5ec696da08ba9dca4d1272f196b91ceef4dcd518cd2fe630,0,0,0,0,0,126,678,6,41
arithmetic_mean-00|direct|explain_only|withhold|warm,arithmetic_mean-00,arithmetic_mean,direct,explain_only,withhold,warm,glm-5.2,26af136bf836772b010a702e007fe655ce7111dd856f0684f6e5927812f42fbb,392b0f1462028af022b2766604e54d9a06a855e10fac68f52453910144012842,0,0,0,0,0,67,339,5,65
