artifact_group,event,baseline,predictions_checked,max_absolute_probability_error,reconstructed_gradient_inf,constant_training_labels,judge_panel,deleted_generator
primary,affect_acknowledgement,context,1280,8.326672684688674e-17,8.219895335948024e-06,False,,
primary,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,2.096785892291564e-05,False,,
primary,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,6.446755118183489e-05,False,,
primary,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,3.081561983009351e-05,False,,
primary,answer_reveal,context,1280,0.0,2.7245140691301017e-06,False,,
primary,answer_reveal,default_profile,1280,1.1102230246251565e-16,1.9063579028255617e-05,False,,
primary,answer_reveal,domain_profile,1280,1.1102230246251565e-16,2.973302737843686e-05,False,,
primary,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,1.9497889621786224e-05,False,,
primary,epistemic_qualification,context,1280,7.632783294297951e-17,6.095502354724891e-06,False,,
primary,epistemic_qualification,default_profile,1280,9.71445146547012e-17,0.0001649051564287518,False,,
primary,epistemic_qualification,domain_profile,1280,9.71445146547012e-17,9.307907046895991e-06,False,,
primary,epistemic_qualification,conditional_profile,1280,9.71445146547012e-17,1.8731654716219737e-05,False,,
primary,information_request,context,1280,7.047314121155779e-17,7.053048363125924e-07,False,,
primary,information_request,default_profile,1280,9.410874857174178e-17,1.1064188010223575e-07,False,,
primary,information_request,domain_profile,1280,9.90960785651751e-17,7.738778817767411e-08,False,,
primary,information_request,conditional_profile,1280,9.584347204771859e-17,5.664453635034761e-07,False,,
primary,learner_choice,context,1280,8.326672684688674e-17,1.3728117869482581e-05,False,,
primary,learner_choice,default_profile,1280,9.71445146547012e-17,6.580330545746804e-05,False,,
primary,learner_choice,domain_profile,1280,9.71445146547012e-17,2.4962750934776068e-05,False,,
primary,learner_choice,conditional_profile,1280,9.71445146547012e-17,8.835391523476233e-05,False,,
primary,reasoning_elicitation,context,1280,5.551115123125783e-17,2.54491138385049e-06,False,,
primary,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,4.463392614395545e-06,False,,
primary,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,0.00014425756540092927,False,,
primary,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,6.98534991370181e-05,False,,
primary,unsupported_ability_claim,context,1280,8.326672684688674e-17,8.00182633042823e-07,False,,
primary,unsupported_ability_claim,default_profile,1280,9.71445146547012e-17,3.311668248073829e-06,False,,
primary,unsupported_ability_claim,domain_profile,1280,9.71445146547012e-17,2.7506116042630424e-06,False,,
primary,unsupported_ability_claim,conditional_profile,1280,9.71445146547012e-17,4.479978770177695e-06,False,,
primary,worked_explanation,context,1280,1.1102230246251565e-16,5.629845867138883e-05,False,,
primary,worked_explanation,default_profile,1280,1.1102230246251565e-16,2.8421107389209332e-05,False,,
primary,worked_explanation,domain_profile,1280,1.1102230246251565e-16,5.348002211680303e-05,False,,
primary,worked_explanation,conditional_profile,1280,1.1102230246251565e-16,4.1016099474225354e-05,False,,
style,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,5.3260089658557774e-05,False,,
style,answer_reveal,training_style_profile,1280,2.220446049250313e-16,8.773601888764637e-06,False,,
style,epistemic_qualification,training_style_profile,1280,9.71445146547012e-17,6.1483667559147914e-06,False,,
style,information_request,training_style_profile,1280,9.952975943416931e-17,2.9428716754598128e-06,False,,
style,learner_choice,training_style_profile,1280,1.249000902703301e-16,3.418111717790051e-05,False,,
style,reasoning_elicitation,training_style_profile,1280,1.1102230246251565e-16,8.912452542420013e-06,False,,
style,unsupported_ability_claim,training_style_profile,1280,9.71445146547012e-17,5.824636897244773e-07,False,,
style,worked_explanation,training_style_profile,1280,1.1102230246251565e-16,4.372530294149968e-05,False,,
judge,affect_acknowledgement,context,1280,1.1102230246251565e-16,3.2137042017765793e-05,False,all_three_soft,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,0.00010318989025348557,False,all_three_soft,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,5.398403250911343e-05,False,all_three_soft,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,0.00010649860791689392,False,all_three_soft,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,4.3131226878045936e-05,False,all_three_soft,
judge,answer_reveal,context,1280,0.0,2.6260358971796904e-06,False,all_three_soft,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,3.1831989471264865e-06,False,all_three_soft,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,5.3381878924618764e-05,False,all_three_soft,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,2.4656121603072734e-05,False,all_three_soft,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,8.939657108686383e-06,False,all_three_soft,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,5.060357620045863e-06,False,all_three_soft,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,1.475376238779802e-05,False,all_three_soft,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,6.551001806132106e-05,False,all_three_soft,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,4.929819160998106e-05,False,all_three_soft,
judge,reasoning_elicitation,training_style_profile,1280,9.71445146547012e-17,4.713322133698128e-06,False,all_three_soft,
judge,affect_acknowledgement,context,1280,8.326672684688674e-17,4.4486229947793277e-05,False,exclude_generator_family,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,2.9701776770529875e-05,False,exclude_generator_family,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,6.050371166688162e-05,False,exclude_generator_family,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,3.0142798961962924e-05,False,exclude_generator_family,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,4.0365073408210606e-05,False,exclude_generator_family,
judge,answer_reveal,context,1280,0.0,2.564656780279506e-06,False,exclude_generator_family,
