event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,5119,0.9574135573354171,0.9551440329218107,0.9594644849386389
affect_acknowledgement,MiniMax-M3,glm-5.3,5119,0.9533111935924985,0.9527947857001777,0.9538164251207729
affect_acknowledgement,deepseek-v4-pro,glm-5.3,5119,0.9501855831217034,0.9489080344620316,0.9514008004574043
answer_reveal,MiniMax-M3,deepseek-v4-pro,5119,0.987888259425669,0.9924757281553398,0.968968968968969
answer_reveal,MiniMax-M3,glm-5.3,5119,0.9884743113889431,0.9928232575112517,0.9707486365889936
answer_reveal,deepseek-v4-pro,glm-5.3,5119,0.9904278179331901,0.9940642035130224,0.9752899646999496
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,5119,0.8587614768509475,0.2267379679144385,0.9222831344727507
epistemic_qualification,MiniMax-M3,glm-5.3,5119,0.9538972455557726,0.4511627906976744,0.9759380097879282
epistemic_qualification,deepseek-v4-pro,glm-5.3,5119,0.8892361789411994,0.4977856510186005,0.9377538697990998
information_request,MiniMax-M3,deepseek-v4-pro,5119,0.9988278960734518,0.25,0.9994134897360704
information_request,MiniMax-M3,glm-5.3,5119,0.9998046493455753,0.0,0.9999023151313862
information_request,deepseek-v4-pro,glm-5.3,5119,0.9986325454190271,0.0,0.9993158049066563
learner_choice,MiniMax-M3,deepseek-v4-pro,5119,0.964446180894706,0.795045045045045,0.9805347593582888
learner_choice,MiniMax-M3,glm-5.3,5119,0.9497948818128541,0.5606837606837607,0.9733761524914535
learner_choice,deepseek-v4-pro,glm-5.3,5119,0.9376831412385231,0.5396825396825397,0.9665793609219486
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,5119,0.9538972455557726,0.9234263465282284,0.9670206819452208
reasoning_elicitation,MiniMax-M3,glm-5.3,5119,0.9410041023637429,0.9068476249228871,0.9568324757004002
reasoning_elicitation,deepseek-v4-pro,glm-5.3,5119,0.9484274272318812,0.9203379601689801,0.9618717504332756
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,5119,0.9029107247509279,0.4568306010928962,0.9466909792985091
unsupported_ability_claim,MiniMax-M3,glm-5.3,5119,0.931431920296933,0.3765541740674956,0.9637209302325581
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,5119,0.9234225434655207,0.3836477987421384,0.9591751718392002
worked_explanation,MiniMax-M3,deepseek-v4-pro,5119,0.9388552451650714,0.9664415138844216,0.6564215148188803
worked_explanation,MiniMax-M3,glm-5.3,5119,0.9527251416292245,0.9739784946236559,0.7420042643923241
worked_explanation,deepseek-v4-pro,glm-5.3,5119,0.9638601289314319,0.9803713527851459,0.7724477244772447
