item_id,model,diagnosis_correct,diagnosis_predicted,diagnosis_gold,evidence_accuracy,evidence_questions,history_utilization,strategy_alignment,coherence,appropriateness,teaching_quality
10031||031dd743a7299257d53d9e56a30712f07c40dbe0cdd4c150fc1d99906398c37d,minimax-m3,0.0,Procedural Error,Recall Failure,1.0,3,2.0,2.0,4.0,3.0,2.75
10032||861773f179974ecdb426b352e97f895c96b90096ffaaacdac2b8c85890e8c4ca,minimax-m3,1.0,Procedural Error,Procedural Error,0.3333333333333333,3,4.0,4.0,5.0,5.0,4.5
10039||7897d7ae4e877c852d18ae65f5d8eb252650c9ed718f8f32086408ce0307085b,minimax-m3,0.0,Conceptual Gap,Procedural Error,1.0,3,5.0,5.0,5.0,4.0,4.75
10050||0ed649050db94dd37b9fe1759906a8bfad92426826c9a0eda9cc09b9beb898ac,minimax-m3,0.0,Conceptual Gap,Procedural Error,0.6666666666666666,3,4.0,3.0,4.0,3.0,3.5
10066||782a4af34d01ce483bbc299253e4f36042bffc6953a73225adcab6437fc27b97,minimax-m3,0.0,Conceptual Gap,Recall Failure,1.0,3,2.0,2.0,4.0,3.0,2.75
10138||4544e968377765420c85d4d976dfc02c35614b2fd0d1c050989035f26d56a9cc,minimax-m3,0.0,Procedural Error,Conceptual Gap,0.3333333333333333,3,2.0,2.0,4.0,4.0,3.0
10152||e8ec49265714db2b0d899b73e5f73600f7488a77e57c2ef3d8785fd976061f33,minimax-m3,1.0,Procedural Error,Procedural Error,1.0,3,4.0,5.0,5.0,4.0,4.5
1021||d17bfde550d44bcafb4de15425b8ee5d931d6f1f83491deba2b3079df76aabc0,minimax-m3,0.0,Transfer Deficit,Conceptual Gap,1.0,3,1.0,2.0,4.0,3.0,2.5
10231||cf9a0b8344411717b8461e7b1e84b07ca2f3c6b7ddf68fd6206a5fcaac7db0b2,minimax-m3,0.0,Conceptual Gap,Recall Failure,1.0,3,1.0,2.0,4.0,3.0,2.5
10232||7f8f46474f89fccd422d54eca7529db977720b7fa0e90d1a31a084ca9990d837,minimax-m3,0.0,Conceptual Gap,Procedural Error,1.0,3,4.0,5.0,5.0,5.0,4.75
10253||6940c340b8b86de5ed2e62e2cacc93fbc46078439cbfc78484d01dafa861b56b,minimax-m3,0.0,Procedural Error,Recall Failure,0.6666666666666666,3,1.0,2.0,4.0,3.0,2.5
10265||509762f2b6bbe29032eeb907d26b6e47c464b3fcb85377a546c59f124181f934,minimax-m3,1.0,Procedural Error,Procedural Error,1.0,3,2.0,4.0,5.0,5.0,4.0
