group,factor,high,low,metric,mean_difference,bootstrap_ci_low,bootstrap_ci_high,target_metric
ALL,question_policy,question_first,explain_only,question_first,0.990625,0.98125,0.996875,True
ALL,question_policy,question_first,explain_only,answer_reveal_correct,-0.009375000000000022,-0.021875,0.0,False
ALL,question_policy,question_first,explain_only,warmth_marker,0.084375,0.034374999999999996,0.128125,False
ALL,question_policy,question_first,explain_only,question_any,1.0,1.0,1.0,False
ALL,question_policy,question_first,explain_only,answer_reveal_any,-0.006249999999999978,-0.012500000000000011,0.0,False
ALL,question_policy,question_first,explain_only,word_count,22.428125,17.156015625,27.459609375000003,False
ALL,question_policy,question_first,explain_only,char_count,118.26875000000001,88.08218749999999,147.31804687499996,False
ALL,question_policy,question_first,explain_only,sentence_count,0.6218750000000002,0.38749999999999973,0.85625,False
ALL,answer_policy,reveal,withhold,question_first,0.009375000000000022,0.0031250000000000028,0.018750000000000017,False
ALL,answer_policy,reveal,withhold,answer_reveal_correct,0.990625,0.9781249999999999,1.0,True
ALL,answer_policy,reveal,withhold,warmth_marker,-0.05937499999999998,-0.09062500000000001,-0.03125,False
ALL,answer_policy,reveal,withhold,question_any,0.0,0.0,0.0,False
ALL,answer_policy,reveal,withhold,answer_reveal_any,0.99375,0.984375,1.0,False
ALL,answer_policy,reveal,withhold,word_count,-2.0593749999999957,-5.021874999999999,1.0910156249999954,False
ALL,answer_policy,reveal,withhold,char_count,-18.96875,-37.071640624999986,-0.6304687500000128,False
ALL,answer_policy,reveal,withhold,sentence_count,1.0531250000000005,0.8687499999999999,1.2157031249999997,False
ALL,tone_policy,warm,neutral,question_first,-0.009375000000000022,-0.018750000000000017,-0.0031250000000000028,False
ALL,tone_policy,warm,neutral,answer_reveal_correct,0.003124999999999989,-0.009375000000000008,0.018749999999999996,False
ALL,tone_policy,warm,neutral,warmth_marker,0.290625,0.25,0.33125,True
ALL,tone_policy,warm,neutral,question_any,0.0,0.0,0.0,False
