event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,160,0.98125,0.9863013698630136,0.9702970297029703
affect_acknowledgement,MiniMax-M3,glm-5.3,160,0.9625,0.9732142857142857,0.9375
affect_acknowledgement,deepseek-v4-pro,glm-5.3,160,0.96875,0.9777777777777777,0.9473684210526315
answer_reveal,MiniMax-M3,deepseek-v4-pro,160,0.96875,0.9803921568627451,0.9230769230769231
answer_reveal,MiniMax-M3,glm-5.3,160,0.96875,0.9803921568627451,0.9230769230769231
answer_reveal,deepseek-v4-pro,glm-5.3,160,0.9875,0.9923076923076923,0.9666666666666667
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,160,0.8625,0.7105263157894737,0.9098360655737705
epistemic_qualification,MiniMax-M3,glm-5.3,160,0.89375,0.7536231884057971,0.9322709163346613
epistemic_qualification,deepseek-v4-pro,glm-5.3,160,0.91875,0.8571428571428571,0.9432314410480349
information_request,MiniMax-M3,deepseek-v4-pro,160,0.98125,0.4,0.9904761904761905
information_request,MiniMax-M3,glm-5.3,160,0.99375,0.0,0.9968652037617555
information_request,deepseek-v4-pro,glm-5.3,160,0.975,0.0,0.9873417721518988
learner_choice,MiniMax-M3,deepseek-v4-pro,160,0.9125,0.75,0.946969696969697
learner_choice,MiniMax-M3,glm-5.3,160,0.90625,0.6341463414634146,0.946236559139785
learner_choice,deepseek-v4-pro,glm-5.3,160,0.90625,0.6666666666666666,0.9454545454545454
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,160,0.94375,0.9217391304347826,0.9560975609756097
reasoning_elicitation,MiniMax-M3,glm-5.3,160,0.91875,0.8943089430894309,0.934010152284264
reasoning_elicitation,deepseek-v4-pro,glm-5.3,160,0.9375,0.921875,0.9479166666666666
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,160,0.86875,0.5116279069767442,0.924187725631769
unsupported_ability_claim,MiniMax-M3,glm-5.3,160,0.875,0.3333333333333333,0.9310344827586207
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,160,0.91875,0.43478260869565216,0.9562289562289562
worked_explanation,MiniMax-M3,deepseek-v4-pro,160,0.9625,0.98,0.7
worked_explanation,MiniMax-M3,glm-5.3,160,0.975,0.9867549668874173,0.7777777777777778
worked_explanation,deepseek-v4-pro,glm-5.3,160,0.975,0.9867549668874173,0.7777777777777778
