blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,answer_reveal,1,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,worked_explanation,1,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,learner_choice,0,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,information_request,0,deepseek-v4-pro,pilot_equation,late,calm,0
63c1901d76d0dae52fbf,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,deepseek-v4-pro,pilot_equation,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,reasoning_elicitation,1,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,learner_choice,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M3,pilot_causal_claim,late,calm,0
d8b091158b8145387f55,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M3,pilot_causal_claim,late,calm,0
