group,factor,high,low,metric,mean_difference,bootstrap_ci_low,bootstrap_ci_high,target_metric
ALL,question_policy,question_first,explain_only,question_first,0.834375,0.809375,0.8625,True
ALL,question_policy,question_first,explain_only,answer_reveal_correct,-0.0031250000000000444,-0.009375000000000008,0.0,False
ALL,question_policy,question_first,explain_only,warmth_marker,0.1,0.04687500000000001,0.14687499999999998,False
ALL,question_policy,question_first,explain_only,question_any,0.9781249999999999,0.965625,0.9906250000000001,False
ALL,question_policy,question_first,explain_only,answer_reveal_any,-0.009375000000000022,-0.018750000000000017,-0.003046875000000429,False
ALL,question_policy,question_first,explain_only,word_count,10.534374999999997,6.54578125,15.450078124999996,False
ALL,question_policy,question_first,explain_only,char_count,46.87187499999999,27.210156250000004,71.88257812499998,False
ALL,question_policy,question_first,explain_only,sentence_count,0.7874999999999996,0.6249999999999999,0.9562499999999999,False
ALL,answer_policy,reveal,withhold,question_first,0.06562499999999999,0.046875000000000014,0.084375,False
ALL,answer_policy,reveal,withhold,answer_reveal_correct,0.984375,0.96875,1.0,True
ALL,answer_policy,reveal,withhold,warmth_marker,-0.0625,-0.10937500000000001,-0.009374999999999998,False
ALL,answer_policy,reveal,withhold,question_any,-0.021875000000000033,-0.03437500000000003,-0.009375000000000008,False
ALL,answer_policy,reveal,withhold,answer_reveal_any,0.990625,0.98125,1.0,False
ALL,answer_policy,reveal,withhold,word_count,-14.215625000000003,-18.851562499999996,-9.365625,False
ALL,answer_policy,reveal,withhold,char_count,-82.234375,-109.00648437499999,-56.15210937500001,False
ALL,answer_policy,reveal,withhold,sentence_count,0.13124999999999964,-0.16874999999999996,0.45624999999999993,False
ALL,tone_policy,warm,neutral,question_first,-0.09062500000000001,-0.12499999999999997,-0.05937499999999998,False
ALL,tone_policy,warm,neutral,answer_reveal_correct,0.0031250000000000444,0.0,0.009375000000000008,False
ALL,tone_policy,warm,neutral,warmth_marker,0.43125,0.3875,0.48749999999999993,True
ALL,tone_policy,warm,neutral,question_any,0.0031250000000000444,-0.018750000000000017,0.02187500000000002,False
ALL,tone_policy,warm,neutral,answer_reveal_any,0.003124999999999989,-0.0062500000000000056,0.012500000000000011,False
ALL,tone_policy,warm,neutral,word_count,21.984375,19.531171875,24.637890625,False
ALL,tone_policy,warm,neutral,char_count,119.328125,106.09023437500002,134.2234375,False
ALL,tone_policy,warm,neutral,sentence_count,0.9874999999999998,0.7968750000000002,1.2062499999999998,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_first,0.65625,0.578125,0.734375,True
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_correct,-0.015625,-0.046875,0.0,False
MiniMax-M2.7,question_policy,question_first,explain_only,warmth_marker,0.109375,0.015625,0.203125,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_any,0.921875,0.859375,0.96875,False
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_any,-0.015625,-0.046875,0.0,False
MiniMax-M2.7,question_policy,question_first,explain_only,word_count,4.921875,-0.265625,10.860546874999994,False
MiniMax-M2.7,question_policy,question_first,explain_only,char_count,22.640625,-7.203125,55.31992187499996,False
MiniMax-M2.7,question_policy,question_first,explain_only,sentence_count,0.328125,0.140625,0.5,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_first,0.0625,-0.046875,0.140625,False
MiniMax-M2.7,answer_policy,reveal,withhold,answer_reveal_correct,0.984375,0.953125,1.0,True
MiniMax-M2.7,answer_policy,reveal,withhold,warmth_marker,0.015625,-0.0625,0.09375,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_any,-0.078125,-0.140625,-0.015625,False
