dimension,judge_left,judge_right,models,model_profile_spearman
instructional_agency,glm-5.2,deepseek-v4-pro,6,1.0
instructional_agency,glm-5.2,doubao-seed-2.0-lite,6,1.0
instructional_agency,glm-5.2,minimax-m2.7,6,1.0
instructional_agency,deepseek-v4-pro,doubao-seed-2.0-lite,6,1.0
instructional_agency,deepseek-v4-pro,minimax-m2.7,6,1.0
instructional_agency,doubao-seed-2.0-lite,minimax-m2.7,6,1.0
relational_communion,glm-5.2,deepseek-v4-pro,6,0.9856107606091624
relational_communion,glm-5.2,doubao-seed-2.0-lite,6,0.898645105261295
relational_communion,glm-5.2,minimax-m2.7,6,0.9856107606091624
relational_communion,deepseek-v4-pro,doubao-seed-2.0-lite,6,0.942857142857143
relational_communion,deepseek-v4-pro,minimax-m2.7,6,1.0
relational_communion,doubao-seed-2.0-lite,minimax-m2.7,6,0.942857142857143
next_step_actionability,glm-5.2,deepseek-v4-pro,6,0.8285714285714287
next_step_actionability,glm-5.2,doubao-seed-2.0-lite,6,0.8285714285714287
next_step_actionability,glm-5.2,minimax-m2.7,6,0.6
next_step_actionability,deepseek-v4-pro,doubao-seed-2.0-lite,6,0.6
next_step_actionability,deepseek-v4-pro,minimax-m2.7,6,0.8857142857142858
next_step_actionability,doubao-seed-2.0-lite,minimax-m2.7,6,0.6
