blind_id,judge_requested,judge_returned,event,present,model_requested,template,progress,affect,repeat
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,answer_reveal,1,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,worked_explanation,1,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,reasoning_elicitation,0,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,learner_choice,0,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,affect_acknowledgement,1,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,epistemic_qualification,0,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,information_request,0,MiniMax-M2.7,pilot_equation,late,frustrated,0
5ed0b92674b9c4dc0ae4,glm-5.3,glm-5.3,unsupported_ability_claim,0,MiniMax-M2.7,pilot_equation,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,learner_choice,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,affect_acknowledgement,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M2.7,pilot_density,late,frustrated,0
b5583ef9a5bf8f372191,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M2.7,pilot_density,late,frustrated,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,answer_reveal,1,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,worked_explanation,1,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,reasoning_elicitation,0,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,learner_choice,1,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,information_request,0,MiniMax-M3,pilot_fractions,early,calm,0
5edf0ae67f09b3a6c257,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,MiniMax-M3,pilot_fractions,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,answer_reveal,0,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,worked_explanation,1,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,reasoning_elicitation,1,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,learner_choice,0,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,information_request,0,glm-5.2,pilot_causal_claim,early,calm,0
c8f60d6c3a941c46464a,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,glm-5.2,pilot_causal_claim,early,calm,0
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,answer_reveal,0,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,worked_explanation,1,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,reasoning_elicitation,1,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,learner_choice,0,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,affect_acknowledgement,1,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,epistemic_qualification,0,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,information_request,0,glm-5.2,pilot_equation,early,frustrated,1
80a47e6c5d7231e2751b,MiniMax-M3,MiniMax-M3,unsupported_ability_claim,0,glm-5.2,pilot_equation,early,frustrated,1
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,learner_choice,0,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,1,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,information_request,0,MiniMax-M3,pilot_density,late,frustrated,0
ceb76023e02779aaaebb,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,MiniMax-M3,pilot_density,late,frustrated,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,answer_reveal,0,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,1,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,learner_choice,1,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,information_request,0,glm-5.2,pilot_density,late,calm,0
33557f69dc0498a4f855,deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0,glm-5.2,pilot_density,late,calm,0
