model,panel,arm,joint_action,responses
MiniMax-M2.7,main,ask,both,9
MiniMax-M2.7,main,ask,elicit_only,119
MiniMax-M2.7,main,canonical,both,20
MiniMax-M2.7,main,canonical,elicit_only,1
MiniMax-M2.7,main,canonical,reveal_only,235
MiniMax-M2.7,main,explain,both,7
MiniMax-M2.7,main,explain,reveal_only,121
MiniMax-M2.7,main,neutral_a,both,12
MiniMax-M2.7,main,neutral_a,elicit_only,2
MiniMax-M2.7,main,neutral_a,reveal_only,114
MiniMax-M2.7,main,neutral_b,both,17
MiniMax-M2.7,main,neutral_b,elicit_only,3
MiniMax-M2.7,main,neutral_b,reveal_only,108
MiniMax-M2.7,opportunity_complete,canonical,elicit_only,5
MiniMax-M2.7,opportunity_complete,canonical,reveal_only,11
MiniMax-M2.7,opportunity_missing,canonical,both,3
MiniMax-M2.7,opportunity_missing,canonical,reveal_only,13
MiniMax-M2.7,training_sentinel,canonical,reveal_only,8
MiniMax-M3,main,ask,both,4
MiniMax-M3,main,ask,elicit_only,124
MiniMax-M3,main,canonical,both,81
MiniMax-M3,main,canonical,elicit_only,43
MiniMax-M3,main,canonical,reveal_only,132
MiniMax-M3,main,explain,both,58
MiniMax-M3,main,explain,reveal_only,70
MiniMax-M3,main,neutral_a,both,36
MiniMax-M3,main,neutral_a,elicit_only,33
MiniMax-M3,main,neutral_a,reveal_only,59
MiniMax-M3,main,neutral_b,both,44
MiniMax-M3,main,neutral_b,elicit_only,34
MiniMax-M3,main,neutral_b,reveal_only,50
MiniMax-M3,opportunity_complete,canonical,both,2
MiniMax-M3,opportunity_complete,canonical,elicit_only,8
MiniMax-M3,opportunity_complete,canonical,reveal_only,6
MiniMax-M3,opportunity_missing,canonical,both,12
MiniMax-M3,opportunity_missing,canonical,reveal_only,4
MiniMax-M3,training_sentinel,canonical,both,4
MiniMax-M3,training_sentinel,canonical,elicit_only,2
MiniMax-M3,training_sentinel,canonical,reveal_only,2
deepseek-v4-pro,main,ask,elicit_only,128
deepseek-v4-pro,main,canonical,both,5
deepseek-v4-pro,main,canonical,reveal_only,251
deepseek-v4-pro,main,explain,both,7
deepseek-v4-pro,main,explain,reveal_only,121
deepseek-v4-pro,main,neutral_a,both,1
deepseek-v4-pro,main,neutral_a,elicit_only,1
deepseek-v4-pro,main,neutral_a,reveal_only,126
deepseek-v4-pro,main,neutral_b,both,5
deepseek-v4-pro,main,neutral_b,reveal_only,123
deepseek-v4-pro,opportunity_complete,canonical,elicit_only,3
deepseek-v4-pro,opportunity_complete,canonical,reveal_only,13
deepseek-v4-pro,opportunity_missing,canonical,both,5
deepseek-v4-pro,opportunity_missing,canonical,reveal_only,11
deepseek-v4-pro,training_sentinel,canonical,reveal_only,8
doubao-seed-2.0-lite,main,ask,elicit_only,128
doubao-seed-2.0-lite,main,canonical,both,11
doubao-seed-2.0-lite,main,canonical,reveal_only,245
doubao-seed-2.0-lite,main,explain,both,2
doubao-seed-2.0-lite,main,explain,reveal_only,126
doubao-seed-2.0-lite,main,neutral_a,both,4
doubao-seed-2.0-lite,main,neutral_a,reveal_only,124
doubao-seed-2.0-lite,main,neutral_b,both,4
doubao-seed-2.0-lite,main,neutral_b,reveal_only,124
doubao-seed-2.0-lite,opportunity_complete,canonical,reveal_only,16
doubao-seed-2.0-lite,opportunity_missing,canonical,reveal_only,16
doubao-seed-2.0-lite,training_sentinel,canonical,both,1
doubao-seed-2.0-lite,training_sentinel,canonical,reveal_only,7
glm-5.3,main,ask,elicit_only,128
glm-5.3,main,canonical,both,48
glm-5.3,main,canonical,elicit_only,199
glm-5.3,main,canonical,reveal_only,9
glm-5.3,main,explain,both,80
glm-5.3,main,explain,reveal_only,48
glm-5.3,main,neutral_a,both,34
glm-5.3,main,neutral_a,elicit_only,91
glm-5.3,main,neutral_a,reveal_only,3
glm-5.3,main,neutral_b,both,44
glm-5.3,main,neutral_b,elicit_only,73
glm-5.3,main,neutral_b,reveal_only,11
glm-5.3,opportunity_complete,canonical,elicit_only,16
glm-5.3,opportunity_missing,canonical,both,13
glm-5.3,opportunity_missing,canonical,reveal_only,3
glm-5.3,training_sentinel,canonical,both,2
glm-5.3,training_sentinel,canonical,elicit_only,6
