event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,2468,0.9821717990275527,0.9809027777777778,0.9832826747720365
affect_acknowledgement,MiniMax-M3,glm-5.3,2468,0.9647487844408428,0.9636135508155583,0.9658153241650295
affect_acknowledgement,deepseek-v4-pro,glm-5.3,2468,0.9623176661264181,0.960973562736047,0.963572267920094
answer_reveal,MiniMax-M3,deepseek-v4-pro,2468,0.9854132901134521,0.989841986455982,0.9741379310344828
answer_reveal,MiniMax-M3,glm-5.3,2468,0.9894651539708266,0.992638731596829,0.9814814814814815
answer_reveal,deepseek-v4-pro,glm-5.3,2468,0.9894651539708266,0.9927007299270073,0.9810771470160117
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,2468,0.8719611021069692,0.40823970037453183,0.9282144479781917
epistemic_qualification,MiniMax-M3,glm-5.3,2468,0.9525931928687196,0.6355140186915887,0.9746478873239437
epistemic_qualification,deepseek-v4-pro,glm-5.3,2468,0.8950567260940032,0.5869218500797448,0.9398932466929683
information_request,MiniMax-M3,deepseek-v4-pro,2468,0.9943273905996759,0.7586206896551724,0.997129971299713
information_request,MiniMax-M3,glm-5.3,2468,0.9979740680713128,0.9019607843137255,0.9989764585465711
information_request,deepseek-v4-pro,glm-5.3,2468,0.9963533225283631,0.8301886792452831,0.9981568707761622
learner_choice,MiniMax-M3,deepseek-v4-pro,2468,0.9481361426256077,0.7968253968253968,0.9702740362285184
learner_choice,MiniMax-M3,glm-5.3,2468,0.936385737439222,0.6609071274298056,0.9649005141962889
learner_choice,deepseek-v4-pro,glm-5.3,2468,0.9290923824959482,0.6704331450094162,0.960272417707151
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,2468,0.9432739059967585,0.9319727891156463,0.95135510771369
reasoning_elicitation,MiniMax-M3,glm-5.3,2468,0.929902755267423,0.9194224499301351,0.937970598780925
reasoning_elicitation,deepseek-v4-pro,glm-5.3,2468,0.9396272285251216,0.9320565435476517,0.9456799125045571
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,2468,0.9141004862236629,0.4421052631578947,0.9534679543459175
unsupported_ability_claim,MiniMax-M3,glm-5.3,2468,0.9286871961102107,0.296,0.9624413145539906
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,2468,0.9440842787682334,0.4,0.9706757331066723
worked_explanation,MiniMax-M3,deepseek-v4-pro,2468,0.936385737439222,0.9618654359970853,0.8083028083028083
worked_explanation,MiniMax-M3,glm-5.3,2468,0.9444894651539708,0.9665445665445666,0.8370986920332937
worked_explanation,deepseek-v4-pro,glm-5.3,2468,0.9505672609400324,0.9706871696299856,0.8423772609819121
