group,order,factors,metric,interaction,bootstrap_ci_low,bootstrap_ci_high
ALL,2,question_policy*answer_policy,question_first,0.018750000000000044,0.0,0.03750000000000003
ALL,2,question_policy*answer_policy,answer_reveal_correct,-0.018750000000000044,-0.04375,0.0
ALL,2,question_policy*answer_policy,warmth_marker,-0.031250000000000014,-0.1375,0.06875
ALL,2,question_policy*answer_policy,question_any,0.0,0.0,0.0
ALL,2,question_policy*answer_policy,answer_reveal_any,-0.012499999999999956,-0.025156250000000012,0.0
ALL,2,question_policy*answer_policy,word_count,2.7437499999999986,-4.726718750000001,9.512812499999995
ALL,2,question_policy*answer_policy,char_count,17.4375,-24.556250000000013,56.43640624999993
ALL,2,question_policy*answer_policy,sentence_count,0.14375000000000027,-0.19375000000000014,0.5062499999999996
ALL,2,question_policy*tone_policy,question_first,-0.018750000000000044,-0.03750000000000003,-0.0062500000000000056
ALL,2,question_policy*tone_policy,answer_reveal_correct,0.006250000000000033,-0.018749999999999996,0.03749999999999999
ALL,2,question_policy*tone_policy,warmth_marker,0.16875,0.06875,0.25640624999999917
ALL,2,question_policy*tone_policy,question_any,0.0,0.0,0.0
ALL,2,question_policy*tone_policy,answer_reveal_any,0.0,-0.018749999999999996,0.018749999999999996
ALL,2,question_policy*tone_policy,word_count,4.243750000000006,-0.6128125000000015,9.100312499999996
ALL,2,question_policy*tone_policy,char_count,11.574999999999932,-12.484062499999979,35.68984374999999
ALL,2,question_policy*tone_policy,sentence_count,0.10624999999999929,-0.1375,0.3499999999999999
ALL,2,answer_policy*tone_policy,question_first,0.01874999999999999,0.006249999999999999,0.03749999999999999
ALL,2,answer_policy*tone_policy,answer_reveal_correct,0.006249999999999978,-0.018750000000000017,0.03749999999999999
ALL,2,answer_policy*tone_policy,warmth_marker,-0.11874999999999997,-0.18125000000000002,-0.0625
ALL,2,answer_policy*tone_policy,question_any,0.0,0.0,0.0
ALL,2,answer_policy*tone_policy,answer_reveal_any,0.0,-0.018750000000000017,0.018750000000000017
ALL,2,answer_policy*tone_policy,word_count,-4.181250000000006,-8.87515625,0.8062500000000012
ALL,2,answer_policy*tone_policy,char_count,-22.525000000000034,-51.94374999999998,7.406406249999999
ALL,2,answer_policy*tone_policy,sentence_count,-0.4062500000000009,-0.5751562500000001,-0.2375000000000002
ALL,3,question_policy*answer_policy*tone_policy,question_first,0.03749999999999998,0.0,0.07499999999999998
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.012500000000000067,-0.024999999999999994,0.07499999999999998
ALL,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.06250000000000003,-0.30000000000000004,0.1375
ALL,3,question_policy*answer_policy*tone_policy,question_any,0.0,0.0,0.0
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.0,-0.03749999999999999,0.03749999999999999
ALL,3,question_policy*answer_policy*tone_policy,word_count,4.362499999999997,-6.664062500000003,16.425625
ALL,3,question_policy*answer_policy*tone_policy,char_count,23.000000000000057,-40.2753125,85.77656249999998
ALL,3,question_policy*answer_policy*tone_policy,sentence_count,0.0625,-0.7499999999999998,0.7874999999999998
MiniMax-M2.7,2,question_policy*answer_policy,question_first,0.0,0.0,0.0
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
MiniMax-M2.7,2,question_policy*answer_policy,warmth_marker,-0.03125,-0.25,0.1875
MiniMax-M2.7,2,question_policy*answer_policy,question_any,0.0,0.0,0.0
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_any,-0.03125,-0.09375,0.0
MiniMax-M2.7,2,question_policy*answer_policy,word_count,6.5625,-1.21875,13.657812499999991
MiniMax-M2.7,2,question_policy*answer_policy,char_count,32.40625,-8.06640625,69.90937499999998
MiniMax-M2.7,2,question_policy*answer_policy,sentence_count,0.03125,-0.43828124999999996,0.53125
MiniMax-M2.7,2,question_policy*tone_policy,question_first,0.0,0.0,0.0
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.09375
MiniMax-M2.7,2,question_policy*tone_policy,warmth_marker,0.03125,-0.09375,0.1875
MiniMax-M2.7,2,question_policy*tone_policy,question_any,0.0,0.0,0.0
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_any,0.03125,0.0,0.09375
MiniMax-M2.7,2,question_policy*tone_policy,word_count,5.625,-1.21875,12.814062499999991
MiniMax-M2.7,2,question_policy*tone_policy,char_count,23.46875,-14.8125,65.5
MiniMax-M2.7,2,question_policy*tone_policy,sentence_count,0.46875,-0.15625,1.125
MiniMax-M2.7,2,answer_policy*tone_policy,question_first,0.0,0.0,0.0
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.09375
MiniMax-M2.7,2,answer_policy*tone_policy,warmth_marker,-0.21875,-0.4375,-0.0625
MiniMax-M2.7,2,answer_policy*tone_policy,question_any,0.0,0.0,0.0
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_any,0.03125,0.0,0.09375
MiniMax-M2.7,2,answer_policy*tone_policy,word_count,6.3125,-4.4390625,19.34375
MiniMax-M2.7,2,answer_policy*tone_policy,char_count,39.28125,-19.38125,103.75
MiniMax-M2.7,2,answer_policy*tone_policy,sentence_count,0.34375,-0.40625,1.15625
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_first,0.0,0.0,0.0
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.0625,0.0,0.1875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.0625,-0.5,0.375
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_any,0.0,0.0,0.0
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.0625,0.0,0.1875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,word_count,8.5,-3.125,21.5
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,char_count,58.5625,-11.875,141.06874999999997
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,sentence_count,0.8125,-0.8140624999999999,2.25
MiniMax-M3,2,question_policy*answer_policy,question_first,0.0625,0.0,0.125
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
MiniMax-M3,2,question_policy*answer_policy,warmth_marker,0.15625,-0.0625,0.40625
MiniMax-M3,2,question_policy*answer_policy,question_any,0.0,0.0,0.0
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_any,-0.03125,-0.09375,0.0
MiniMax-M3,2,question_policy*answer_policy,word_count,19.09375,4.77890625,32.657031249999996
MiniMax-M3,2,question_policy*answer_policy,char_count,104.375,26.30625,177.375
MiniMax-M3,2,question_policy*answer_policy,sentence_count,1.4375,0.78125,2.0
MiniMax-M3,2,question_policy*tone_policy,question_first,-0.0625,-0.15625,0.0
MiniMax-M3,2,question_policy*tone_policy,answer_reveal_correct,-0.03125,-0.09375,0.0
