blind_id,model,source_family,progress,affect,panel,arm,repeat,answer_reveal,reasoning_elicitation,joint_action
00244f7b9ae65abcde7b,MiniMax-M3,turning_moment,correct_partial,calm,main,neutral_a,1,1,0,reveal_only
0071a71b9fc493c119d8,MiniMax-M2.7,sampling_frame_bias,wrong_attempt,calm,main,canonical,1,1,1,both
009f5ee1dd4f541a99e6,MiniMax-M3,all_different_constraint,wrong_attempt,frustrated,main,canonical,0,0,1,elicit_only
00a604478d443c820852,MiniMax-M2.7,photosynthesis_inputs,correct_partial,frustrated,main,ask,1,0,1,elicit_only
00abb341bce937788554,deepseek-v4-pro,all_different_constraint,correct_partial,frustrated,main,neutral_a,0,1,0,reveal_only
00d365bc69056c29191a,MiniMax-M3,active_passive_voice,correct_partial,calm,main,canonical,1,1,0,reveal_only
00f031820ec962074171,doubao-seed-2.0-lite,parallel_structure,correct_partial,frustrated,main,explain,0,1,0,reveal_only
0106c7923338e6df933f,MiniMax-M2.7,triangle_area,wrong_attempt,frustrated,main,explain,0,1,0,reveal_only
010746765be3882ee78a,MiniMax-M2.7,boyles_law,correct_partial,frustrated,main,canonical,1,1,0,reveal_only
010a72cf72f45bb70d4b,glm-5.3,rectangular_prism_volume,wrong_attempt,frustrated,main,canonical,1,0,1,elicit_only
010f1023a999843e9e4f,doubao-seed-2.0-lite,relative_clause_attachment,correct_partial,calm,main,explain,0,1,0,reveal_only
011e1aab08d00d78abe7,glm-5.3,exclusive_or,wrong_attempt,frustrated,main,neutral_b,0,0,1,elicit_only
013874c8c9476bc4020b,doubao-seed-2.0-lite,all_different_constraint,wrong_attempt,frustrated,main,canonical,0,1,0,reveal_only
01458299fb3d9a114c58,deepseek-v4-pro,exclusive_or,correct_partial,frustrated,main,explain,0,1,0,reveal_only
014af497dd514736dcc9,doubao-seed-2.0-lite,least_common_multiple,wrong_attempt,frustrated,main,ask,1,0,1,elicit_only
01507ffd202a6815f36b,MiniMax-M2.7,all_different_constraint,wrong_attempt,frustrated,main,canonical,1,1,0,reveal_only
015ff612bd7ceeb20255,MiniMax-M3,triangle_area,wrong_attempt,calm,main,explain,1,1,1,both
016ea0ef46d351d52c72,MiniMax-M2.7,rectangular_prism_volume,correct_partial,frustrated,main,ask,1,0,1,elicit_only
018c413067a94723342a,MiniMax-M3,pigeonhole_principle,wrong_attempt,frustrated,main,neutral_a,1,0,1,elicit_only
018eb93425ff7172b6a2,glm-5.3,parallel_structure,correct_partial,frustrated,main,neutral_a,1,1,1,both
0199a5ae8c48879d97db,deepseek-v4-pro,rectangular_prism_volume,correct_partial,frustrated,main,neutral_b,1,1,0,reveal_only
01b7a85a73c1f63467f0,glm-5.3,rectangular_prism_volume,wrong_attempt,frustrated,main,explain,0,1,0,reveal_only
01e42534ea1135e10476,MiniMax-M2.7,parallel_structure,correct_partial,frustrated,main,canonical,0,1,0,reveal_only
01e7a6ef07903ca67941,MiniMax-M3,half_life,not_started,unstated,opportunity_missing,canonical,0,1,1,both
022b79b62039cb85ac21,doubao-seed-2.0-lite,all_different_constraint,wrong_attempt,frustrated,main,neutral_a,0,1,0,reveal_only
022cf8164e1749f08c4b,MiniMax-M3,rectangular_prism_volume,correct_partial,calm,main,ask,1,0,1,elicit_only
023688084a38ec5d9412,deepseek-v4-pro,rectangular_prism_volume,wrong_attempt,calm,main,neutral_b,0,1,0,reveal_only
0241c3f4eed07c6e0b94,MiniMax-M3,turning_moment,correct_partial,calm,main,neutral_a,0,1,0,reveal_only
0258129d0be97449d053,MiniMax-M2.7,kinetic_energy,not_started,unstated,opportunity_complete,canonical,0,1,0,reveal_only
0279ee7574cc1e4a3cc4,MiniMax-M2.7,turning_moment,wrong_attempt,frustrated,main,ask,0,0,1,elicit_only
0293393aa558c6f6cd6d,MiniMax-M3,photosynthesis_inputs,correct_partial,frustrated,main,explain,0,1,0,reveal_only
029d413ef2cb2604062c,MiniMax-M2.7,turning_moment,correct_partial,frustrated,main,explain,1,1,0,reveal_only
02a1bd3735e4f987bf6d,deepseek-v4-pro,triangle_area,correct_partial,frustrated,main,neutral_a,0,1,0,reveal_only
02a32080950166176ed4,MiniMax-M3,exclusive_or,correct_partial,calm,main,neutral_a,0,0,1,elicit_only
02b54581945a812fd72b,MiniMax-M3,relative_clause_attachment,correct_partial,frustrated,main,ask,0,0,1,elicit_only
02f91e57b87588e25ac5,doubao-seed-2.0-lite,sampling_frame_bias,correct_partial,frustrated,main,neutral_a,0,1,0,reveal_only
02fac08621aca63b911b,doubao-seed-2.0-lite,half_life,wrong_attempt,calm,main,neutral_b,0,1,0,reveal_only
02fe0f669dd89fe6a6c1,deepseek-v4-pro,triangle_area,correct_partial,calm,main,explain,1,1,0,reveal_only
0319e602cc8650dc0bba,MiniMax-M2.7,direct_speech_punctuation,wrong_attempt,calm,main,ask,0,0,1,elicit_only
0329115846f7bd50a452,MiniMax-M3,pythagorean_length,correct_partial,frustrated,main,canonical,0,1,1,both
032ef8f298d6322870e9,doubao-seed-2.0-lite,direct_speech_punctuation,wrong_attempt,frustrated,main,neutral_a,0,1,0,reveal_only
033cba11699a6343ae65,deepseek-v4-pro,triangle_area,wrong_attempt,frustrated,main,explain,1,1,0,reveal_only
033ff5b8e948c5411be9,MiniMax-M3,rectangular_prism_volume,correct_partial,frustrated,main,canonical,1,0,1,elicit_only
0340f0c3ea1918784028,MiniMax-M3,pythagorean_length,wrong_attempt,frustrated,main,canonical,1,1,1,both
03449a01187644d4ea09,doubao-seed-2.0-lite,pressure,not_started,unstated,opportunity_complete,canonical,0,1,0,reveal_only
035f8611f4ebdd54e58e,MiniMax-M3,counterexample,wrong_attempt,calm,training_sentinel,canonical,0,1,1,both
037e45a09e5076133ea8,MiniMax-M2.7,trophic_energy_transfer,wrong_attempt,frustrated,main,canonical,1,1,0,reveal_only
03b2afa211e8ad7b34ec,glm-5.3,sampling_frame_bias,wrong_attempt,frustrated,main,canonical,1,1,1,both
03ba46cd9016c34a6d5e,glm-5.3,boyles_law,wrong_attempt,frustrated,main,neutral_a,0,1,0,reveal_only
03d54308abcca6306c21,MiniMax-M3,relative_clause_attachment,correct_partial,calm,main,neutral_b,1,0,1,elicit_only
03d676cce4c87b905fdd,glm-5.3,parallel_structure,wrong_attempt,calm,main,ask,0,0,1,elicit_only
03e41b9604867a9ab06f,MiniMax-M3,rectangular_prism_volume,correct_partial,calm,main,neutral_b,1,0,1,elicit_only
03e9ab10aff027ac4add,MiniMax-M2.7,parallel_structure,wrong_attempt,calm,main,explain,0,1,0,reveal_only
04068484d175177ee50f,MiniMax-M2.7,parallel_structure,wrong_attempt,calm,main,canonical,1,1,0,reveal_only
0419ea7bb8d85db8dd20,deepseek-v4-pro,loop_accumulation,wrong_attempt,frustrated,main,canonical,0,1,0,reveal_only
04206aed0a085a94dfba,MiniMax-M3,triangle_area,wrong_attempt,frustrated,main,neutral_a,1,1,0,reveal_only
0421ef051430fe378049,MiniMax-M3,chemical_equation_balance,correct_partial,calm,main,canonical,0,0,1,elicit_only
042847a98870e9f5131a,MiniMax-M2.7,all_different_constraint,correct_partial,calm,main,neutral_a,0,1,0,reveal_only
04368ffa2f61968b9e0c,doubao-seed-2.0-lite,active_passive_voice,correct_partial,calm,main,canonical,1,1,0,reveal_only
043bdec282eab12226be,MiniMax-M2.7,half_life,wrong_attempt,calm,main,canonical,0,1,1,both
04633db2456596223d25,glm-5.3,triangle_area,wrong_attempt,frustrated,main,explain,0,1,0,reveal_only
0494eea260a933823a4e,MiniMax-M2.7,binary_place_value,correct_partial,calm,main,canonical,0,0,1,elicit_only
049f540c0e7895896a0a,glm-5.3,least_common_multiple,correct_partial,calm,main,ask,0,0,1,elicit_only
04a0920a5822a758fd64,deepseek-v4-pro,all_different_constraint,correct_partial,calm,main,explain,1,1,0,reveal_only
04d8fa454838d491a471,MiniMax-M2.7,counterexample,wrong_attempt,calm,training_sentinel,canonical,0,1,0,reveal_only
04e8d3aba4b56b9bbbc0,MiniMax-M2.7,rectangular_prism_volume,correct_partial,frustrated,main,explain,1,1,0,reveal_only
04e97ee5941f3004267a,deepseek-v4-pro,boyles_law,not_started,unstated,opportunity_complete,canonical,1,1,0,reveal_only
04f472a04f08b89f9008,MiniMax-M2.7,triangle_area,correct_partial,frustrated,main,canonical,0,1,0,reveal_only
050f9e8f1a7421921f64,MiniMax-M2.7,binary_search_interval,correct_partial,frustrated,main,canonical,0,1,0,reveal_only
05106543c5c9c97468cc,MiniMax-M3,least_common_multiple,wrong_attempt,frustrated,main,ask,1,0,1,elicit_only
05116be1a8fe6d922926,doubao-seed-2.0-lite,exclusive_or,wrong_attempt,calm,main,neutral_a,1,1,0,reveal_only
052fefe8bd501f8bfc20,MiniMax-M3,pigeonhole_principle,correct_partial,frustrated,main,neutral_b,1,1,0,reveal_only
