template,domain,source_family,progress,affect,cue_pole,cue_family,arm,model,repeat,request_id,blind_id
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,calm,calm,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:algorithm_trace:peer_control:correct_partial:calm:repeat1:doubao-seed-2.0-lite,6928f6305b6cd0007bea
parallel_structure,language,parallel_structure,correct_partial,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,0,cue_transfer_v4:parallel_structure:canonical:correct_partial:frustrated:repeat0:deepseek-v4-pro,8679d9d1882fa619b92b
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,wrong_attempt,frustrated,frustrated,3,implicit,MiniMax-M3,0,cue_transfer_v4:pigeonhole_guarantee:implicit:wrong_attempt:frustrated:repeat0:MiniMax-M3,83824d6b1129426e2d94
sampling_bias,logic_and_data,sampling_frame_bias,correct_partial,calm,frustrated,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:sampling_bias:peer_control:correct_partial:frustrated:repeat1:deepseek-v4-pro,1c7824b9e3da765596cf
relative_clause,language,relative_clause_attachment,correct_partial,frustrated,frustrated,0,implicit,MiniMax-M3,1,cue_transfer_v4:relative_clause:implicit:correct_partial:frustrated:repeat1:MiniMax-M3,ce536da7fbe1b6d5f19e
contrast_connective,language,contrast_connective,wrong_attempt,calm,calm,0,explicit,MiniMax-M2.7,1,cue_transfer_v4:contrast_connective:explicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,c25e6defd88531f0be73
balance_water_equation,science,chemical_equation_balance,correct_partial,calm,calm,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:balance_water_equation:canonical:correct_partial:calm:repeat1:MiniMax-M3,d438ce089e0775da36f9
contrast_connective,language,contrast_connective,correct_partial,frustrated,frustrated,1,implicit,glm-5.3,1,cue_transfer_v4:contrast_connective:implicit:correct_partial:frustrated:repeat1:glm-5.3,335a042e1f9f0e18ee81
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,calm,calm,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:algorithm_trace:peer_control:correct_partial:calm:repeat0:deepseek-v4-pro,4e5b7e51c33282105ca9
photosynthesis_inputs,science,photosynthesis_inputs,correct_partial,frustrated,frustrated,0,explicit,MiniMax-M3,1,cue_transfer_v4:photosynthesis_inputs:explicit:correct_partial:frustrated:repeat1:MiniMax-M3,5051e6e6744b4affea78
median_order,mathematics,median,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,0,cue_transfer_v4:median_order:peer_control:wrong_attempt:calm:repeat0:glm-5.3,d941c396135c4ef6610d
exponent_product,mathematics,exponent_product,correct_partial,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,0,cue_transfer_v4:exponent_product:peer_control:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,051327eac2d067157419
median_order,mathematics,median,correct_partial,calm,calm,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:median_order:peer_control:correct_partial:calm:repeat1:deepseek-v4-pro,7f57646bd758d18f7d00
