group,order,factors,metric,interaction,bootstrap_ci_low,bootstrap_ci_high
ALL,2,question_policy*answer_policy,question_first,0.15781250000000002,0.12031250000000002,0.19375
ALL,2,question_policy*answer_policy,answer_reveal_correct,-0.012499999999999978,-0.043750000000000004,0.02031249999999997
ALL,2,question_policy*answer_policy,warmth_marker,0.007812500000000056,-0.048437499999999994,0.065625
ALL,2,question_policy*answer_policy,question_any,0.0703125,0.04531249999999999,0.09535156249999978
ALL,2,question_policy*answer_policy,answer_reveal_any,-0.018750000000000044,-0.045312500000000006,0.009374999999999984
ALL,2,question_policy*answer_policy,word_count,19.103125000000006,16.2466796875,21.961132812499997
ALL,2,question_policy*answer_policy,char_count,103.42343750000003,85.53109375,121.570859375
ALL,2,question_policy*answer_policy,sentence_count,1.2796875000000014,1.065546875,1.4906249999999999
ALL,2,question_policy*tone_policy,question_first,-0.23593750000000002,-0.265625,-0.2078125
ALL,2,question_policy*tone_policy,answer_reveal_correct,0.015625,-0.0203125,0.049999999999999996
ALL,2,question_policy*tone_policy,warmth_marker,0.15468749999999995,0.11249999999999999,0.1953125
ALL,2,question_policy*tone_policy,question_any,-0.0390625,-0.06874999999999996,-0.012499999999999997
ALL,2,question_policy*tone_policy,answer_reveal_any,0.028124999999999956,0.0030859375000000014,0.05316406249999978
ALL,2,question_policy*tone_policy,word_count,3.9749999999999943,0.29496093750000235,7.685546874999995
ALL,2,question_policy*tone_policy,char_count,23.510937500000068,4.801171875000023,42.69550781250001
ALL,2,question_policy*tone_policy,sentence_count,0.48281249999999964,0.26718749999999997,0.7062890624999999
ALL,2,answer_policy*tone_policy,question_first,0.10156250000000006,0.06562500000000002,0.1390625
ALL,2,answer_policy*tone_policy,answer_reveal_correct,0.015625,-0.007812500000000014,0.04218749999999998
ALL,2,answer_policy*tone_policy,warmth_marker,-0.0296875,-0.09687499999999999,0.040624999999999994
ALL,2,answer_policy*tone_policy,question_any,-0.026562499999999933,-0.05,-0.0015624999999999927
ALL,2,answer_policy*tone_policy,answer_reveal_any,0.015625,-0.0078125,0.03749999999999999
ALL,2,answer_policy*tone_policy,word_count,-4.737499999999997,-8.584648437499999,-0.060039062500004806
ALL,2,answer_policy*tone_policy,char_count,-22.301562500000102,-46.20871093750002,4.974882812499975
ALL,2,answer_policy*tone_policy,sentence_count,-0.2546874999999993,-0.5594140624999999,0.06726562499999951
ALL,3,question_policy*answer_policy*tone_policy,question_first,0.2031250000000001,0.1375,0.2782031249999996
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.024999999999999956,-0.046875,0.09375
ALL,3,question_policy*answer_policy*tone_policy,warmth_marker,0.009375000000000067,-0.10312499999999997,0.115625
ALL,3,question_policy*answer_policy*tone_policy,question_any,0.028124999999999956,-0.018749999999999985,0.07500000000000001
ALL,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.04374999999999993,-0.009374999999999998,0.09999999999999998
ALL,3,question_policy*answer_policy*tone_policy,word_count,-4.312499999999993,-10.950390625000002,1.720468749999989
ALL,3,question_policy*answer_policy*tone_policy,char_count,-27.171875,-65.849296875,8.476171874999999
ALL,3,question_policy*answer_policy*tone_policy,sentence_count,-0.5468749999999991,-0.9313281249999997,-0.18750000000000006
MiniMax-M2.7,2,question_policy*answer_policy,question_first,0.375,0.25,0.4921875
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_correct,0.0078125,-0.078125,0.09375
MiniMax-M2.7,2,question_policy*answer_policy,warmth_marker,0.046875,-0.0625,0.15625
MiniMax-M2.7,2,question_policy*answer_policy,question_any,0.140625,0.046875,0.234375
MiniMax-M2.7,2,question_policy*answer_policy,answer_reveal_any,-0.015625,-0.1015625,0.0625
MiniMax-M2.7,2,question_policy*answer_policy,word_count,5.7890625,-3.6181640625,14.74414062499999
MiniMax-M2.7,2,question_policy*answer_policy,char_count,39.8203125,-14.8642578125,95.2607421874999
MiniMax-M2.7,2,question_policy*answer_policy,sentence_count,0.609375,-0.0390625,1.218945312499999
MiniMax-M2.7,2,question_policy*tone_policy,question_first,-0.15625,-0.2578125,-0.0546875
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_correct,0.0234375,-0.1015625,0.140625
MiniMax-M2.7,2,question_policy*tone_policy,warmth_marker,0.25,0.1560546875,0.3515625
MiniMax-M2.7,2,question_policy*tone_policy,question_any,-0.046875,-0.1486328125,0.0546875
MiniMax-M2.7,2,question_policy*tone_policy,answer_reveal_any,0.078125,-0.015625,0.1640625
MiniMax-M2.7,2,question_policy*tone_policy,word_count,0.7578125,-7.4384765625,9.000976562499995
MiniMax-M2.7,2,question_policy*tone_policy,char_count,10.7421875,-31.7380859375,54.50996093749995
MiniMax-M2.7,2,question_policy*tone_policy,sentence_count,0.28125,-0.2033203125,0.78125
MiniMax-M2.7,2,answer_policy*tone_policy,question_first,0.109375,0.0,0.2109375
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_correct,0.0390625,-0.03925781249999999,0.1171875
MiniMax-M2.7,2,answer_policy*tone_policy,warmth_marker,0.03125,-0.09375,0.15625
MiniMax-M2.7,2,answer_policy*tone_policy,question_any,-0.0625,-0.15625,0.03125
MiniMax-M2.7,2,answer_policy*tone_policy,answer_reveal_any,0.0625,-0.0234375,0.1484375
MiniMax-M2.7,2,answer_policy*tone_policy,word_count,-9.0859375,-17.7111328125,0.42207031249999893
MiniMax-M2.7,2,answer_policy*tone_policy,char_count,-49.8828125,-97.790234375,1.3945312499999787
MiniMax-M2.7,2,answer_policy*tone_policy,sentence_count,-0.25,-0.9455078125,0.484375
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_first,0.21875,0.015625,0.4375
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.015625,-0.21875,0.234375
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,warmth_marker,0.09375,-0.125,0.296875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,question_any,0.0,-0.21875,0.21875
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.09375,-0.078125,0.265625
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,word_count,-0.921875,-14.15703125,10.891406249999996
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,char_count,-8.234375,-82.19453125,62.541796874999946
MiniMax-M2.7,3,question_policy*answer_policy*tone_policy,sentence_count,-0.4375,-1.5,0.671875
MiniMax-M3,2,question_policy*answer_policy,question_first,0.140625,0.0703125,0.2109375
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_correct,-0.0546875,-0.1484375,0.0390625
MiniMax-M3,2,question_policy*answer_policy,warmth_marker,0.1640625,0.03125,0.2890625
MiniMax-M3,2,question_policy*answer_policy,question_any,0.171875,0.09375,0.25
MiniMax-M3,2,question_policy*answer_policy,answer_reveal_any,-0.0703125,-0.15625,0.015625
MiniMax-M3,2,question_policy*answer_policy,word_count,39.921875,31.5541015625,47.21191406249999
MiniMax-M3,2,question_policy*answer_policy,char_count,207.0234375,161.3240234375,248.02499999999998
MiniMax-M3,2,question_policy*answer_policy,sentence_count,2.421875,1.7419921875,3.1015625
MiniMax-M3,2,question_policy*tone_policy,question_first,-0.75,-0.8203125,-0.6796875
MiniMax-M3,2,question_policy*tone_policy,answer_reveal_correct,0.0390625,-0.046875,0.125
MiniMax-M3,2,question_policy*tone_policy,warmth_marker,0.0703125,-0.0390625,0.1796875
MiniMax-M3,2,question_policy*tone_policy,question_any,-0.125,-0.1875,-0.0625
MiniMax-M3,2,question_policy*tone_policy,answer_reveal_any,0.0546875,-0.0390625,0.1484375
MiniMax-M3,2,question_policy*tone_policy,word_count,15.8125,6.2806640625,26.415039062499993
MiniMax-M3,2,question_policy*tone_policy,char_count,88.1953125,40.7482421875,142.93046875
MiniMax-M3,2,question_policy*tone_policy,sentence_count,1.359375,0.71875,2.015625
MiniMax-M3,2,answer_policy*tone_policy,question_first,0.171875,0.09375,0.25
MiniMax-M3,2,answer_policy*tone_policy,answer_reveal_correct,0.0234375,-0.046875,0.1015625
MiniMax-M3,2,answer_policy*tone_policy,warmth_marker,-0.0546875,-0.171875,0.06269531249999893
MiniMax-M3,2,answer_policy*tone_policy,question_any,-0.046875,-0.125,0.0390625
MiniMax-M3,2,answer_policy*tone_policy,answer_reveal_any,0.0078125,-0.0625,0.0859375
MiniMax-M3,2,answer_policy*tone_policy,word_count,-3.90625,-13.625,6.813085937499997
MiniMax-M3,2,answer_policy*tone_policy,char_count,-23.8671875,-78.3134765625,36.29003906249999
MiniMax-M3,2,answer_policy*tone_policy,sentence_count,-0.515625,-1.140625,0.19570312499999787
MiniMax-M3,3,question_policy*answer_policy*tone_policy,question_first,0.34375,0.1875,0.5
MiniMax-M3,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.078125,-0.07851562499999998,0.234375
MiniMax-M3,3,question_policy*answer_policy*tone_policy,warmth_marker,0.296875,0.046875,0.5625
MiniMax-M3,3,question_policy*answer_policy*tone_policy,question_any,0.09375,-0.078125,0.265625
MiniMax-M3,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.109375,-0.0625,0.28125
MiniMax-M3,3,question_policy*answer_policy*tone_policy,word_count,-15.71875,-34.000390625,1.9707031249999893
MiniMax-M3,3,question_policy*answer_policy*tone_policy,char_count,-95.953125,-186.08671875,-6.007812500000043
MiniMax-M3,3,question_policy*answer_policy*tone_policy,sentence_count,-1.09375,-2.171875,0.078125
deepseek-v4-pro,2,question_policy*answer_policy,question_first,0.109375,0.0546875,0.1640625
deepseek-v4-pro,2,question_policy*answer_policy,answer_reveal_correct,-0.015625,-0.0390625,0.0
deepseek-v4-pro,2,question_policy*answer_policy,warmth_marker,-0.03125,-0.1875,0.1171875
deepseek-v4-pro,2,question_policy*answer_policy,question_any,0.0078125,0.0,0.0234375
deepseek-v4-pro,2,question_policy*answer_policy,answer_reveal_any,-0.0078125,-0.0234375,0.0
deepseek-v4-pro,2,question_policy*answer_policy,word_count,10.953125,5.413671875,16.4537109375
deepseek-v4-pro,2,question_policy*answer_policy,char_count,56.2890625,24.6169921875,85.90839843749998
deepseek-v4-pro,2,question_policy*answer_policy,sentence_count,1.0390625,0.6638671875,1.46875
deepseek-v4-pro,2,question_policy*tone_policy,question_first,-0.109375,-0.171875,-0.046875
deepseek-v4-pro,2,question_policy*tone_policy,answer_reveal_correct,0.015625,0.0,0.0390625
deepseek-v4-pro,2,question_policy*tone_policy,warmth_marker,0.125,0.03886718750000001,0.21875
deepseek-v4-pro,2,question_policy*tone_policy,question_any,-0.0078125,-0.0234375,0.0
deepseek-v4-pro,2,question_policy*tone_policy,answer_reveal_any,0.0078125,0.0,0.0234375
deepseek-v4-pro,2,question_policy*tone_policy,word_count,3.09375,-3.6880859375,9.4765625
deepseek-v4-pro,2,question_policy*tone_policy,char_count,22.0859375,-14.1283203125,56.86660156249996
deepseek-v4-pro,2,question_policy*tone_policy,sentence_count,0.6015625,0.1953125,1.0078125
deepseek-v4-pro,2,answer_policy*tone_policy,question_first,0.078125,0.015625,0.140625
deepseek-v4-pro,2,answer_policy*tone_policy,answer_reveal_correct,0.015625,0.0,0.0390625
deepseek-v4-pro,2,answer_policy*tone_policy,warmth_marker,-0.015625,-0.1328125,0.1015625
deepseek-v4-pro,2,answer_policy*tone_policy,question_any,-0.0078125,-0.0234375,0.0
deepseek-v4-pro,2,answer_policy*tone_policy,answer_reveal_any,0.0078125,0.0,0.0234375
deepseek-v4-pro,2,answer_policy*tone_policy,word_count,-5.25,-11.9455078125,2.2902343749999936
deepseek-v4-pro,2,answer_policy*tone_policy,char_count,-25.0078125,-65.8912109375,22.816796874999977
deepseek-v4-pro,2,answer_policy*tone_policy,sentence_count,-0.3828125,-0.890625,0.1328125
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,question_first,0.15625,0.03125,0.28164062499999787
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.03125,0.0,0.078125
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.0625,-0.375,0.234375
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,question_any,0.015625,0.0,0.046875
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.015625,0.0,0.046875
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,word_count,-9.59375,-17.844140625,-1.9519531250000064
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,char_count,-54.484375,-101.347265625,-13.375
deepseek-v4-pro,3,question_policy*answer_policy*tone_policy,sentence_count,-1.015625,-1.594140625,-0.453125
doubao-seed-2.0-lite,2,question_policy*answer_policy,question_first,0.0078125,0.0,0.0234375
doubao-seed-2.0-lite,2,question_policy*answer_policy,answer_reveal_correct,0.0,-0.0546875,0.0546875
doubao-seed-2.0-lite,2,question_policy*answer_policy,warmth_marker,-0.0234375,-0.140625,0.0859375
doubao-seed-2.0-lite,2,question_policy*answer_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*answer_policy,word_count,17.84375,12.7947265625,22.5787109375
doubao-seed-2.0-lite,2,question_policy*answer_policy,char_count,100.5234375,71.9443359375,128.76484374999995
doubao-seed-2.0-lite,2,question_policy*answer_policy,sentence_count,1.0234375,0.7578125,1.28125
doubao-seed-2.0-lite,2,question_policy*tone_policy,question_first,0.0078125,0.0,0.0234375
doubao-seed-2.0-lite,2,question_policy*tone_policy,answer_reveal_correct,0.0,-0.0625,0.0625
doubao-seed-2.0-lite,2,question_policy*tone_policy,warmth_marker,0.1953125,0.0859375,0.3046875
doubao-seed-2.0-lite,2,question_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,question_policy*tone_policy,word_count,-2.28125,-7.0396484375,2.351757812499999
doubao-seed-2.0-lite,2,question_policy*tone_policy,char_count,-15.3984375,-39.1583984375,7.976953124999998
doubao-seed-2.0-lite,2,question_policy*tone_policy,sentence_count,0.0703125,-0.25,0.3828125
doubao-seed-2.0-lite,2,answer_policy*tone_policy,question_first,-0.0078125,-0.0234375,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,answer_reveal_correct,0.0,-0.0703125,0.0703125
doubao-seed-2.0-lite,2,answer_policy*tone_policy,warmth_marker,0.0234375,-0.078125,0.125
doubao-seed-2.0-lite,2,answer_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,2,answer_policy*tone_policy,word_count,-5.1875,-10.34375,0.07070312499999787
doubao-seed-2.0-lite,2,answer_policy*tone_policy,char_count,-13.7578125,-41.503125,16.50605468749997
doubao-seed-2.0-lite,2,answer_policy*tone_policy,sentence_count,-0.1015625,-0.390625,0.1796875
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,question_first,-0.015625,-0.046875,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,answer_reveal_correct,0.0,-0.125,0.125
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,warmth_marker,-0.046875,-0.265625,0.1875
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,question_any,0.0,0.0,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,answer_reveal_any,0.0,0.0,0.0
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,word_count,7.21875,-1.359765625,15.469531249999996
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,char_count,33.765625,-12.08359375,77.09921874999998
doubao-seed-2.0-lite,3,question_policy*answer_policy*tone_policy,sentence_count,0.359375,-0.15625,0.921875
glm-5.2,2,question_policy*answer_policy,question_first,0.15625,0.09375,0.21875
glm-5.2,2,question_policy*answer_policy,answer_reveal_correct,0.0,0.0,0.0
glm-5.2,2,question_policy*answer_policy,warmth_marker,-0.1171875,-0.234375,0.0
glm-5.2,2,question_policy*answer_policy,question_any,0.03125,0.0078125,0.0625
glm-5.2,2,question_policy*answer_policy,answer_reveal_any,0.0,0.0,0.0
glm-5.2,2,question_policy*answer_policy,word_count,21.0078125,15.6302734375,27.282421874999994
glm-5.2,2,question_policy*answer_policy,char_count,113.4609375,84.4427734375,145.33710937499998
glm-5.2,2,question_policy*answer_policy,sentence_count,1.3046875,0.78125,1.796875
