group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
ALL,direct,explain_only,reveal,neutral,40,0.0,1.0,0.0,0.0,1.0,55.25,301.825,4.425
ALL,direct,explain_only,reveal,warm,40,0.0,0.975,0.375,0.0,1.0,71.025,392.15,5.075
ALL,direct,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.05,0.0,70.275,390.175,4.6
ALL,direct,explain_only,withhold,warm,40,0.0,0.0,0.4,0.025,0.0,92.725,516.95,5.525
ALL,direct,question_first,reveal,neutral,40,0.925,1.0,0.0,1.0,1.0,66.675,358.025,5.325
ALL,direct,question_first,reveal,warm,40,0.925,1.0,0.4,0.975,1.0,86.925,466.375,6.35
ALL,direct,question_first,withhold,neutral,40,0.95,0.0,0.0,1.0,0.0,77.25,422.9,5.35
ALL,direct,question_first,withhold,warm,40,0.725,0.0,0.575,1.0,0.0,105.075,569.975,6.475
ALL,explore,explain_only,reveal,neutral,40,0.0,0.975,0.0,0.0,1.0,51.5,286.625,4.35
ALL,explore,explain_only,reveal,warm,40,0.0,1.0,0.225,0.0,1.0,69.675,386.925,5.0
ALL,explore,explain_only,withhold,neutral,40,0.0,0.0,0.0,0.0,0.0,74.775,423.35,4.55
ALL,explore,explain_only,withhold,warm,40,0.0,0.0,0.325,0.075,0.0,88.625,491.375,4.8
ALL,explore,question_first,reveal,neutral,40,0.95,0.95,0.0,1.0,0.95,67.3,362.425,5.1
ALL,explore,question_first,reveal,warm,40,0.8,0.975,0.475,1.0,0.975,90.775,493.575,6.375
ALL,explore,question_first,withhold,neutral,40,0.875,0.0,0.0,1.0,0.0,65.025,354.225,3.825
ALL,explore,question_first,withhold,warm,40,0.525,0.0,0.675,1.0,0.0,99.1,536.85,5.825
MiniMax-M2.7,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,51.625,290.75,4.125
MiniMax-M2.7,direct,explain_only,reveal,warm,8,0.0,1.0,0.625,0.0,1.0,61.625,355.0,4.75
MiniMax-M2.7,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.25,0.0,65.625,365.375,5.125
MiniMax-M2.7,direct,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,89.5,506.25,6.375
MiniMax-M2.7,direct,question_first,reveal,neutral,8,0.75,1.0,0.0,1.0,1.0,56.625,313.625,4.75
MiniMax-M2.7,direct,question_first,reveal,warm,8,0.75,1.0,0.375,0.875,1.0,64.875,359.75,5.5
MiniMax-M2.7,direct,question_first,withhold,neutral,8,0.875,0.0,0.0,1.0,0.0,70.0,388.0,5.625
MiniMax-M2.7,direct,question_first,withhold,warm,8,0.75,0.0,0.75,1.0,0.0,85.5,473.75,5.875
MiniMax-M2.7,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,50.25,283.125,4.5
MiniMax-M2.7,explore,explain_only,reveal,warm,8,0.0,1.0,0.375,0.0,1.0,52.5,297.5,4.625
MiniMax-M2.7,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,72.125,414.5,5.125
MiniMax-M2.7,explore,explain_only,withhold,warm,8,0.0,0.0,0.125,0.25,0.0,79.5,436.875,5.25
MiniMax-M2.7,explore,question_first,reveal,neutral,8,0.875,0.875,0.0,1.0,0.875,62.875,354.875,4.875
MiniMax-M2.7,explore,question_first,reveal,warm,8,0.5,1.0,0.625,1.0,1.0,81.875,459.0,6.375
MiniMax-M2.7,explore,question_first,withhold,neutral,8,0.5,0.0,0.0,1.0,0.0,66.125,355.625,4.375
MiniMax-M2.7,explore,question_first,withhold,warm,8,0.25,0.0,0.625,1.0,0.0,74.25,425.875,5.125
MiniMax-M3,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,52.625,279.5,4.625
MiniMax-M3,direct,explain_only,reveal,warm,8,0.0,1.0,0.5,0.0,1.0,68.125,372.125,4.875
MiniMax-M3,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,79.0,430.75,5.0
MiniMax-M3,direct,explain_only,withhold,warm,8,0.0,0.0,0.375,0.125,0.0,107.0,587.875,6.25
MiniMax-M3,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,61.75,324.5,4.375
MiniMax-M3,direct,question_first,reveal,warm,8,1.0,1.0,0.125,1.0,1.0,97.75,507.125,6.0
MiniMax-M3,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,67.625,367.0,4.75
MiniMax-M3,direct,question_first,withhold,warm,8,0.125,0.0,0.375,1.0,0.0,112.5,599.5,6.875
MiniMax-M3,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,62.0,331.375,4.75
MiniMax-M3,explore,explain_only,reveal,warm,8,0.0,1.0,0.0,0.0,1.0,83.875,461.625,5.5
MiniMax-M3,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,92.125,508.375,5.625
MiniMax-M3,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.125,0.0,108.5,586.625,5.75
MiniMax-M3,explore,question_first,reveal,neutral,8,1.0,0.875,0.0,1.0,0.875,75.375,384.75,5.5
MiniMax-M3,explore,question_first,reveal,warm,8,0.625,0.875,0.5,1.0,0.875,100.5,533.875,6.625
MiniMax-M3,explore,question_first,withhold,neutral,8,0.875,0.0,0.0,1.0,0.0,22.875,122.125,1.375
MiniMax-M3,explore,question_first,withhold,warm,8,0.0,0.0,0.75,1.0,0.0,83.5,434.625,5.0
deepseek-v4-pro,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,55.75,300.375,4.375
deepseek-v4-pro,direct,explain_only,reveal,warm,8,0.0,0.875,0.5,0.0,1.0,72.125,396.25,5.75
deepseek-v4-pro,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,57.625,319.875,5.0
deepseek-v4-pro,direct,explain_only,withhold,warm,8,0.0,0.0,0.5,0.0,0.0,80.875,438.125,5.75
deepseek-v4-pro,direct,question_first,reveal,neutral,8,0.875,1.0,0.0,1.0,1.0,61.875,323.625,5.875
deepseek-v4-pro,direct,question_first,reveal,warm,8,1.0,1.0,0.75,1.0,1.0,82.625,447.0,7.0
