event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,4040,0.9826732673267327,0.9814912744579588,0.9837133550488599
affect_acknowledgement,MiniMax-M3,glm-5.3,4040,0.9650990099009901,0.964003063569058,0.9661301945712226
affect_acknowledgement,deepseek-v4-pro,glm-5.3,4040,0.9641089108910891,0.962887125671871,0.9652528157201055
answer_reveal,MiniMax-M3,deepseek-v4-pro,4040,0.9863861386138614,0.9905057828413603,0.9759510275470048
answer_reveal,MiniMax-M3,glm-5.3,4040,0.9898514851485148,0.992902890773758,0.9821971341728181
answer_reveal,deepseek-v4-pro,glm-5.3,4040,0.9891089108910891,0.9924346629986245,0.980565371024735
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,4040,0.8754950495049505,0.39615846338535415,0.9305919690906582
epistemic_qualification,MiniMax-M3,glm-5.3,4040,0.9527227722772277,0.6125760649087221,0.9748253591669962
epistemic_qualification,deepseek-v4-pro,glm-5.3,4040,0.900990099009901,0.5901639344262295,0.9436936936936937
information_request,MiniMax-M3,deepseek-v4-pro,4040,0.994059405940594,0.7551020408163265,0.9969932347782511
information_request,MiniMax-M3,glm-5.3,4040,0.9977722772277228,0.8888888888888888,0.9988748593574197
information_request,deepseek-v4-pro,glm-5.3,4040,0.9948019801980198,0.7692307692307693,0.997371385655276
learner_choice,MiniMax-M3,deepseek-v4-pro,4040,0.9495049504950495,0.820738137082601,0.9706136560069144
learner_choice,MiniMax-M3,glm-5.3,4040,0.932920792079208,0.6808009422850412,0.9625224726870419
learner_choice,deepseek-v4-pro,glm-5.3,4040,0.925,0.6853582554517134,0.957425881691724
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,4040,0.9378712871287128,0.9252308608876973,0.9468558119839086
reasoning_elicitation,MiniMax-M3,glm-5.3,4040,0.9252475247524753,0.9138127853881278,0.9340034965034965
reasoning_elicitation,deepseek-v4-pro,glm-5.3,4040,0.932920792079208,0.9244494006133259,0.9396839528154908
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,4040,0.9056930693069307,0.40930232558139534,0.9487558843308675
unsupported_ability_claim,MiniMax-M3,glm-5.3,4040,0.9232673267326733,0.26540284360189575,0.9595194567772264
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,4040,0.9408415841584158,0.3660477453580902,0.9689731273529794
worked_explanation,MiniMax-M3,deepseek-v4-pro,4040,0.933910891089109,0.9602973977695167,0.8029520295202952
worked_explanation,MiniMax-M3,glm-5.3,4040,0.9415841584158415,0.964744547355841,0.8297258297258298
worked_explanation,deepseek-v4-pro,glm-5.3,4040,0.9517326732673267,0.9712855249595053,0.8487199379363848
