request_id,judge_requested,judge_returned,valid,error
63c1901d76d0dae52fbf:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
68d5a2f8983eecf41179:glm-5.2,glm-5.2,,False,missing_response
d8b091158b8145387f55:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
8481669b3fd975f9c8f7:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
80e89e351d401ddac677:glm-5.2,glm-5.2,,False,missing_response
c8f60d6c3a941c46464a:glm-5.2,glm-5.2,,False,missing_response
c059643c8d1af68e5367:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Unverified completion finish_length
41abaf653d02c2d43587:glm-5.2,glm-5.2,,False,missing_response
acc1e0deceec8a18076e:glm-5.2,glm-5.2,,False,missing_response
62e94a5e10cfb40724ee:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
b00941e99620b639ddbb:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: affect_acknowledgement
b67251afc7065a31ed92:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
e8ab1769195ab0d9e5a7:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Empty visible completion
847834d66b1c19d75c4a:glm-5.2,glm-5.2,,False,missing_response
b511da945dccae8deb68:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
f7081f4656021d7ff9e8:glm-5.2,glm-5.2,,False,missing_response
a4e32c45fba55018ad99:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
3ed857d28be1767f4f19:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
0210c34e3a3b13838b44:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
c9c385feb42fe3c24a0f:glm-5.2,glm-5.2,,False,missing_response
67d1b14a7992b412d836:glm-5.2,glm-5.2,,False,missing_response
f16f2db2acabffb8bcc4:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: affect_acknowledgement
b5583ef9a5bf8f372191:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e3080d3143d16ba96b8d:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Empty visible completion
ba39d0fdc40f9b2ab6b4:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Empty visible completion
33b15e63590b5bce8a60:glm-5.2,glm-5.2,,False,missing_response
957a84204cfcdf2fb8ad:glm-5.2,glm-5.2,,False,missing_response
cb2fd096898a69c81e72:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
2cfaff627a6db474883f:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
ee88f1ac5d5ac4917fd2:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
7e733f9b26a3f73077b1:glm-5.2,glm-5.2,,False,missing_response
a9b3b1c563e0996bec30:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
8481669b3fd975f9c8f7:glm-5.2,glm-5.2,,False,missing_response
5db3274137a245350137:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Empty visible completion
5edf0ae67f09b3a6c257:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
1f861c2d51283e59dcaa:glm-5.2,glm-5.2,,False,missing_response
71fc550d202d11884918:glm-5.2,glm-5.2,,False,missing_response
fc38c588ab5e0ec71131:glm-5.2,glm-5.2,,False,missing_response
2becb439e217006ec8b2:glm-5.2,glm-5.2,,False,missing_response
c8f60d6c3a941c46464a:MiniMax-M3,MiniMax-M3,MiniMax-M3,False,Positive event lacks exact response evidence: worked_explanation
dcfe63aa0331e4775ff3:glm-5.2,glm-5.2,,False,missing_response
67d1b14a7992b412d836:deepseek-v4-pro,deepseek-v4-pro,,False,invalid_completion_Empty visible completion
