dimension,judge_left,judge_right,models,model_profile_spearman
instructional_agency,glm-5.2,deepseek-v4-pro,6,0.9856107606091623
instructional_agency,glm-5.2,doubao-seed-2.0-lite,6,0.8285714285714287
instructional_agency,glm-5.2,minimax-m2.7,6,0.8857142857142858
instructional_agency,deepseek-v4-pro,doubao-seed-2.0-lite,6,0.7826908981308054
instructional_agency,deepseek-v4-pro,minimax-m2.7,6,0.9276336570439174
instructional_agency,doubao-seed-2.0-lite,minimax-m2.7,6,0.6571428571428573
relational_communion,glm-5.2,deepseek-v4-pro,6,1.0
relational_communion,glm-5.2,doubao-seed-2.0-lite,6,0.9856107606091623
relational_communion,glm-5.2,minimax-m2.7,6,0.942857142857143
relational_communion,deepseek-v4-pro,doubao-seed-2.0-lite,6,0.9856107606091623
relational_communion,deepseek-v4-pro,minimax-m2.7,6,0.942857142857143
relational_communion,doubao-seed-2.0-lite,minimax-m2.7,6,0.898645105261295
next_step_actionability,glm-5.2,deepseek-v4-pro,6,0.942857142857143
next_step_actionability,glm-5.2,doubao-seed-2.0-lite,6,0.9276336570439175
next_step_actionability,glm-5.2,minimax-m2.7,6,0.8116794499134279
next_step_actionability,deepseek-v4-pro,doubao-seed-2.0-lite,6,0.9856107606091623
next_step_actionability,deepseek-v4-pro,minimax-m2.7,6,0.8986451052612952
next_step_actionability,doubao-seed-2.0-lite,minimax-m2.7,6,0.8382352941176471
