model,context_group,scenario,language,items,incorrect_inclusion_rate,omission_rate,perfect_match_rate,rfs
minimax-m3,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.28544776119402987,0.05970149253731343,0.6548507462686567,0.6847014925373134
minimax-m3,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.2947761194029851,0.07649253731343283,0.628731343283582,0.6669776119402985
minimax-m3,Error Correction (EC)|en,Error Correction (EC),en,572,0.1590909090909091,0.16783216783216784,0.6730769230769231,0.756993006993007
minimax-m3,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.13636363636363635,0.14160839160839161,0.722027972027972,0.7928321678321678
minimax-m3,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.17365269461077845,0.033932135728542916,0.7924151696606786,0.8063872255489022
minimax-m3,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.1656686626746507,0.03592814371257485,0.7984031936127745,0.812375249500998
minimax-m3,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.1014760147601476,0.06642066420664207,0.8321033210332104,0.8653136531365314
minimax-m3,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.0959409594095941,0.05904059040590406,0.8450184501845018,0.8745387453874539
minimax-m3,Problem Solving (PS)|en,Problem Solving (PS),en,484,0.2190082644628099,0.1487603305785124,0.6322314049586777,0.7066115702479339
minimax-m3,Problem Solving (PS)|zh,Problem Solving (PS),zh,484,0.2231404958677686,0.11363636363636363,0.6632231404958677,0.7179752066115702
minimax-m2.7,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.35447761194029853,0.054104477611940295,0.5914179104477612,0.6184701492537313
minimax-m2.7,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.376865671641791,0.054104477611940295,0.5690298507462687,0.5951492537313433
minimax-m2.7,Error Correction (EC)|en,Error Correction (EC),en,572,0.15734265734265734,0.17657342657342656,0.666083916083916,0.7543706293706294
minimax-m2.7,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.11888111888111888,0.19230769230769232,0.6888111888111889,0.784965034965035
minimax-m2.7,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.3473053892215569,0.013972055888223553,0.6387225548902196,0.6457085828343313
minimax-m2.7,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.3153692614770459,0.023952095808383235,0.6606786427145709,0.6666666666666666
minimax-m2.7,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.23062730627306274,0.023985239852398525,0.7453874538745388,0.757380073800738
