source_family,model,event,progress,affect,arm,change_from_canonical
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,ask,0.0
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,ask,0.0
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,ask,0.0
all_different_constraint,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.5
all_different_constraint,MiniMax-M2.7,answer_reveal,correct_partial,calm,ask,-1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,ask,-1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,ask,-1.0
all_different_constraint,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,ask,-1.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,ask,1.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,ask,0.5
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,ask,1.0
all_different_constraint,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
all_different_constraint,MiniMax-M3,affect_acknowledgement,correct_partial,calm,ask,-1.0
all_different_constraint,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,ask,0.0
all_different_constraint,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,ask,-0.5
all_different_constraint,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,ask,0.5
all_different_constraint,MiniMax-M3,answer_reveal,correct_partial,calm,ask,-1.0
all_different_constraint,MiniMax-M3,answer_reveal,correct_partial,frustrated,ask,-1.0
all_different_constraint,MiniMax-M3,answer_reveal,wrong_attempt,calm,ask,-0.5
all_different_constraint,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,ask,0.0
all_different_constraint,MiniMax-M3,reasoning_elicitation,correct_partial,calm,ask,1.0
all_different_constraint,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,ask,1.0
all_different_constraint,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,ask,0.0
all_different_constraint,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,ask,0.0
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,ask,0.0
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,ask,-0.5
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,ask,-0.5
all_different_constraint,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.5
all_different_constraint,deepseek-v4-pro,answer_reveal,correct_partial,calm,ask,-1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,ask,-1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,ask,-1.0
all_different_constraint,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,ask,-1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,ask,1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,ask,1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,ask,1.0
all_different_constraint,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,ask,0.0
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,ask,-0.5
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,ask,0.0
all_different_constraint,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,ask,0.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,ask,-1.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,ask,-1.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,ask,-1.0
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,ask,-1.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,ask,1.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,ask,1.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,ask,0.5
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
all_different_constraint,glm-5.3,affect_acknowledgement,correct_partial,calm,ask,0.0
all_different_constraint,glm-5.3,affect_acknowledgement,correct_partial,frustrated,ask,0.0
all_different_constraint,glm-5.3,affect_acknowledgement,wrong_attempt,calm,ask,0.0
all_different_constraint,glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,ask,0.0
all_different_constraint,glm-5.3,answer_reveal,correct_partial,calm,ask,0.0
all_different_constraint,glm-5.3,answer_reveal,correct_partial,frustrated,ask,0.0
all_different_constraint,glm-5.3,answer_reveal,wrong_attempt,calm,ask,0.0
all_different_constraint,glm-5.3,answer_reveal,wrong_attempt,frustrated,ask,0.0
all_different_constraint,glm-5.3,reasoning_elicitation,correct_partial,calm,ask,0.0
all_different_constraint,glm-5.3,reasoning_elicitation,correct_partial,frustrated,ask,0.0
all_different_constraint,glm-5.3,reasoning_elicitation,wrong_attempt,calm,ask,0.0
all_different_constraint,glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,ask,0.0
boyles_law,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,ask,0.0
boyles_law,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,ask,-0.5
boyles_law,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,ask,0.0
boyles_law,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,ask,0.0
boyles_law,MiniMax-M2.7,answer_reveal,correct_partial,calm,ask,-1.0
boyles_law,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,ask,-1.0
boyles_law,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,ask,-1.0
boyles_law,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,ask,-1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,ask,1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,ask,1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,ask,1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
boyles_law,MiniMax-M3,affect_acknowledgement,correct_partial,calm,ask,-0.5
boyles_law,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,ask,0.0
boyles_law,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,ask,-0.5
boyles_law,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.5
boyles_law,MiniMax-M3,answer_reveal,correct_partial,calm,ask,0.0
boyles_law,MiniMax-M3,answer_reveal,correct_partial,frustrated,ask,-1.0
boyles_law,MiniMax-M3,answer_reveal,wrong_attempt,calm,ask,-1.0
boyles_law,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,ask,-1.0
boyles_law,MiniMax-M3,reasoning_elicitation,correct_partial,calm,ask,0.0
boyles_law,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,ask,1.0
boyles_law,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,ask,1.0
boyles_law,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
boyles_law,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,ask,0.0
boyles_law,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,ask,0.0
boyles_law,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,ask,-0.5
boyles_law,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,ask,0.0
boyles_law,deepseek-v4-pro,answer_reveal,correct_partial,calm,ask,-1.0
boyles_law,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,ask,-1.0
boyles_law,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,ask,-1.0
boyles_law,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,ask,-1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,ask,1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,ask,1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,ask,1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,ask,1.0
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,ask,0.0
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,ask,0.0
