condition_factor,condition_level,contrast,mean_difference
question_policy,question_first,direct_minus_explore_reveal,0.01874999999999999
question_policy,question_first,explore_minus_direct_question,-0.09375
question_policy,explain_only,direct_minus_explore_reveal,0.0
question_policy,explain_only,explore_minus_direct_question,0.0
answer_policy,reveal,direct_minus_explore_reveal,0.018750000000000044
answer_policy,reveal,explore_minus_direct_question,-0.025000000000000022
answer_policy,withhold,direct_minus_explore_reveal,0.0
answer_policy,withhold,explore_minus_direct_question,-0.06875000000000003
tone_policy,warm,direct_minus_explore_reveal,0.0
tone_policy,warm,explore_minus_direct_question,-0.08124999999999999
tone_policy,neutral,direct_minus_explore_reveal,0.01874999999999999
tone_policy,neutral,explore_minus_direct_question,-0.012500000000000011
