model,event,arm,sources,effect_min,effect_max
MiniMax-M2.7,affect_acknowledgement,neutral_a,16,0.0859375,0.0859375
MiniMax-M2.7,affect_acknowledgement,neutral_b,16,0.0234375,0.0234375
MiniMax-M2.7,affect_acknowledgement,ask,16,-0.1484375,-0.1484375
MiniMax-M2.7,affect_acknowledgement,explain,16,-0.0703125,-0.0703125
MiniMax-M2.7,answer_reveal,neutral_a,16,-0.015625,-0.015625
MiniMax-M2.7,answer_reveal,neutral_b,16,-0.0234375,-0.0234375
MiniMax-M2.7,answer_reveal,ask,16,-0.9296875,-0.9296875
MiniMax-M2.7,answer_reveal,explain,16,0.0,0.0
MiniMax-M2.7,reasoning_elicitation,neutral_a,16,0.015625,0.015625
MiniMax-M2.7,reasoning_elicitation,neutral_b,16,0.0625,0.0625
MiniMax-M2.7,reasoning_elicitation,ask,16,0.90625,0.90625
MiniMax-M2.7,reasoning_elicitation,explain,16,-0.0390625,-0.0390625
MiniMax-M3,affect_acknowledgement,neutral_a,16,-0.0078125,-0.0078125
MiniMax-M3,affect_acknowledgement,neutral_b,16,0.015625,0.015625
MiniMax-M3,affect_acknowledgement,ask,16,-0.1953125,-0.1953125
MiniMax-M3,affect_acknowledgement,explain,16,-0.0390625,-0.0390625
MiniMax-M3,answer_reveal,neutral_a,16,-0.0390625,-0.0390625
MiniMax-M3,answer_reveal,neutral_b,16,-0.046875,-0.046875
MiniMax-M3,answer_reveal,ask,16,-0.75,-0.75
MiniMax-M3,answer_reveal,explain,16,0.21875,0.21875
MiniMax-M3,reasoning_elicitation,neutral_a,16,-0.0234375,-0.0234375
MiniMax-M3,reasoning_elicitation,neutral_b,16,0.046875,0.046875
MiniMax-M3,reasoning_elicitation,ask,16,0.4375,0.4375
MiniMax-M3,reasoning_elicitation,explain,16,-0.109375,-0.109375
deepseek-v4-pro,affect_acknowledgement,neutral_a,16,-0.0078125,-0.0078125
deepseek-v4-pro,affect_acknowledgement,neutral_b,16,0.03125,0.03125
deepseek-v4-pro,affect_acknowledgement,ask,16,-0.046875,-0.046875
deepseek-v4-pro,affect_acknowledgement,explain,16,-0.125,-0.125
deepseek-v4-pro,answer_reveal,neutral_a,16,-0.0078125,-0.0078125
deepseek-v4-pro,answer_reveal,neutral_b,16,0.0,0.0
deepseek-v4-pro,answer_reveal,ask,16,-1.0,-1.0
deepseek-v4-pro,answer_reveal,explain,16,0.0,0.0
deepseek-v4-pro,reasoning_elicitation,neutral_a,16,-0.015625,-0.015625
deepseek-v4-pro,reasoning_elicitation,neutral_b,16,0.0078125,0.0078125
deepseek-v4-pro,reasoning_elicitation,ask,16,0.96875,0.96875
deepseek-v4-pro,reasoning_elicitation,explain,16,0.0234375,0.0234375
doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,16,0.0,0.0
doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,16,-0.0234375,-0.0234375
doubao-seed-2.0-lite,affect_acknowledgement,ask,16,-0.109375,-0.109375
doubao-seed-2.0-lite,affect_acknowledgement,explain,16,-0.15625,-0.15625
doubao-seed-2.0-lite,answer_reveal,neutral_a,16,0.0,0.0
doubao-seed-2.0-lite,answer_reveal,neutral_b,16,0.0,0.0
doubao-seed-2.0-lite,answer_reveal,ask,16,-1.0,-1.0
doubao-seed-2.0-lite,answer_reveal,explain,16,0.0,0.0
doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,16,-0.0078125,-0.0078125
doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,16,-0.0078125,-0.0078125
doubao-seed-2.0-lite,reasoning_elicitation,ask,16,0.9609375,0.9609375
doubao-seed-2.0-lite,reasoning_elicitation,explain,16,-0.0234375,-0.0234375
glm-5.3,affect_acknowledgement,neutral_a,16,0.0703125,0.0703125
glm-5.3,affect_acknowledgement,neutral_b,16,0.15625,0.15625
glm-5.3,affect_acknowledgement,ask,16,-0.015625,-0.015625
glm-5.3,affect_acknowledgement,explain,16,-0.03125,-0.03125
glm-5.3,answer_reveal,neutral_a,16,0.015625,0.015625
glm-5.3,answer_reveal,neutral_b,16,0.15625,0.1640625
glm-5.3,answer_reveal,ask,16,-0.2734375,-0.2734375
glm-5.3,answer_reveal,explain,16,0.7265625,0.7265625
glm-5.3,reasoning_elicitation,neutral_a,16,0.0234375,0.0234375
glm-5.3,reasoning_elicitation,neutral_b,16,-0.0390625,-0.0390625
glm-5.3,reasoning_elicitation,ask,16,0.046875,0.046875
glm-5.3,reasoning_elicitation,explain,16,-0.328125,-0.328125
