event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,4786,0.957584621813623,0.9550984295509843,0.9598099386260146
affect_acknowledgement,MiniMax-M3,glm-5.3,4786,0.9540325950689511,0.9533106960950763,0.9547325102880658
affect_acknowledgement,deepseek-v4-pro,glm-5.3,4786,0.950062682824906,0.9485910948591095,0.9514523664432257
answer_reveal,MiniMax-M3,deepseek-v4-pro,4786,0.9880902632678646,0.9926041261191125,0.9694369973190349
answer_reveal,MiniMax-M3,glm-5.3,4786,0.9887170915169243,0.9929778933680105,0.971307120085016
answer_reveal,deepseek-v4-pro,glm-5.3,4786,0.9905975762641036,0.994170229304314,0.9757150566648678
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,4786,0.8591725867112411,0.2288329519450801,0.9225109220510462
epistemic_qualification,MiniMax-M3,glm-5.3,4786,0.9542415378186377,0.456575682382134,0.9761151706838259
epistemic_qualification,deepseek-v4-pro,glm-5.3,4786,0.8894692854157961,0.49952696310312206,0.9378743394010569
information_request,MiniMax-M3,deepseek-v4-pro,4786,0.998955286251567,0.2857142857142857,0.9994772608468374
information_request,MiniMax-M3,glm-5.3,4786,0.9997910572503134,0.0,0.9998955177097482
information_request,deepseek-v4-pro,glm-5.3,4786,0.9987463435018805,0.0,0.9993727785908426
learner_choice,MiniMax-M3,deepseek-v4-pro,4786,0.9640618470539072,0.7897310513447433,0.9803518391592415
learner_choice,MiniMax-M3,glm-5.3,4786,0.9508984538236523,0.5623836126629422,0.9739900387382402
learner_choice,deepseek-v4-pro,glm-5.3,4786,0.9383618888424572,0.5383411580594679,0.9669763797156611
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,4786,0.9540325950689511,0.9238227146814404,0.9670855774985039
reasoning_elicitation,MiniMax-M3,glm-5.3,4786,0.9425407438361889,0.9092708677004289,0.9579574988533863
reasoning_elicitation,deepseek-v4-pro,glm-5.3,4786,0.9492269118261596,0.9215369712625121,0.9624710424710424
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,4786,0.9045131633932303,0.4487334137515078,0.9477296122612375
unsupported_ability_claim,MiniMax-M3,glm-5.3,4786,0.9329293773506059,0.36182902584493043,0.9646046973205425
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,4786,0.9239448391140828,0.36363636363636365,0.9595555555555556
worked_explanation,MiniMax-M3,deepseek-v4-pro,4786,0.9394066025908901,0.9667583677212288,0.6580188679245284
worked_explanation,MiniMax-M3,glm-5.3,4786,0.9534057668198913,0.9743648695252328,0.7445589919816724
worked_explanation,deepseek-v4-pro,glm-5.3,4786,0.9630171333054743,0.9799205899035734,0.7661822985468957
