item_id,model,response_sha256,affective_warmth,autonomy_support,cognitive_load,diagnostic_specificity,elicitation,epistemic_caution,help_directness,personalization,diagnosis_correct,diagnosis_predicted,diagnosis_gold,evidence_accuracy,evidence_questions,history_utilization,strategy_alignment,coherence,appropriateness,teaching_quality
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,deepseek-v4-pro,be0bf6403966fdf0233ac915aa2ae9020f26b911b1f453acb9fbee474345495d,3.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,1.0,Recall Failure,Recall Failure,1.0,3,2.0,2.0,5.0,3.0,3.0
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,doubao-seed-2.0-pro,705eb4e977063d0d07a33537d0f8497ebe507b4d3f00e7a96070984794dcc0bf,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,0.0,Conceptual Gap,Recall Failure,1.0,3,3.0,4.0,4.0,4.0,3.75
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,glm-5.2,538d9fa0f6357ced9bb6fbc01bbe2e1d7e986e8cb71d962fea90231250e86102,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,0.0,Conceptual Gap,Recall Failure,0.3333333333333333,3,4.0,4.0,5.0,4.0,4.25
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,minimax-m2.7,5c7434167eb40106dad541b06826f96d3967e054b21dd23a866c222235d10746,2.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,0.0,Conceptual Gap,Recall Failure,0.3333333333333333,3,1.0,2.0,4.0,2.0,2.25
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,minimax-m3,381e1dd31c36662445fb33a3a8c679217f57e5beca0b632f6c399057ab2c50c9,4.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0,Procedural Error,Recall Failure,0.6666666666666666,3,2.0,2.0,5.0,4.0,3.25
10439||1d68b749c26738897a36ef4aa1948e3a5d4d663f9d2479d92278087314385007,qwen3.5-4b,48ed610dd210f8dabe83dc8f9034539b96efa05e6362b812a49128549cddc3a5,2.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,0.0,Conceptual Gap,Recall Failure,0.6666666666666666,3,4.0,4.0,5.0,5.0,4.5
1043||fd2ec02f1fbea3d067f232f1b363e77d0e49dc92b0634676dc1cb4c3ae55c3c2,deepseek-v4-pro,a3f2a99b2a6a86ba79095a74571da6ea6dbd66680b38272e8d63c4a9c141aa32,4.0,5.0,2.0,2.0,5.0,2.0,2.0,4.0,1.0,Procedural Error,Procedural Error,0.6666666666666666,3,4.0,2.0,4.0,3.0,3.25
1043||fd2ec02f1fbea3d067f232f1b363e77d0e49dc92b0634676dc1cb4c3ae55c3c2,doubao-seed-2.0-pro,37e9a43997d075878e2fd0f452754b08cdb364586fa90016b25b193115ed91bc,4.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,Procedural Error,Procedural Error,0.6666666666666666,3,4.0,3.0,4.0,4.0,3.75
1043||fd2ec02f1fbea3d067f232f1b363e77d0e49dc92b0634676dc1cb4c3ae55c3c2,glm-5.2,4597c9287c08522e7ea615571bc848993da58c165ba396764c8e36249ef0f084,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,Procedural Error,Procedural Error,0.6666666666666666,3,4.0,3.0,5.0,4.0,4.0
1043||fd2ec02f1fbea3d067f232f1b363e77d0e49dc92b0634676dc1cb4c3ae55c3c2,minimax-m2.7,5ad3b9523024b9538d086e7a064401a45f7d061a9013c866ce2bf3266a6ec0f8,1.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,0.0,Conceptual Gap,Procedural Error,0.6666666666666666,3,1.0,1.0,2.0,1.0,1.25
