blind_id,event,present,unanimous,template,progress,affect,repeat,model,source_family,partition,panel,arm
0071a71b9fc493c119d8,affect_acknowledgement,0,1,sampling_bias,wrong_attempt,calm,1,MiniMax-M2.7,sampling_frame_bias,confirmation,main,canonical
009f5ee1dd4f541a99e6,affect_acknowledgement,0,1,distinct_allocation,wrong_attempt,frustrated,0,MiniMax-M3,all_different_constraint,confirmation,main,canonical
00a604478d443c820852,affect_acknowledgement,0,1,photosynthesis_inputs,correct_partial,frustrated,1,MiniMax-M2.7,photosynthesis_inputs,confirmation,main,ask
00abb341bce937788554,affect_acknowledgement,1,1,distinct_allocation,correct_partial,frustrated,0,deepseek-v4-pro,all_different_constraint,confirmation,main,neutral_a
010a72cf72f45bb70d4b,affect_acknowledgement,1,1,prism_volume,wrong_attempt,frustrated,1,glm-5.3,rectangular_prism_volume,confirmation,main,canonical
010f1023a999843e9e4f,affect_acknowledgement,0,1,relative_clause,correct_partial,calm,0,doubao-seed-2.0-lite,relative_clause_attachment,confirmation,main,explain
013874c8c9476bc4020b,affect_acknowledgement,1,1,distinct_allocation,wrong_attempt,frustrated,0,doubao-seed-2.0-lite,all_different_constraint,confirmation,main,canonical
01458299fb3d9a114c58,affect_acknowledgement,0,1,exclusive_or,correct_partial,frustrated,0,deepseek-v4-pro,exclusive_or,confirmation,main,explain
014af497dd514736dcc9,affect_acknowledgement,1,1,common_multiple,wrong_attempt,frustrated,1,doubao-seed-2.0-lite,least_common_multiple,confirmation,main,ask
01507ffd202a6815f36b,affect_acknowledgement,1,0,distinct_allocation,wrong_attempt,frustrated,1,MiniMax-M2.7,all_different_constraint,confirmation,main,canonical
015ff612bd7ceeb20255,affect_acknowledgement,1,1,triangle_area,wrong_attempt,calm,1,MiniMax-M3,triangle_area,confirmation,main,explain
018c413067a94723342a,affect_acknowledgement,1,1,pigeonhole_guarantee,wrong_attempt,frustrated,1,MiniMax-M3,pigeonhole_principle,confirmation,main,neutral_a
018eb93425ff7172b6a2,affect_acknowledgement,1,1,parallel_structure,correct_partial,frustrated,1,glm-5.3,parallel_structure,confirmation,main,neutral_a
0199a5ae8c48879d97db,affect_acknowledgement,0,0,prism_volume,correct_partial,frustrated,1,deepseek-v4-pro,rectangular_prism_volume,confirmation,main,neutral_b
