event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,158,0.9810126582278481,0.9861751152073732,0.9696969696969697
affect_acknowledgement,MiniMax-M3,glm-5.3,158,0.9620253164556962,0.972972972972973,0.9361702127659575
affect_acknowledgement,deepseek-v4-pro,glm-5.3,158,0.9683544303797469,0.9775784753363229,0.946236559139785
answer_reveal,MiniMax-M3,deepseek-v4-pro,158,0.9683544303797469,0.9802371541501976,0.9206349206349206
answer_reveal,MiniMax-M3,glm-5.3,158,0.9683544303797469,0.9802371541501976,0.9206349206349206
answer_reveal,deepseek-v4-pro,glm-5.3,158,0.9873417721518988,0.9922480620155039,0.9655172413793104
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,158,0.8607594936708861,0.7027027027027027,0.9090909090909091
epistemic_qualification,MiniMax-M3,glm-5.3,158,0.8924050632911392,0.746268656716418,0.9317269076305221
epistemic_qualification,deepseek-v4-pro,glm-5.3,158,0.9177215189873418,0.8539325842696629,0.9427312775330396
information_request,MiniMax-M3,deepseek-v4-pro,158,0.9873417721518988,0.5,0.9935897435897436
information_request,MiniMax-M3,glm-5.3,158,0.9936708860759493,0.0,0.9968253968253968
information_request,deepseek-v4-pro,glm-5.3,158,0.9810126582278481,0.0,0.9904153354632588
learner_choice,MiniMax-M3,deepseek-v4-pro,158,0.9113924050632911,0.75,0.9461538461538461
learner_choice,MiniMax-M3,glm-5.3,158,0.9050632911392406,0.6341463414634146,0.9454545454545454
learner_choice,deepseek-v4-pro,glm-5.3,158,0.9050632911392406,0.6666666666666666,0.9446494464944649
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,158,0.9493670886075949,0.9285714285714286,0.9607843137254902
reasoning_elicitation,MiniMax-M3,glm-5.3,158,0.9177215189873418,0.8925619834710744,0.9333333333333333
reasoning_elicitation,deepseek-v4-pro,glm-5.3,158,0.9430379746835443,0.928,0.9528795811518325
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,158,0.8670886075949367,0.5116279069767442,0.9230769230769231
unsupported_ability_claim,MiniMax-M3,glm-5.3,158,0.8734177215189873,0.3333333333333333,0.9300699300699301
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,158,0.9177215189873418,0.43478260869565216,0.9556313993174061
worked_explanation,MiniMax-M3,deepseek-v4-pro,158,0.9620253164556962,0.9797297297297297,0.7
worked_explanation,MiniMax-M3,glm-5.3,158,0.9746835443037974,0.9865771812080537,0.7777777777777778
worked_explanation,deepseek-v4-pro,glm-5.3,158,0.9746835443037974,0.9865771812080537,0.7777777777777778
