task,model,dimension,full_mean_delta,leaveout_mean_delta,excluded_judge,sign_reversal,absolute_change
mathdial_hard,deepseek-v4-pro,affective_warmth,-0.025,0.05,MiniMax-M3,True,0.07500000000000001
mathdial_hard,deepseek-v4-pro,autonomy_support,1.3,1.125,MiniMax-M3,False,0.17500000000000004
mathdial_hard,deepseek-v4-pro,cognitive_load,-0.8,-0.7375,MiniMax-M3,False,0.0625
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,-0.75,-0.875,MiniMax-M3,False,0.125
mathdial_hard,deepseek-v4-pro,elicitation,2.1,2.075,MiniMax-M3,False,0.02499999999999991
mathdial_hard,deepseek-v4-pro,epistemic_caution,0.2,0.1875,MiniMax-M3,False,0.012500000000000011
mathdial_hard,deepseek-v4-pro,help_directness,-1.7,-1.75,MiniMax-M3,False,0.050000000000000044
mathdial_hard,deepseek-v4-pro,personalization,0.025,-0.075,MiniMax-M3,True,0.1
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,-0.825,-0.9875,MiniMax-M3,False,0.1625000000000001
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,1.6,1.3375,MiniMax-M3,False,0.2625000000000002
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,-1.05,-0.975,MiniMax-M3,False,0.07500000000000007
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,-0.8,-0.9125,MiniMax-M3,False,0.11249999999999993
mathdial_hard,doubao-seed-2.0-pro,elicitation,2.85,2.7375,MiniMax-M3,False,0.11250000000000027
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,0.25,0.3125,MiniMax-M3,False,0.0625
mathdial_hard,doubao-seed-2.0-pro,help_directness,-1.875,-2.025,MiniMax-M3,False,0.1499999999999999
mathdial_hard,doubao-seed-2.0-pro,personalization,-0.05,-0.2125,MiniMax-M3,False,0.16249999999999998
mathdial_hard,glm-5.2,affective_warmth,-0.45,-0.45,MiniMax-M3,False,0.0
mathdial_hard,glm-5.2,autonomy_support,0.2,-0.0125,MiniMax-M3,True,0.21250000000000002
mathdial_hard,glm-5.2,cognitive_load,-0.2,-0.325,MiniMax-M3,False,0.125
mathdial_hard,glm-5.2,diagnostic_specificity,-0.3,-0.3875,MiniMax-M3,False,0.08750000000000002
mathdial_hard,glm-5.2,elicitation,0.9,0.8625,MiniMax-M3,False,0.03749999999999998
mathdial_hard,glm-5.2,epistemic_caution,0.1,0.175,MiniMax-M3,False,0.07499999999999998
mathdial_hard,glm-5.2,help_directness,-0.6,-0.6875,MiniMax-M3,False,0.08750000000000002
mathdial_hard,glm-5.2,personalization,0.0,-0.0875,MiniMax-M3,False,0.0875
mathdial_hard,minimax-m2.7,affective_warmth,0.35,0.3875,MiniMax-M3,False,0.03750000000000003
mathdial_hard,minimax-m2.7,autonomy_support,1.45,1.1625,MiniMax-M3,False,0.28749999999999987
mathdial_hard,minimax-m2.7,cognitive_load,-0.775,-0.7875,MiniMax-M3,False,0.012499999999999956
mathdial_hard,minimax-m2.7,diagnostic_specificity,-0.45,-0.625,MiniMax-M3,False,0.175
mathdial_hard,minimax-m2.7,elicitation,2.675,2.6,MiniMax-M3,False,0.07499999999999973
mathdial_hard,minimax-m2.7,epistemic_caution,0.15,0.25,MiniMax-M3,False,0.1
mathdial_hard,minimax-m2.7,help_directness,-1.95,-2.1,MiniMax-M3,False,0.15000000000000013
mathdial_hard,minimax-m2.7,personalization,0.125,0.075,MiniMax-M3,False,0.05
mathdial_hard,minimax-m3,affective_warmth,-0.2,-0.2125,MiniMax-M3,False,0.012499999999999983
mathdial_hard,minimax-m3,autonomy_support,1.45,1.0875,MiniMax-M3,False,0.36250000000000004
mathdial_hard,minimax-m3,cognitive_load,-0.975,-1.0125,MiniMax-M3,False,0.03749999999999998
mathdial_hard,minimax-m3,diagnostic_specificity,-0.5,-0.5625,MiniMax-M3,False,0.0625
mathdial_hard,minimax-m3,elicitation,2.3,2.125,MiniMax-M3,False,0.17499999999999982
mathdial_hard,minimax-m3,epistemic_caution,0.2,0.2375,MiniMax-M3,False,0.03749999999999998
mathdial_hard,minimax-m3,help_directness,-1.9,-1.9625,MiniMax-M3,False,0.0625
mathdial_hard,minimax-m3,personalization,0.05,0.0,MiniMax-M3,False,0.05
mathdial_hard,qwen3.5-4b,affective_warmth,-0.375,-0.45,MiniMax-M3,False,0.07500000000000001
mathdial_hard,qwen3.5-4b,autonomy_support,1.5,1.375,MiniMax-M3,False,0.125
mathdial_hard,qwen3.5-4b,cognitive_load,-0.525,-0.4625,MiniMax-M3,False,0.0625
mathdial_hard,qwen3.5-4b,diagnostic_specificity,-0.2,-0.4,MiniMax-M3,False,0.2
mathdial_hard,qwen3.5-4b,elicitation,2.2,2.075,MiniMax-M3,False,0.125
mathdial_hard,qwen3.5-4b,epistemic_caution,0.225,0.1875,MiniMax-M3,False,0.037500000000000006
mathdial_hard,qwen3.5-4b,help_directness,-1.225,-1.35,MiniMax-M3,False,0.125
mathdial_hard,qwen3.5-4b,personalization,0.1,0.0125,MiniMax-M3,False,0.08750000000000001
mathdial_standard,deepseek-v4-pro,affective_warmth,-0.10126582278481013,-0.1518987341772152,MiniMax-M3,False,0.05063291139240507
mathdial_standard,deepseek-v4-pro,autonomy_support,1.2151898734177216,1.1645569620253164,MiniMax-M3,False,0.05063291139240511
mathdial_standard,deepseek-v4-pro,cognitive_load,-0.620253164556962,-0.5,MiniMax-M3,False,0.120253164556962
mathdial_standard,deepseek-v4-pro,diagnostic_specificity,-0.6835443037974683,-0.7468354430379747,MiniMax-M3,False,0.06329113924050633
mathdial_standard,deepseek-v4-pro,elicitation,2.1772151898734178,2.037974683544304,MiniMax-M3,False,0.13924050632911378
mathdial_standard,deepseek-v4-pro,epistemic_caution,0.43037974683544306,0.33544303797468356,MiniMax-M3,False,0.0949367088607595
mathdial_standard,deepseek-v4-pro,help_directness,-1.3924050632911393,-1.4303797468354431,MiniMax-M3,False,0.03797468354430378
mathdial_standard,deepseek-v4-pro,personalization,0.012658227848101266,0.0189873417721519,MiniMax-M3,False,0.006329113924050634
mathdial_standard,doubao-seed-2.0-pro,affective_warmth,-0.4177215189873418,-0.35443037974683544,MiniMax-M3,False,0.06329113924050633
mathdial_standard,doubao-seed-2.0-pro,autonomy_support,1.9493670886075949,1.8037974683544304,MiniMax-M3,False,0.14556962025316444
mathdial_standard,doubao-seed-2.0-pro,cognitive_load,-1.1265822784810127,-0.930379746835443,MiniMax-M3,False,0.19620253164556967
mathdial_standard,doubao-seed-2.0-pro,diagnostic_specificity,-0.9746835443037974,-1.0696202531645569,MiniMax-M3,False,0.09493670886075944
mathdial_standard,doubao-seed-2.0-pro,elicitation,3.1645569620253164,3.1265822784810124,MiniMax-M3,False,0.037974683544304
mathdial_standard,doubao-seed-2.0-pro,epistemic_caution,0.46835443037974683,0.5126582278481012,MiniMax-M3,False,0.04430379746835439
mathdial_standard,doubao-seed-2.0-pro,help_directness,-2.3164556962025316,-2.3227848101265822,MiniMax-M3,False,0.006329113924050667
mathdial_standard,doubao-seed-2.0-pro,personalization,-0.11392405063291139,-0.08227848101265822,MiniMax-M3,False,0.03164556962025317
mathdial_standard,glm-5.2,affective_warmth,-0.21518987341772153,-0.18354430379746836,MiniMax-M3,False,0.03164556962025317
mathdial_standard,glm-5.2,autonomy_support,0.5189873417721519,0.5443037974683544,MiniMax-M3,False,0.025316455696202556
mathdial_standard,glm-5.2,cognitive_load,-0.6329113924050633,-0.5126582278481012,MiniMax-M3,False,0.12025316455696211
mathdial_standard,glm-5.2,diagnostic_specificity,-0.5316455696202531,-0.5379746835443038,MiniMax-M3,False,0.006329113924050667
mathdial_standard,glm-5.2,elicitation,1.3670886075949367,1.3101265822784811,MiniMax-M3,False,0.056962025316455556
mathdial_standard,glm-5.2,epistemic_caution,0.569620253164557,0.5189873417721519,MiniMax-M3,False,0.05063291139240511
mathdial_standard,glm-5.2,help_directness,-1.1012658227848102,-1.1708860759493671,MiniMax-M3,False,0.06962025316455689
mathdial_standard,glm-5.2,personalization,0.06329113924050633,0.006329113924050633,MiniMax-M3,False,0.0569620253164557
mathdial_standard,minimax-m2.7,affective_warmth,0.6455696202531646,0.740506329113924,MiniMax-M3,False,0.09493670886075944
mathdial_standard,minimax-m2.7,autonomy_support,1.8860759493670887,1.7215189873417722,MiniMax-M3,False,0.16455696202531644
mathdial_standard,minimax-m2.7,cognitive_load,-0.9873417721518988,-0.9240506329113924,MiniMax-M3,False,0.06329113924050633
mathdial_standard,minimax-m2.7,diagnostic_specificity,-0.8607594936708861,-0.9113924050632911,MiniMax-M3,False,0.050632911392405
mathdial_standard,minimax-m2.7,elicitation,3.2025316455696204,3.189873417721519,MiniMax-M3,False,0.012658227848101333
mathdial_standard,minimax-m2.7,epistemic_caution,0.3670886075949367,0.4177215189873418,MiniMax-M3,False,0.050632911392405056
mathdial_standard,minimax-m2.7,help_directness,-2.2278481012658227,-2.2468354430379747,MiniMax-M3,False,0.018987341772152
mathdial_standard,minimax-m2.7,personalization,0.17721518987341772,0.12025316455696203,MiniMax-M3,False,0.056962025316455694
mathdial_standard,minimax-m3,affective_warmth,-0.21518987341772153,-0.22784810126582278,MiniMax-M3,False,0.01265822784810125
mathdial_standard,minimax-m3,autonomy_support,1.6455696202531647,1.5316455696202531,MiniMax-M3,False,0.11392405063291156
mathdial_standard,minimax-m3,cognitive_load,-0.8227848101265823,-0.7974683544303798,MiniMax-M3,False,0.025316455696202556
mathdial_standard,minimax-m3,diagnostic_specificity,-0.27848101265822783,-0.3670886075949367,MiniMax-M3,False,0.08860759493670889
mathdial_standard,minimax-m3,elicitation,2.4683544303797467,2.4556962025316458,MiniMax-M3,False,0.01265822784810089
mathdial_standard,minimax-m3,epistemic_caution,0.6962025316455697,0.6582278481012658,MiniMax-M3,False,0.03797468354430389
mathdial_standard,minimax-m3,help_directness,-2.151898734177215,-2.0949367088607596,MiniMax-M3,False,0.056962025316455556
mathdial_standard,minimax-m3,personalization,0.0759493670886076,0.05063291139240506,MiniMax-M3,False,0.025316455696202535
mathdial_standard,qwen3.5-4b,affective_warmth,-0.26582278481012656,-0.3987341772151899,MiniMax-M3,False,0.13291139240506333
mathdial_standard,qwen3.5-4b,autonomy_support,1.3417721518987342,1.1708860759493671,MiniMax-M3,False,0.1708860759493671
mathdial_standard,qwen3.5-4b,cognitive_load,-0.3670886075949367,-0.33544303797468356,MiniMax-M3,False,0.03164556962025317
mathdial_standard,qwen3.5-4b,diagnostic_specificity,-0.0379746835443038,-0.2088607594936709,MiniMax-M3,False,0.17088607594936708
mathdial_standard,qwen3.5-4b,elicitation,2.4430379746835444,2.3987341772151898,MiniMax-M3,False,0.044303797468354666
