arm,model,event,interpretation,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note
canonical,MiniMax-M2.7,affect_acknowledgement,student cue contrast,32,0.3515625,0.2578125,0.4453125,0.05002440810494413,3.4280042355798314e-08,
canonical,MiniMax-M2.7,answer_reveal,student cue contrast,32,0.0078125,-0.015625,0.03125,0.013676374547595902,0.2859775739024797,
canonical,MiniMax-M2.7,reasoning_elicitation,student cue contrast,32,-0.0234375,-0.0859375,0.0390625,0.03245533337241378,0.76219145649398,
canonical,MiniMax-M3,affect_acknowledgement,student cue contrast,32,0.328125,0.234375,0.4296875,0.05317241716887285,3.7754319582643186e-07,
canonical,MiniMax-M3,answer_reveal,student cue contrast,32,0.1171875,0.0234375,0.2109375,0.05018159437796407,0.013088624667612934,
canonical,MiniMax-M3,reasoning_elicitation,student cue contrast,32,-0.1015625,-0.2109375,0.015625,0.06235807979666644,0.9432505848326534,
canonical,deepseek-v4-pro,affect_acknowledgement,student cue contrast,32,0.1875,0.09375,0.28125,0.0526514711983895,0.0006079224274333784,
canonical,deepseek-v4-pro,answer_reveal,student cue contrast,32,0.0234375,0.0,0.046875,0.01308786509334555,0.041549375641236834,
canonical,deepseek-v4-pro,reasoning_elicitation,student cue contrast,32,0.0,-0.03125,0.03125,0.01944284427619547,0.5,
canonical,doubao-seed-2.0-lite,affect_acknowledgement,student cue contrast,32,0.75,0.6796875,0.8203125,0.04200134406451544,3.600838417379147e-18,
canonical,doubao-seed-2.0-lite,answer_reveal,student cue contrast,32,0.0,0.0,0.0,0.0,1.0,Zero source variance; no t-test decision
canonical,doubao-seed-2.0-lite,reasoning_elicitation,student cue contrast,32,-0.0078125,-0.03125,0.015625,0.013676374547595902,0.7140224260975203,
canonical,glm-5.3,affect_acknowledgement,student cue contrast,32,0.609375,0.53125,0.6796875,0.040376098556911356,3.919881692763594e-16,
canonical,glm-5.3,answer_reveal,student cue contrast,32,0.1171875,0.0390625,0.1953125,0.0419778992711372,0.004449590950872381,
canonical,glm-5.3,reasoning_elicitation,student cue contrast,32,-0.0234375,-0.046875,0.0,0.01308786509334555,0.9584506243587632,
explicit,MiniMax-M2.7,affect_acknowledgement,student cue contrast,32,0.4375,0.359375,0.515625,0.04347552147751577,1.3784763160817033e-11,
explicit,MiniMax-M2.7,answer_reveal,student cue contrast,32,0.015625,0.0,0.03125,0.010868880369378943,0.08028431694706228,
explicit,MiniMax-M2.7,reasoning_elicitation,student cue contrast,32,-0.0390625,-0.09394531249999982,0.0234375,0.03196633617081388,0.8845386034692382,
explicit,MiniMax-M3,affect_acknowledgement,student cue contrast,32,0.765625,0.6953125,0.828125,0.03712429400871027,5.800680107580096e-20,
explicit,MiniMax-M3,answer_reveal,student cue contrast,32,0.0859375,-0.015625,0.1875,0.053375683449201426,0.05876221147268907,
explicit,MiniMax-M3,reasoning_elicitation,student cue contrast,32,-0.0546875,-0.171875,0.0703125,0.06615747399899288,0.7926167853615801,
explicit,deepseek-v4-pro,affect_acknowledgement,student cue contrast,32,0.484375,0.3828125,0.5859375,0.05136432468948123,6.382716402508044e-11,
explicit,deepseek-v4-pro,answer_reveal,student cue contrast,32,0.0,0.0,0.0,0.0,1.0,Zero source variance; no t-test decision
explicit,deepseek-v4-pro,reasoning_elicitation,student cue contrast,32,-0.015625,-0.0390625,0.0,0.010868880369378943,0.9197156830529377,
explicit,doubao-seed-2.0-lite,affect_acknowledgement,student cue contrast,32,0.7421875,0.671875,0.8046875,0.0380410812928263,2.8750449454897084e-19,
explicit,doubao-seed-2.0-lite,answer_reveal,student cue contrast,32,0.0,0.0,0.0,0.0,1.0,Zero source variance; no t-test decision
explicit,doubao-seed-2.0-lite,reasoning_elicitation,student cue contrast,32,-0.03125,-0.0625,0.0,0.018615106161914703,0.9483719945151087,
explicit,glm-5.3,affect_acknowledgement,student cue contrast,32,0.640625,0.5390625,0.734375,0.05376160321120185,2.0820354759784684e-13,
explicit,glm-5.3,answer_reveal,student cue contrast,32,0.109375,0.046875,0.171875,0.03712429400871027,0.0030293190206901453,
explicit,glm-5.3,reasoning_elicitation,student cue contrast,32,-0.0234375,-0.0703125,0.0234375,0.028307817564804563,0.7929866022412515,
