pair_id,delta,task,model,dimension
0,-2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
104,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
112,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
12,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
130,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
134,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
140,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
155,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
160,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
165,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
172,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
177,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
181,1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
183,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
202,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
211,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
215,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
219,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
232,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
246,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
247,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
252,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
274,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
277,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
28,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
29,1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
315,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
326,2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
33,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
39,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
42,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
46,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
5,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
51,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
71,1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
75,0.0,mathdial_hard,deepseek-v4-pro,affective_warmth
77,-2.0,mathdial_hard,deepseek-v4-pro,affective_warmth
80,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
83,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
89,-1.0,mathdial_hard,deepseek-v4-pro,affective_warmth
0,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
104,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
112,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
12,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
130,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
134,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
140,1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
155,4.0,mathdial_hard,deepseek-v4-pro,autonomy_support
160,4.0,mathdial_hard,deepseek-v4-pro,autonomy_support
165,1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
172,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
177,1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
181,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
183,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
202,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
211,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
215,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
219,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
