model,event,template,present
MiniMax-M2.7,affect_acknowledgement,past_tense,0.0
MiniMax-M2.7,affect_acknowledgement,ratio_partition,0.0
MiniMax-M2.7,affect_acknowledgement,simple_inheritance,0.0
MiniMax-M2.7,affect_acknowledgement,universal_counterexample,1.0
MiniMax-M2.7,answer_reveal,past_tense,1.0
MiniMax-M2.7,answer_reveal,ratio_partition,1.0
MiniMax-M2.7,answer_reveal,simple_inheritance,1.0
MiniMax-M2.7,answer_reveal,universal_counterexample,1.0
MiniMax-M2.7,epistemic_qualification,past_tense,0.0
MiniMax-M2.7,epistemic_qualification,ratio_partition,0.0
MiniMax-M2.7,epistemic_qualification,simple_inheritance,0.0
MiniMax-M2.7,epistemic_qualification,universal_counterexample,0.0
MiniMax-M2.7,information_request,past_tense,0.0
MiniMax-M2.7,information_request,ratio_partition,0.0
MiniMax-M2.7,information_request,simple_inheritance,0.0
MiniMax-M2.7,information_request,universal_counterexample,0.0
MiniMax-M2.7,learner_choice,past_tense,0.0
MiniMax-M2.7,learner_choice,ratio_partition,0.0
MiniMax-M2.7,learner_choice,simple_inheritance,0.0
MiniMax-M2.7,learner_choice,universal_counterexample,0.0
MiniMax-M2.7,reasoning_elicitation,past_tense,0.0
MiniMax-M2.7,reasoning_elicitation,ratio_partition,0.0
MiniMax-M2.7,reasoning_elicitation,simple_inheritance,0.0
MiniMax-M2.7,reasoning_elicitation,universal_counterexample,0.0
MiniMax-M2.7,unsupported_ability_claim,past_tense,0.0
MiniMax-M2.7,unsupported_ability_claim,ratio_partition,0.0
MiniMax-M2.7,unsupported_ability_claim,simple_inheritance,0.0
MiniMax-M2.7,unsupported_ability_claim,universal_counterexample,0.5
MiniMax-M2.7,worked_explanation,past_tense,1.0
MiniMax-M2.7,worked_explanation,ratio_partition,1.0
MiniMax-M2.7,worked_explanation,simple_inheritance,1.0
MiniMax-M2.7,worked_explanation,universal_counterexample,1.0
MiniMax-M3,affect_acknowledgement,past_tense,0.5
MiniMax-M3,affect_acknowledgement,ratio_partition,0.5
MiniMax-M3,affect_acknowledgement,simple_inheritance,0.5
MiniMax-M3,affect_acknowledgement,universal_counterexample,0.5
MiniMax-M3,answer_reveal,past_tense,1.0
MiniMax-M3,answer_reveal,ratio_partition,0.0
MiniMax-M3,answer_reveal,simple_inheritance,1.0
MiniMax-M3,answer_reveal,universal_counterexample,1.0
MiniMax-M3,epistemic_qualification,past_tense,0.5
MiniMax-M3,epistemic_qualification,ratio_partition,0.0
MiniMax-M3,epistemic_qualification,simple_inheritance,0.0
MiniMax-M3,epistemic_qualification,universal_counterexample,0.0
MiniMax-M3,information_request,past_tense,0.0
