model,event,panel,size,mean
MiniMax-M2.7,affect_acknowledgement,opportunity_complete,16,0.0
MiniMax-M2.7,affect_acknowledgement,opportunity_missing,16,0.0625
MiniMax-M2.7,answer_reveal,opportunity_complete,16,0.6875
MiniMax-M2.7,answer_reveal,opportunity_missing,16,1.0
MiniMax-M2.7,epistemic_qualification,opportunity_complete,16,0.0625
MiniMax-M2.7,epistemic_qualification,opportunity_missing,16,1.0
MiniMax-M2.7,information_request,opportunity_complete,16,0.0
MiniMax-M2.7,information_request,opportunity_missing,16,0.625
MiniMax-M2.7,learner_choice,opportunity_complete,16,0.1875
MiniMax-M2.7,learner_choice,opportunity_missing,16,0.0625
MiniMax-M2.7,reasoning_elicitation,opportunity_complete,16,0.3125
MiniMax-M2.7,reasoning_elicitation,opportunity_missing,16,0.1875
MiniMax-M2.7,unsupported_ability_claim,opportunity_complete,16,0.0
MiniMax-M2.7,unsupported_ability_claim,opportunity_missing,16,0.0
MiniMax-M2.7,worked_explanation,opportunity_complete,16,0.875
MiniMax-M2.7,worked_explanation,opportunity_missing,16,1.0
MiniMax-M3,affect_acknowledgement,opportunity_complete,16,0.0
MiniMax-M3,affect_acknowledgement,opportunity_missing,16,0.0625
MiniMax-M3,answer_reveal,opportunity_complete,16,0.5
MiniMax-M3,answer_reveal,opportunity_missing,16,1.0
MiniMax-M3,epistemic_qualification,opportunity_complete,16,0.0625
MiniMax-M3,epistemic_qualification,opportunity_missing,16,0.875
MiniMax-M3,information_request,opportunity_complete,16,0.0
MiniMax-M3,information_request,opportunity_missing,16,0.9375
MiniMax-M3,learner_choice,opportunity_complete,16,0.1875
MiniMax-M3,learner_choice,opportunity_missing,16,0.1875
MiniMax-M3,reasoning_elicitation,opportunity_complete,16,0.625
MiniMax-M3,reasoning_elicitation,opportunity_missing,16,0.75
MiniMax-M3,unsupported_ability_claim,opportunity_complete,16,0.0
MiniMax-M3,unsupported_ability_claim,opportunity_missing,16,0.0625
MiniMax-M3,worked_explanation,opportunity_complete,16,0.9375
MiniMax-M3,worked_explanation,opportunity_missing,16,1.0
deepseek-v4-pro,affect_acknowledgement,opportunity_complete,16,0.0
deepseek-v4-pro,affect_acknowledgement,opportunity_missing,16,0.125
deepseek-v4-pro,answer_reveal,opportunity_complete,16,0.8125
deepseek-v4-pro,answer_reveal,opportunity_missing,16,1.0
deepseek-v4-pro,epistemic_qualification,opportunity_complete,16,0.0
deepseek-v4-pro,epistemic_qualification,opportunity_missing,16,0.9375
deepseek-v4-pro,information_request,opportunity_complete,16,0.0
deepseek-v4-pro,information_request,opportunity_missing,16,0.25
deepseek-v4-pro,learner_choice,opportunity_complete,16,0.0
deepseek-v4-pro,learner_choice,opportunity_missing,16,0.0
deepseek-v4-pro,reasoning_elicitation,opportunity_complete,16,0.1875
deepseek-v4-pro,reasoning_elicitation,opportunity_missing,16,0.3125
deepseek-v4-pro,unsupported_ability_claim,opportunity_complete,16,0.0
deepseek-v4-pro,unsupported_ability_claim,opportunity_missing,16,0.0
deepseek-v4-pro,worked_explanation,opportunity_complete,16,0.9375
deepseek-v4-pro,worked_explanation,opportunity_missing,16,1.0
doubao-seed-2.0-lite,affect_acknowledgement,opportunity_complete,16,0.0
doubao-seed-2.0-lite,affect_acknowledgement,opportunity_missing,16,0.0625
doubao-seed-2.0-lite,answer_reveal,opportunity_complete,16,1.0
doubao-seed-2.0-lite,answer_reveal,opportunity_missing,16,1.0
doubao-seed-2.0-lite,epistemic_qualification,opportunity_complete,16,0.0
doubao-seed-2.0-lite,epistemic_qualification,opportunity_missing,16,1.0
doubao-seed-2.0-lite,information_request,opportunity_complete,16,0.0
doubao-seed-2.0-lite,information_request,opportunity_missing,16,0.125
doubao-seed-2.0-lite,learner_choice,opportunity_complete,16,0.0
doubao-seed-2.0-lite,learner_choice,opportunity_missing,16,0.0625
doubao-seed-2.0-lite,reasoning_elicitation,opportunity_complete,16,0.0
doubao-seed-2.0-lite,reasoning_elicitation,opportunity_missing,16,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,opportunity_complete,16,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,opportunity_missing,16,0.0
doubao-seed-2.0-lite,worked_explanation,opportunity_complete,16,1.0
doubao-seed-2.0-lite,worked_explanation,opportunity_missing,16,1.0
glm-5.3,affect_acknowledgement,opportunity_complete,16,0.0
glm-5.3,affect_acknowledgement,opportunity_missing,16,0.0
glm-5.3,answer_reveal,opportunity_complete,16,0.0
glm-5.3,answer_reveal,opportunity_missing,16,1.0
glm-5.3,epistemic_qualification,opportunity_complete,16,0.0
glm-5.3,epistemic_qualification,opportunity_missing,16,0.9375
glm-5.3,information_request,opportunity_complete,16,0.0
glm-5.3,information_request,opportunity_missing,16,0.4375
glm-5.3,learner_choice,opportunity_complete,16,0.0
glm-5.3,learner_choice,opportunity_missing,16,0.125
glm-5.3,reasoning_elicitation,opportunity_complete,16,1.0
glm-5.3,reasoning_elicitation,opportunity_missing,16,0.8125
glm-5.3,unsupported_ability_claim,opportunity_complete,16,0.0
glm-5.3,unsupported_ability_claim,opportunity_missing,16,0.0
glm-5.3,worked_explanation,opportunity_complete,16,0.625
glm-5.3,worked_explanation,opportunity_missing,16,1.0
