model,event,progress,affect,arm,change_from_canonical
MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,ask,-0.03125
MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,explain,-0.03125
MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,neutral_a,0.03125
MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,neutral_b,-0.03125
MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,ask,-0.09375
MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,explain,0.0625
MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,neutral_a,0.28125
MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,neutral_b,0.15625
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,ask,-0.125
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,explain,-0.09375
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,neutral_a,0.03125
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,neutral_b,0.0
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.34375
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,explain,-0.21875
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,neutral_a,0.0
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,neutral_b,-0.03125
MiniMax-M2.7,answer_reveal,correct_partial,calm,ask,-0.96875
MiniMax-M2.7,answer_reveal,correct_partial,calm,explain,0.0
MiniMax-M2.7,answer_reveal,correct_partial,calm,neutral_a,0.0
MiniMax-M2.7,answer_reveal,correct_partial,calm,neutral_b,-0.09375
MiniMax-M2.7,answer_reveal,correct_partial,frustrated,ask,-0.90625
MiniMax-M2.7,answer_reveal,correct_partial,frustrated,explain,0.0
MiniMax-M2.7,answer_reveal,correct_partial,frustrated,neutral_a,0.0
MiniMax-M2.7,answer_reveal,correct_partial,frustrated,neutral_b,0.0
MiniMax-M2.7,answer_reveal,wrong_attempt,calm,ask,-0.90625
MiniMax-M2.7,answer_reveal,wrong_attempt,calm,explain,0.0
MiniMax-M2.7,answer_reveal,wrong_attempt,calm,neutral_a,-0.03125
MiniMax-M2.7,answer_reveal,wrong_attempt,calm,neutral_b,0.0
MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,ask,-0.9375
MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,explain,0.0
MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,neutral_a,-0.03125
MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,neutral_b,0.0
MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,ask,0.9375
MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,explain,-0.0625
MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,neutral_a,0.0
MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,neutral_b,0.15625
MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,ask,0.9375
MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,explain,-0.03125
MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,neutral_a,-0.0625
MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,neutral_b,0.0
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,ask,0.875
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,explain,-0.03125
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,neutral_a,0.0625
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,neutral_b,0.0625
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,ask,0.875
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,explain,-0.03125
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,neutral_a,0.0625
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,neutral_b,0.03125
MiniMax-M3,affect_acknowledgement,correct_partial,calm,ask,-0.3125
MiniMax-M3,affect_acknowledgement,correct_partial,calm,explain,-0.125
MiniMax-M3,affect_acknowledgement,correct_partial,calm,neutral_a,-0.125
MiniMax-M3,affect_acknowledgement,correct_partial,calm,neutral_b,-0.15625
MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,ask,-0.1875
MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,explain,-0.0625
MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,neutral_a,-0.03125
MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,neutral_b,-0.03125
