model,event,arm,sources,mean_difference,source_standard_error,t_statistic,p_one_sided_gain,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,neutral_equivalence_margin,supports_neutral_equivalence
MiniMax-M2.7,affect_acknowledgement,neutral_a,16,0.0859375,0.03557333607610247,2.4157841090909455,0.014459068424901338,,0.0234375,0.15625,0.0016666666666666668,-0.05002284383596253,0.22189784383596253,0.1,False
MiniMax-M2.7,affect_acknowledgement,neutral_b,16,0.0234375,0.03647692978102735,0.642529405317179,0.2651142983592494,,-0.046875,0.09375,0.0016666666666666668,-0.11597635493053005,0.16285135493053005,0.1,False
MiniMax-M2.7,affect_acknowledgement,ask,16,-0.1484375,0.03271314322383793,-4.537549295838812,0.9998035984845599,,-0.203125,-0.0859375,0.05,-0.21816391425828122,-0.07871108574171878,,
MiniMax-M2.7,affect_acknowledgement,explain,16,-0.0703125,0.03602796584483596,-1.9516089335384497,0.9650429636293042,,-0.140625,0.0,0.05,-0.14710429142741874,0.006479291427418737,,
MiniMax-M2.7,answer_reveal,neutral_a,16,-0.015625,0.010673907047874581,-1.4638501094227998,0.9180621931721732,,-0.0390625,0.0,0.0016666666666666668,-0.0564203886921795,0.025170388692179503,0.1,True
MiniMax-M2.7,answer_reveal,neutral_b,16,-0.0234375,0.012597277731716485,-1.8605210188381267,0.958734646826519,,-0.046875,0.0,0.0016666666666666668,-0.0715839602627435,0.024708960262743503,0.1,True
MiniMax-M2.7,answer_reveal,ask,16,-0.9296875,0.02787796602306799,-33.348469512830235,0.9999999999999991,,-0.9765625,-0.875,0.05,-0.9891079780109991,-0.8702670219890009,,
MiniMax-M2.7,answer_reveal,explain,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.05,0.0,0.0,,
MiniMax-M2.7,reasoning_elicitation,neutral_a,16,0.015625,0.040944258347986554,0.3816163884860883,0.3540487514051577,,-0.0546875,0.09375,0.0016666666666666668,-0.14086286583275795,0.17211286583275795,0.1,False
MiniMax-M2.7,reasoning_elicitation,neutral_b,16,0.0625,0.02282177322938192,2.7386127875258306,0.007615513522200401,,0.015625,0.109375,0.0016666666666666668,-0.024724209969375743,0.14972420996937574,0.1,False
MiniMax-M2.7,reasoning_elicitation,ask,16,0.90625,0.02909216675785196,31.15099702071533,2.383468756893653e-15,,0.84375,0.9609375,0.05,0.8442415143846272,0.9682584856153728,,
MiniMax-M2.7,reasoning_elicitation,explain,16,-0.0390625,0.03369352914507473,-1.1593472394004205,0.867781142503119,,-0.109375,0.0234375,0.05,-0.1108785573845746,0.0327535573845746,,
MiniMax-M3,affect_acknowledgement,neutral_a,16,-0.0078125,0.04487939567607835,-0.17407765595569785,0.5679339705674713,,-0.09375,0.0703125,0.0016666666666666668,-0.17934035598224832,0.16371535598224832,0.1,False
MiniMax-M3,affect_acknowledgement,neutral_b,16,0.015625,0.033994101816834835,0.4596385597769217,0.3261835209709719,,-0.046875,0.078125,0.0016666666666666668,-0.11429955252226004,0.14554955252226004,0.1,False
MiniMax-M3,affect_acknowledgement,ask,16,-0.1953125,0.03602796584483596,-5.421135926495694,0.9999645964495155,,-0.2578125,-0.125,0.05,-0.27210429142741877,-0.11852070857258126,,
MiniMax-M3,affect_acknowledgement,explain,16,-0.0390625,0.04226459005972572,-0.9242370491420661,0.8150035339268975,,-0.1171875,0.0390625,0.05,-0.1291473412760726,0.05102234127607261,,
MiniMax-M3,answer_reveal,neutral_a,16,-0.0390625,0.045240603881727015,-0.8634389607645712,0.7992540594387977,,-0.125,0.046875,0.0016666666666666668,-0.21197088413207665,0.13384588413207665,0.1,False
MiniMax-M3,answer_reveal,neutral_b,16,-0.046875,0.054575778739290565,-0.8588975014708023,0.7980428778761895,,-0.1484375,0.0546875,0.0016666666666666668,-0.2554621740180724,0.16171217401807242,0.1,False
MiniMax-M3,answer_reveal,ask,16,-0.75,0.04114253678777396,-18.229308607506,0.9999999999939827,,-0.8203125,-0.6640625,0.05,-0.8376932413394772,-0.6623067586605228,,
