event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,748,0.9759358288770054,0.9777227722772277,0.9738372093023255
affect_acknowledgement,MiniMax-M3,glm-5.3,748,0.9532085561497327,0.9575757575757575,0.9478390461997019
affect_acknowledgement,deepseek-v4-pro,glm-5.3,748,0.9665775401069518,0.9699879951980792,0.9622926093514329
answer_reveal,MiniMax-M3,deepseek-v4-pro,748,0.9946524064171123,0.9966386554621849,0.9869281045751634
answer_reveal,MiniMax-M3,glm-5.3,748,0.9986631016042781,0.9991575400168492,0.9967637540453075
answer_reveal,deepseek-v4-pro,glm-5.3,748,0.9959893048128342,0.9974811083123426,0.9901639344262295
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,748,0.8168449197860963,0.3251231527093596,0.8940448569218871
epistemic_qualification,MiniMax-M3,glm-5.3,748,0.9077540106951871,0.448,0.949671772428884
epistemic_qualification,deepseek-v4-pro,glm-5.3,748,0.8636363636363636,0.6015625,0.917741935483871
information_request,MiniMax-M3,deepseek-v4-pro,748,0.9906417112299465,0.2222222222222222,0.9952925353059852
information_request,MiniMax-M3,glm-5.3,748,0.9986631016042781,0.0,0.9993311036789297
information_request,deepseek-v4-pro,glm-5.3,748,0.9893048128342246,0.0,0.9946236559139785
learner_choice,MiniMax-M3,deepseek-v4-pro,748,0.9438502673796791,0.7980769230769231,0.967391304347826
learner_choice,MiniMax-M3,glm-5.3,748,0.9318181818181818,0.6832298136645962,0.9617977528089887
learner_choice,deepseek-v4-pro,glm-5.3,748,0.9264705882352942,0.6706586826347305,0.9586155003762227
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,748,0.9451871657754011,0.9114470842332614,0.9603097773475314
reasoning_elicitation,MiniMax-M3,glm-5.3,748,0.9385026737967914,0.9061224489795918,0.9542743538767395
reasoning_elicitation,deepseek-v4-pro,glm-5.3,748,0.9451871657754011,0.9171717171717172,0.9590409590409591
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,748,0.9010695187165776,0.421875,0.945906432748538
unsupported_ability_claim,MiniMax-M3,glm-5.3,748,0.9184491978609626,0.2823529411764706,0.9567682494684621
unsupported_ability_claim,deepseek-v4-pro,glm-5.3,748,0.9398395721925134,0.36619718309859156,0.968421052631579
worked_explanation,MiniMax-M3,deepseek-v4-pro,748,0.9264705882352942,0.958924570575056,0.6496815286624203
worked_explanation,MiniMax-M3,glm-5.3,748,0.9451871657754011,0.9699192956713133,0.6917293233082706
worked_explanation,deepseek-v4-pro,glm-5.3,748,0.9411764705882353,0.967741935483871,0.6666666666666666
