group,factor,metric,primary_subset_mean_difference,replication_mean_difference,absolute_difference,positive_in_both
ALL,question_policy,question_first,0.775,0.809375,0.03437499999999993,True
ALL,answer_policy,answer_reveal_correct,0.9,0.921875,0.021874999999999978,True
ALL,tone_policy,warmth_marker,0.59375,0.55,0.043749999999999956,True
MiniMax-M2.7,question_policy,question_first,0.5,0.53125,0.03125,True
MiniMax-M2.7,answer_policy,answer_reveal_correct,0.796875,0.828125,0.03125,True
MiniMax-M2.7,tone_policy,warmth_marker,0.703125,0.53125,0.171875,True
MiniMax-M3,question_policy,question_first,0.609375,0.65625,0.046875,True
MiniMax-M3,answer_policy,answer_reveal_correct,0.796875,0.828125,0.03125,True
MiniMax-M3,tone_policy,warmth_marker,0.546875,0.5625,0.015625,True
deepseek-v4-pro,question_policy,question_first,0.875,0.953125,0.078125,True
deepseek-v4-pro,answer_policy,answer_reveal_correct,0.984375,0.984375,0.0,True
deepseek-v4-pro,tone_policy,warmth_marker,0.640625,0.609375,0.03125,True
doubao-seed-2.0-lite,question_policy,question_first,0.984375,1.0,0.015625,True
doubao-seed-2.0-lite,answer_policy,answer_reveal_correct,0.921875,0.984375,0.0625,True
doubao-seed-2.0-lite,tone_policy,warmth_marker,0.546875,0.53125,0.015625,True
glm-5.2,question_policy,question_first,0.90625,0.90625,0.0,True
glm-5.2,answer_policy,answer_reveal_correct,1.0,0.984375,0.015625,True
glm-5.2,tone_policy,warmth_marker,0.53125,0.515625,0.015625,True
