group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
ALL,direct,explain_only,reveal,neutral,160,0.0,0.975,0.0,0.0,1.0,55.24375,303.85,4.4
ALL,direct,explain_only,reveal,warm,160,0.0,0.975,0.51875,0.0,1.0,77.18125,423.76875,5.525
ALL,direct,explain_only,withhold,neutral,160,0.0,0.00625,0.0,0.03125,0.00625,79.48125,445.8125,5.16875
ALL,direct,explain_only,withhold,warm,160,0.0,0.0,0.56875,0.06875,0.0,104.18125,576.3625,6.31875
ALL,direct,question_first,reveal,neutral,160,0.94375,0.96875,0.0,0.9875,0.9875,62.53125,337.38125,5.1875
ALL,direct,question_first,reveal,warm,160,0.8375,0.95625,0.5875,0.9875,1.0,88.8375,483.175,6.51875
ALL,direct,question_first,withhold,neutral,160,0.86875,0.0,0.0,0.975,0.0,71.43125,393.96875,4.65
ALL,direct,question_first,withhold,warm,160,0.5625,0.0,0.68125,1.0,0.00625,104.06875,572.98125,6.56875
ALL,explore,explain_only,reveal,neutral,160,0.0,0.83125,0.0,0.0625,0.86875,62.58125,350.4625,4.675
ALL,explore,explain_only,reveal,warm,160,0.0,0.83125,0.48125,0.1125,0.85,86.2,483.38125,5.89375
ALL,explore,explain_only,withhold,neutral,160,0.0,0.0,0.00625,0.13125,0.0,80.08125,448.21875,4.9
ALL,explore,explain_only,withhold,warm,160,0.0,0.0,0.50625,0.225,0.0,106.1,587.9375,6.05625
ALL,explore,question_first,reveal,neutral,160,0.89375,0.78125,0.0,1.0,0.79375,57.75,317.05,4.325
ALL,explore,question_first,reveal,warm,160,0.73125,0.85,0.73125,1.0,0.8625,80.6375,443.94375,5.75625
ALL,explore,question_first,withhold,neutral,160,0.85625,0.0,0.0,1.0,0.0,48.06875,266.1625,2.75
ALL,explore,question_first,withhold,warm,160,0.4875,0.0,0.6875,1.0,0.0,78.4125,431.6125,4.65
MiniMax-M2.7,direct,explain_only,reveal,neutral,32,0.0,0.9375,0.0,0.0,1.0,49.78125,283.4375,4.3125
MiniMax-M2.7,direct,explain_only,reveal,warm,32,0.0,0.90625,0.5,0.0,1.0,71.0,407.34375,5.9375
MiniMax-M2.7,direct,explain_only,withhold,neutral,32,0.0,0.03125,0.0,0.0625,0.03125,76.5,433.8125,5.71875
MiniMax-M2.7,direct,explain_only,withhold,warm,32,0.0,0.0,0.53125,0.09375,0.0,105.875,604.71875,7.4375
MiniMax-M2.7,direct,question_first,reveal,neutral,32,0.8125,0.90625,0.0,0.96875,0.9375,58.75,329.21875,5.0
MiniMax-M2.7,direct,question_first,reveal,warm,32,0.6875,0.8125,0.6875,0.96875,1.0,78.96875,453.09375,6.125
MiniMax-M2.7,direct,question_first,withhold,neutral,32,0.4375,0.0,0.0,0.875,0.0,74.90625,410.25,5.375
MiniMax-M2.7,direct,question_first,withhold,warm,32,0.25,0.0,0.78125,1.0,0.03125,105.09375,592.15625,7.53125
