feature,cross_domain_spearman,exact_two_sided_p
numbered_step_rate,0.942857142857143,0.018030513176144243
emoji_rate,0.8285714285714287,0.059639389736477116
mean_sentence_tokens,0.7714285714285715,0.10402219140083217
log_tokens,0.7714285714285715,0.10402219140083217
first_plural_rate,0.7714285714285715,0.10402219140083217
hedge_rate,0.7142857142857143,0.13730929264909847
second_person_rate,0.6571428571428573,0.17614424410540916
table_present,0.6377481392176932,0.1955617198335645
imperative_rate,0.6,0.24271844660194175
log_chars,0.5428571428571429,0.29819694868238555
history_reference_rate,0.5428571428571429,0.29819694868238555
bullet_rate,0.3714285714285715,0.49791955617198336
explanation_rate,0.2571428571428572,0.6588072122052705
markdown_heading_rate,0.14285714285714288,0.8030513176144244
diagnosis_rate,0.08571428571428573,0.9195561719833565
latex_rate,0.028571428571428574,1.0
line_count,-0.08571428571428573,0.9195561719833565
encouragement_rate,-0.14285714285714288,0.8030513176144244
praise_rate,-0.2,0.7142857142857143
sentence_count,-0.2571428571428572,0.6588072122052705
ends_question,-0.40583972495671394,0.43411927877947293
question_rate,-0.7142857142857143,0.13730929264909847
exactly_one_question,-0.7142857142857143,0.13730929264909847
answer_reveal_rate,-0.7714285714285715,0.10402219140083217
