template,source_family,model,event,training_rate,training_n,later_rate,later_n,later_minus_training
past_tense,tense_consistency,MiniMax-M2.7,affect_acknowledgement,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,answer_reveal,1.0,2,1.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,epistemic_qualification,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,information_request,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,learner_choice,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,reasoning_elicitation,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M2.7,unsupported_ability_claim,1.0,2,0.0,2,-1.0
past_tense,tense_consistency,MiniMax-M2.7,worked_explanation,1.0,2,1.0,2,0.0
past_tense,tense_consistency,MiniMax-M3,affect_acknowledgement,0.5,2,0.5,2,0.0
past_tense,tense_consistency,MiniMax-M3,answer_reveal,1.0,2,1.0,2,0.0
past_tense,tense_consistency,MiniMax-M3,epistemic_qualification,0.0,2,0.5,2,0.5
past_tense,tense_consistency,MiniMax-M3,information_request,0.0,2,0.0,2,0.0
past_tense,tense_consistency,MiniMax-M3,learner_choice,0.5,2,0.0,2,-0.5
past_tense,tense_consistency,MiniMax-M3,reasoning_elicitation,0.0,2,1.0,2,1.0
past_tense,tense_consistency,MiniMax-M3,unsupported_ability_claim,0.5,2,0.0,2,-0.5
past_tense,tense_consistency,MiniMax-M3,worked_explanation,1.0,2,1.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,affect_acknowledgement,0.0,2,0.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,answer_reveal,1.0,2,1.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,epistemic_qualification,0.5,2,0.5,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,information_request,0.0,2,0.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,learner_choice,0.0,2,0.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,reasoning_elicitation,0.0,2,0.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,unsupported_ability_claim,0.0,2,0.0,2,0.0
past_tense,tense_consistency,deepseek-v4-pro,worked_explanation,1.0,2,1.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,affect_acknowledgement,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,answer_reveal,1.0,2,1.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,epistemic_qualification,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,information_request,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,learner_choice,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,reasoning_elicitation,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,2,0.0,2,0.0
past_tense,tense_consistency,doubao-seed-2.0-lite,worked_explanation,1.0,2,1.0,2,0.0
past_tense,tense_consistency,glm-5.3,affect_acknowledgement,0.5,2,0.5,2,0.0
past_tense,tense_consistency,glm-5.3,answer_reveal,0.0,2,0.5,2,0.5
past_tense,tense_consistency,glm-5.3,epistemic_qualification,0.0,2,0.0,2,0.0
past_tense,tense_consistency,glm-5.3,information_request,0.0,2,0.0,2,0.0
past_tense,tense_consistency,glm-5.3,learner_choice,0.0,2,0.0,2,0.0
past_tense,tense_consistency,glm-5.3,reasoning_elicitation,1.0,2,1.0,2,0.0
past_tense,tense_consistency,glm-5.3,unsupported_ability_claim,0.0,2,0.0,2,0.0
past_tense,tense_consistency,glm-5.3,worked_explanation,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,affect_acknowledgement,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,answer_reveal,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,epistemic_qualification,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,information_request,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,learner_choice,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,reasoning_elicitation,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,unsupported_ability_claim,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M2.7,worked_explanation,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M3,affect_acknowledgement,1.0,2,0.5,2,-0.5
ratio_partition,ratio_partition,MiniMax-M3,answer_reveal,1.0,2,0.0,2,-1.0
ratio_partition,ratio_partition,MiniMax-M3,epistemic_qualification,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M3,information_request,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M3,learner_choice,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M3,reasoning_elicitation,0.0,2,1.0,2,1.0
ratio_partition,ratio_partition,MiniMax-M3,unsupported_ability_claim,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,MiniMax-M3,worked_explanation,1.0,2,0.5,2,-0.5
ratio_partition,ratio_partition,deepseek-v4-pro,affect_acknowledgement,0.5,2,1.0,2,0.5
ratio_partition,ratio_partition,deepseek-v4-pro,answer_reveal,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,epistemic_qualification,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,information_request,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,learner_choice,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,reasoning_elicitation,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,unsupported_ability_claim,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,deepseek-v4-pro,worked_explanation,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,affect_acknowledgement,1.0,2,0.5,2,-0.5
ratio_partition,ratio_partition,doubao-seed-2.0-lite,answer_reveal,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,epistemic_qualification,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,information_request,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,learner_choice,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,reasoning_elicitation,0.0,2,0.5,2,0.5
ratio_partition,ratio_partition,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,doubao-seed-2.0-lite,worked_explanation,1.0,2,1.0,2,0.0
