group,factor,high,low,metric,mean_difference,bootstrap_ci_low,bootstrap_ci_high,target_metric
ALL,question_policy,question_first,explain_only,question_first,0.77265625,0.7562500000000001,0.78984375,True
ALL,question_policy,question_first,explain_only,answer_reveal_correct,-0.0078125,-0.02345703125000001,0.007812499999999984,False
ALL,question_policy,question_first,explain_only,warmth_marker,0.07578125000000002,0.05546874999999999,0.09765625,False
ALL,question_policy,question_first,explain_only,question_any,0.9148437500000001,0.90234375,0.9265625000000001,False
ALL,question_policy,question_first,explain_only,answer_reveal_any,-0.009375000000000022,-0.0234375,0.0039062499999999983,False
ALL,question_policy,question_first,explain_only,word_count,-7.4140625,-9.2166015625,-5.717558593750002,False
ALL,question_policy,question_first,explain_only,char_count,-46.689843749999966,-57.62244140625001,-36.99060546875001,False
ALL,question_policy,question_first,explain_only,sentence_count,-0.31640625,-0.46095703125,-0.18666015625000035,False
ALL,answer_policy,reveal,withhold,question_first,0.07890625000000001,0.06093750000000001,0.09687500000000002,False
ALL,answer_policy,reveal,withhold,answer_reveal_correct,0.8953125000000001,0.8828125,0.9078124999999999,True
ALL,answer_policy,reveal,withhold,warmth_marker,-0.01640625000000001,-0.05,0.017968750000000002,False
ALL,answer_policy,reveal,withhold,question_any,-0.03515625,-0.047656250000000004,-0.02187499999999999,False
ALL,answer_policy,reveal,withhold,answer_reveal_any,0.91875,0.90625,0.9312499999999999,False
ALL,answer_policy,reveal,withhold,word_count,-12.607812500000009,-14.63291015625,-10.421757812500001,False
ALL,answer_policy,reveal,withhold,char_count,-72.50546875000003,-84.065234375,-60.383320312500004,False
ALL,answer_policy,reveal,withhold,sentence_count,0.15234375,0.010937499999999987,0.28593749999999984,False
ALL,tone_policy,warm,neutral,question_first,-0.11796875000000001,-0.13203125,-0.10390625,False
ALL,tone_policy,warm,neutral,answer_reveal_correct,0.006249999999999978,-0.00546875,0.018749999999999996,False
ALL,tone_policy,warm,neutral,warmth_marker,0.5945312500000001,0.56328125,0.62345703125,True
ALL,tone_policy,warm,neutral,question_any,0.025781249999999978,0.011718750000000007,0.039843750000000004,False
ALL,tone_policy,warm,neutral,answer_reveal_any,0.0078125,-0.0023437500000000073,0.01796874999999999,False
ALL,tone_policy,warm,neutral,word_count,26.05624999999999,23.82841796875,28.2026171875,False
ALL,tone_policy,warm,neutral,char_count,142.53203125,131.1359765625,154.11771484374995,False
ALL,tone_policy,warm,neutral,sentence_count,1.4039062500000004,1.3140234374999997,1.50001953125,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_first,0.4765625,0.421875,0.53515625,True
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_correct,-0.00390625,-0.05078125,0.0390625,False
MiniMax-M2.7,question_policy,question_first,explain_only,warmth_marker,0.125,0.07421875,0.17578125,False
MiniMax-M2.7,question_policy,question_first,explain_only,question_any,0.75,0.703125,0.79296875,False
MiniMax-M2.7,question_policy,question_first,explain_only,answer_reveal_any,-0.0078125,-0.0546875,0.03515625,False
MiniMax-M2.7,question_policy,question_first,explain_only,word_count,-13.32421875,-17.37109375,-8.971191406250007,False
MiniMax-M2.7,question_policy,question_first,explain_only,char_count,-80.92578125,-105.5162109375,-55.249707031250004,False
MiniMax-M2.7,question_policy,question_first,explain_only,sentence_count,-0.9453125,-1.30078125,-0.5975585937500005,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_first,0.1875,0.12109375,0.24609375,False
MiniMax-M2.7,answer_policy,reveal,withhold,answer_reveal_correct,0.70703125,0.65234375,0.76171875,True
MiniMax-M2.7,answer_policy,reveal,withhold,warmth_marker,0.015625,-0.046875,0.08203125,False
MiniMax-M2.7,answer_policy,reveal,withhold,question_any,-0.0546875,-0.11328125,0.00390625,False
MiniMax-M2.7,answer_policy,reveal,withhold,answer_reveal_any,0.765625,0.7109375,0.8203125,False
MiniMax-M2.7,answer_policy,reveal,withhold,word_count,-17.44921875,-21.023828125,-13.741699218750004,False
MiniMax-M2.7,answer_policy,reveal,withhold,char_count,-92.98828125,-111.28935546875,-72.47880859375003,False
MiniMax-M2.7,answer_policy,reveal,withhold,sentence_count,-0.6171875,-1.03916015625,-0.2578125,False
MiniMax-M2.7,tone_policy,warm,neutral,question_first,-0.078125,-0.1328125,-0.02734375,False
MiniMax-M2.7,tone_policy,warm,neutral,answer_reveal_correct,0.01171875,-0.03125,0.05859375,False
MiniMax-M2.7,tone_policy,warm,neutral,warmth_marker,0.6328125,0.5859375,0.68359375,True
MiniMax-M2.7,tone_policy,warm,neutral,question_any,0.0546875,0.0078125,0.1015625,False
MiniMax-M2.7,tone_policy,warm,neutral,answer_reveal_any,0.03125,-0.01171875,0.07421875,False
MiniMax-M2.7,tone_policy,warm,neutral,word_count,25.47265625,21.11259765625,30.08203125,False
MiniMax-M2.7,tone_policy,warm,neutral,char_count,148.95703125,123.87861328125,174.23447265624995,False
MiniMax-M2.7,tone_policy,warm,neutral,sentence_count,1.71875,1.45703125,1.9805664062499995,False
MiniMax-M3,question_policy,question_first,explain_only,question_first,0.59375,0.5625,0.625,True
MiniMax-M3,question_policy,question_first,explain_only,answer_reveal_correct,-0.02734375,-0.07421875,0.01953125,False
MiniMax-M3,question_policy,question_first,explain_only,warmth_marker,0.02734375,-0.03515625,0.08203125,False
MiniMax-M3,question_policy,question_first,explain_only,question_any,0.84375,0.8046875,0.87890625,False
