benchmark,family,arm,pair_id,item_id,model,judge,win_score,strict_win
mathtutorbench_scaffolding,standard,scaffolding,0,scaffolding-0,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,1,scaffolding-1,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,2,scaffolding-2,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,3,scaffolding-3,minimax-m3,minimax-m3,1.0,1
mathtutorbench_scaffolding,standard,scaffolding,4,scaffolding-4,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,5,scaffolding-5,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,6,scaffolding-6,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,7,scaffolding-7,minimax-m3,minimax-m3,1.0,1
mathtutorbench_scaffolding,standard,scaffolding,8,scaffolding-8,minimax-m3,minimax-m3,1.0,1
mathtutorbench_scaffolding,standard,scaffolding,9,scaffolding-9,minimax-m3,minimax-m3,0.5,0
mathtutorbench_scaffolding,standard,scaffolding,10,scaffolding-10,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,11,scaffolding-11,minimax-m3,minimax-m3,1.0,1
mathtutorbench_scaffolding,standard,scaffolding,12,scaffolding-12,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,13,scaffolding-13,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,14,scaffolding-14,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,15,scaffolding-15,minimax-m3,minimax-m3,0.5,0
mathtutorbench_scaffolding,standard,scaffolding,16,scaffolding-16,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,17,scaffolding-17,minimax-m3,minimax-m3,0.0,0
mathtutorbench_scaffolding,standard,scaffolding,18,scaffolding-18,minimax-m3,minimax-m3,0.0,0
