source_family,model,event,opportunity_complete,opportunity_missing,missing_minus_complete
boyles_law,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
boyles_law,MiniMax-M2.7,answer_reveal,1.0,1.0,0.0
boyles_law,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
boyles_law,MiniMax-M2.7,information_request,0.0,0.5,0.5
boyles_law,MiniMax-M2.7,learner_choice,0.5,0.0,-0.5
boyles_law,MiniMax-M2.7,reasoning_elicitation,0.0,0.5,0.5
boyles_law,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
boyles_law,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
boyles_law,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
boyles_law,MiniMax-M3,answer_reveal,1.0,1.0,0.0
boyles_law,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
boyles_law,MiniMax-M3,information_request,0.0,1.0,1.0
boyles_law,MiniMax-M3,learner_choice,0.0,0.0,0.0
boyles_law,MiniMax-M3,reasoning_elicitation,0.5,0.5,0.0
boyles_law,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
boyles_law,MiniMax-M3,worked_explanation,1.0,1.0,0.0
boyles_law,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
boyles_law,deepseek-v4-pro,answer_reveal,1.0,1.0,0.0
boyles_law,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
boyles_law,deepseek-v4-pro,information_request,0.0,0.0,0.0
boyles_law,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,0.0,0.5,0.5
boyles_law,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
boyles_law,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
boyles_law,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
boyles_law,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
boyles_law,doubao-seed-2.0-lite,information_request,0.0,0.5,0.5
boyles_law,doubao-seed-2.0-lite,learner_choice,0.0,0.5,0.5
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
boyles_law,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
boyles_law,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
boyles_law,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
boyles_law,glm-5.3,answer_reveal,0.0,1.0,1.0
boyles_law,glm-5.3,epistemic_qualification,0.0,1.0,1.0
boyles_law,glm-5.3,information_request,0.0,0.5,0.5
boyles_law,glm-5.3,learner_choice,0.0,0.0,0.0
boyles_law,glm-5.3,reasoning_elicitation,1.0,0.5,-0.5
boyles_law,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
boyles_law,glm-5.3,worked_explanation,1.0,1.0,0.0
half_life,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
half_life,MiniMax-M2.7,answer_reveal,0.5,1.0,0.5
half_life,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
half_life,MiniMax-M2.7,information_request,0.0,0.5,0.5
half_life,MiniMax-M2.7,learner_choice,0.0,0.0,0.0
half_life,MiniMax-M2.7,reasoning_elicitation,0.5,0.0,-0.5
half_life,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
half_life,MiniMax-M2.7,worked_explanation,0.5,1.0,0.5
half_life,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
half_life,MiniMax-M3,answer_reveal,0.5,1.0,0.5
half_life,MiniMax-M3,epistemic_qualification,0.0,0.5,0.5
half_life,MiniMax-M3,information_request,0.0,0.5,0.5
half_life,MiniMax-M3,learner_choice,0.0,0.0,0.0
half_life,MiniMax-M3,reasoning_elicitation,1.0,1.0,0.0
half_life,MiniMax-M3,unsupported_ability_claim,0.0,0.5,0.5
half_life,MiniMax-M3,worked_explanation,1.0,1.0,0.0
half_life,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
half_life,deepseek-v4-pro,answer_reveal,1.0,1.0,0.0
half_life,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
