sample_id,condition,item_id,domain,model,judge,affiliative_behavior,benevolent_cost_acceptance,assertive_dominance,surface_warmth,task_effectiveness
default|open_behavior|e03,default,e03,education,MiniMax-M2.7,MiniMax-M3,5,4,2,5,3
default|open_behavior|e03,default,e03,education,deepseek-v4-pro,MiniMax-M3,3,2,4,3,4
default|open_behavior|e03,default,e03,education,MiniMax-M3,MiniMax-M3,5,4,2,5,4
default|open_behavior|e03,default,e03,education,glm-5.2,MiniMax-M3,4,3,4,4,4
default|open_behavior|e03,default,e03,education,doubao-seed-2.0-lite,MiniMax-M3,5,4,2,5,4
default|open_behavior|e02,default,e02,education,MiniMax-M3,MiniMax-M3,5,4,3,5,5
default|open_behavior|e02,default,e02,education,glm-5.2,MiniMax-M3,5,4,4,4,5
default|open_behavior|e02,default,e02,education,deepseek-v4-pro,MiniMax-M3,4,3,3,4,3
default|open_behavior|e02,default,e02,education,doubao-seed-2.0-lite,MiniMax-M3,5,4,3,4,5
default|open_behavior|e02,default,e02,education,MiniMax-M2.7,MiniMax-M3,4,3,3,5,4
default|open_behavior|e04,default,e04,education,glm-5.2,MiniMax-M3,5,3,3,4,4
default|open_behavior|e04,default,e04,education,doubao-seed-2.0-lite,MiniMax-M3,5,5,3,5,5
default|open_behavior|e04,default,e04,education,MiniMax-M2.7,MiniMax-M3,4,3,3,4,4
default|open_behavior|e04,default,e04,education,deepseek-v4-pro,MiniMax-M3,3,3,3,3,3
default|open_behavior|e04,default,e04,education,MiniMax-M3,MiniMax-M3,5,4,3,5,5
default|open_behavior|e01,default,e01,education,MiniMax-M3,MiniMax-M3,5,2,2,5,4
default|open_behavior|e01,default,e01,education,doubao-seed-2.0-lite,MiniMax-M3,4,5,3,3,4
default|open_behavior|e01,default,e01,education,MiniMax-M2.7,MiniMax-M3,4,2,2,5,3
default|open_behavior|e01,default,e01,education,deepseek-v4-pro,MiniMax-M3,3,5,2,3,3
default|open_behavior|e01,default,e01,education,glm-5.2,MiniMax-M3,4,5,3,5,3
default|open_behavior|e05,default,e05,education,glm-5.2,MiniMax-M3,4,4,3,4,4
default|open_behavior|e05,default,e05,education,MiniMax-M3,MiniMax-M3,5,5,3,5,5
default|open_behavior|e05,default,e05,education,doubao-seed-2.0-lite,MiniMax-M3,4,3,2,5,3
default|open_behavior|e05,default,e05,education,MiniMax-M2.7,MiniMax-M3,4,4,3,4,4
default|open_behavior|e05,default,e05,education,deepseek-v4-pro,MiniMax-M3,5,4,3,5,4
default|open_behavior|n01,default,n01,noneducation,MiniMax-M2.7,MiniMax-M3,4,3,3,4,4
default|open_behavior|n01,default,n01,noneducation,deepseek-v4-pro,MiniMax-M3,3,2,3,2,4
default|open_behavior|n01,default,n01,noneducation,MiniMax-M3,MiniMax-M3,5,3,4,4,5
default|open_behavior|n01,default,n01,noneducation,glm-5.2,MiniMax-M3,3,2,3,3,4
default|open_behavior|n01,default,n01,noneducation,doubao-seed-2.0-lite,MiniMax-M3,5,5,3,5,5
default|open_behavior|e06,default,e06,education,glm-5.2,MiniMax-M3,4,3,3,3,3
default|open_behavior|e06,default,e06,education,deepseek-v4-pro,MiniMax-M3,3,3,4,3,3
default|open_behavior|e06,default,e06,education,doubao-seed-2.0-lite,MiniMax-M3,5,4,3,4,5
default|open_behavior|e06,default,e06,education,MiniMax-M3,MiniMax-M3,5,5,3,5,5
default|open_behavior|e06,default,e06,education,MiniMax-M2.7,MiniMax-M3,3,3,3,3,3
default|open_behavior|n02,default,n02,noneducation,MiniMax-M2.7,MiniMax-M3,5,4,1,4,4
default|open_behavior|n02,default,n02,noneducation,deepseek-v4-pro,MiniMax-M3,3,3,1,3,4
default|open_behavior|n02,default,n02,noneducation,glm-5.2,MiniMax-M3,4,3,1,4,4
default|open_behavior|n02,default,n02,noneducation,MiniMax-M3,MiniMax-M3,5,5,1,4,5
default|open_behavior|n02,default,n02,noneducation,doubao-seed-2.0-lite,MiniMax-M3,4,4,1,5,5
default|open_behavior|n03,default,n03,noneducation,MiniMax-M2.7,MiniMax-M3,5,4,3,4,4
default|open_behavior|n03,default,n03,noneducation,doubao-seed-2.0-lite,MiniMax-M3,5,5,3,5,5
default|open_behavior|n03,default,n03,noneducation,deepseek-v4-pro,MiniMax-M3,4,3,2,3,3
default|open_behavior|n03,default,n03,noneducation,glm-5.2,MiniMax-M3,5,4,3,4,4
default|open_behavior|n03,default,n03,noneducation,MiniMax-M3,MiniMax-M3,5,5,3,4,5
default|open_behavior|n05,default,n05,noneducation,doubao-seed-2.0-lite,MiniMax-M3,5,5,4,5,5
default|open_behavior|n05,default,n05,noneducation,deepseek-v4-pro,MiniMax-M3,4,4,3,3,4
default|open_behavior|n05,default,n05,noneducation,MiniMax-M2.7,MiniMax-M3,4,3,3,3,4
default|open_behavior|n05,default,n05,noneducation,MiniMax-M3,MiniMax-M3,5,4,4,3,5
default|open_behavior|n05,default,n05,noneducation,glm-5.2,MiniMax-M3,5,4,3,5,5
high_affiliation|open_behavior|e01,high_affiliation,e01,education,doubao-seed-2.0-lite,MiniMax-M3,2,1,1,5,1
high_affiliation|open_behavior|e01,high_affiliation,e01,education,deepseek-v4-pro,MiniMax-M3,4,4,3,3,4
high_affiliation|open_behavior|e01,high_affiliation,e01,education,MiniMax-M3,MiniMax-M3,5,5,4,5,5
high_affiliation|open_behavior|e01,high_affiliation,e01,education,MiniMax-M2.7,MiniMax-M3,5,5,4,5,5
high_affiliation|open_behavior|e01,high_affiliation,e01,education,glm-5.2,MiniMax-M3,4,3,2,4,3
default|open_behavior|n04,default,n04,noneducation,glm-5.2,MiniMax-M3,4,4,3,4,4
default|open_behavior|n04,default,n04,noneducation,deepseek-v4-pro,MiniMax-M3,3,3,4,2,3
default|open_behavior|n04,default,n04,noneducation,doubao-seed-2.0-lite,MiniMax-M3,5,4,3,5,5
default|open_behavior|n04,default,n04,noneducation,MiniMax-M3,MiniMax-M3,5,5,3,5,5
default|open_behavior|n04,default,n04,noneducation,MiniMax-M2.7,MiniMax-M3,4,3,4,4,4
high_affiliation|open_behavior|e02,high_affiliation,e02,education,MiniMax-M2.7,MiniMax-M3,5,4,3,5,4
high_affiliation|open_behavior|e02,high_affiliation,e02,education,deepseek-v4-pro,MiniMax-M3,5,3,3,4,5
high_affiliation|open_behavior|e02,high_affiliation,e02,education,MiniMax-M3,MiniMax-M3,5,4,3,5,5
high_affiliation|open_behavior|e02,high_affiliation,e02,education,doubao-seed-2.0-lite,MiniMax-M3,5,3,2,5,5
