event,judge_a,judge_b,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
affect_acknowledgement,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
affect_acknowledgement,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
answer_reveal,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
answer_reveal,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
answer_reveal,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
epistemic_qualification,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
epistemic_qualification,MiniMax-M3,glm-5.2,32,0.96875,0.6666666666666666,0.9836065573770492
epistemic_qualification,deepseek-v4-pro,glm-5.2,32,0.96875,0.6666666666666666,0.9836065573770492
information_request,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
information_request,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
information_request,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
learner_choice,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
learner_choice,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
learner_choice,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
reasoning_elicitation,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
reasoning_elicitation,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
reasoning_elicitation,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
unsupported_ability_claim,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
unsupported_ability_claim,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
unsupported_ability_claim,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
worked_explanation,MiniMax-M3,deepseek-v4-pro,32,1.0,1.0,1.0
worked_explanation,MiniMax-M3,glm-5.2,32,1.0,1.0,1.0
worked_explanation,deepseek-v4-pro,glm-5.2,32,1.0,1.0,1.0
