judge_requested,judge_returned,anchor_group,event,n,matches
MiniMax-M3,MiniMax-M3,new_heldout_wording,affect_acknowledgement,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,answer_reveal,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,epistemic_qualification,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,information_request,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,learner_choice,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,reasoning_elicitation,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,unsupported_ability_claim,16,16
MiniMax-M3,MiniMax-M3,new_heldout_wording,worked_explanation,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,affect_acknowledgement,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,answer_reveal,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,epistemic_qualification,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,information_request,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,learner_choice,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,reasoning_elicitation,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,unsupported_ability_claim,16,16
MiniMax-M3,MiniMax-M3,revised_or_reused_development,worked_explanation,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,affect_acknowledgement,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,answer_reveal,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,epistemic_qualification,16,15
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,information_request,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,learner_choice,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,reasoning_elicitation,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,unsupported_ability_claim,16,16
deepseek-v4-pro,deepseek-v4-pro,new_heldout_wording,worked_explanation,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,affect_acknowledgement,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,answer_reveal,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,epistemic_qualification,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,information_request,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,learner_choice,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,reasoning_elicitation,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,unsupported_ability_claim,16,16
deepseek-v4-pro,deepseek-v4-pro,revised_or_reused_development,worked_explanation,16,16
glm-5.3,glm-5.3,new_heldout_wording,affect_acknowledgement,16,15
glm-5.3,glm-5.3,new_heldout_wording,answer_reveal,16,16
glm-5.3,glm-5.3,new_heldout_wording,epistemic_qualification,16,15
glm-5.3,glm-5.3,new_heldout_wording,information_request,16,16
glm-5.3,glm-5.3,new_heldout_wording,learner_choice,16,16
glm-5.3,glm-5.3,new_heldout_wording,reasoning_elicitation,16,16
glm-5.3,glm-5.3,new_heldout_wording,unsupported_ability_claim,16,16
glm-5.3,glm-5.3,new_heldout_wording,worked_explanation,16,16
glm-5.3,glm-5.3,revised_or_reused_development,affect_acknowledgement,16,16
glm-5.3,glm-5.3,revised_or_reused_development,answer_reveal,16,16
glm-5.3,glm-5.3,revised_or_reused_development,epistemic_qualification,16,16
glm-5.3,glm-5.3,revised_or_reused_development,information_request,16,16
glm-5.3,glm-5.3,revised_or_reused_development,learner_choice,16,16
glm-5.3,glm-5.3,revised_or_reused_development,reasoning_elicitation,16,16
glm-5.3,glm-5.3,revised_or_reused_development,unsupported_ability_claim,16,16
glm-5.3,glm-5.3,revised_or_reused_development,worked_explanation,16,16
