outcome,dimension,matched_responses,exact_item_centered_pearson,permutation_p,permutations,bh_q_within_outcome
diagnosis_correct,help_directness,240,-0.0638812188078676,0.39892021595680865,5000,0.7585682863427314
diagnosis_correct,elicitation,240,0.04855905053117646,0.4741051789642072,5000,0.7585682863427314
diagnosis_correct,autonomy_support,240,0.05462162039452239,0.42131573685262946,5000,0.7585682863427314
diagnosis_correct,affective_warmth,240,0.16840107733861626,0.014597080583883223,5000,0.11677664467106579
diagnosis_correct,diagnostic_specificity,240,0.012558059059108295,0.874625074985003,5000,0.874625074985003
diagnosis_correct,personalization,240,-0.01049529522651789,0.8406318736252749,5000,0.874625074985003
diagnosis_correct,cognitive_load,240,-0.12860223979831065,0.05698860227954409,5000,0.22795440911817635
diagnosis_correct,epistemic_caution,240,0.037621186357671824,0.6746650669866027,5000,0.874625074985003
evidence_accuracy,help_directness,240,-0.05386937363745276,0.4465106978604279,5000,0.5953475971472372
evidence_accuracy,elicitation,240,0.0984884114794248,0.16656668666266747,5000,0.4136772645470906
evidence_accuracy,autonomy_support,240,0.10778272747993649,0.1265746850629874,5000,0.4136772645470906
evidence_accuracy,affective_warmth,240,0.09129102253991891,0.2585482903419316,5000,0.4136772645470906
evidence_accuracy,diagnostic_specificity,240,0.08850118371943089,0.21335732853429315,5000,0.4136772645470906
evidence_accuracy,personalization,240,0.13939395805309485,0.0597880423915217,5000,0.4136772645470906
evidence_accuracy,cognitive_load,240,-0.03812587405892012,0.5424915016996601,5000,0.6199902876567543
evidence_accuracy,epistemic_caution,240,-0.03569059115036912,0.6952609478104379,5000,0.6952609478104379
