subset,event,comparison,sources,responses,mean_difference,bootstrap_95_low,bootstrap_95_high,status
all_canonical,answer_reveal,default_vs_context,32,1280,0.09127483878141295,0.07136539623033074,0.10916929111270368,descriptive selected-subset interval; no new hypothesis test
all_canonical,answer_reveal,student_state_vs_domain,32,1280,0.0004308814861143692,-0.00037307510516526544,0.0012986780535074376,descriptive selected-subset interval; no new hypothesis test
all_canonical,reasoning_elicitation,default_vs_context,32,1280,0.1296979184346838,0.12130829588097213,0.13783411909224677,descriptive selected-subset interval; no new hypothesis test
all_canonical,reasoning_elicitation,student_state_vs_domain,32,1280,-0.0001626175046628806,-0.001006885310835268,0.0007257563838958339,descriptive selected-subset interval; no new hypothesis test
all_canonical,affect_acknowledgement,default_vs_context,32,1280,0.019820985591232097,0.01402024049312898,0.02526957850429687,descriptive selected-subset interval; no new hypothesis test
all_canonical,affect_acknowledgement,student_state_vs_domain,32,1280,0.009733918438119972,0.005363285345355982,0.013946583743703393,descriptive selected-subset interval; no new hypothesis test
mathematics,answer_reveal,default_vs_context,8,320,0.11623631526705727,0.09042596485745871,0.13960735839127536,descriptive selected-subset interval; no new hypothesis test
mathematics,answer_reveal,student_state_vs_domain,8,320,0.0006190782488853007,-0.0005891853372272556,0.0019356667426932404,descriptive selected-subset interval; no new hypothesis test
mathematics,reasoning_elicitation,default_vs_context,8,320,0.1389244858989538,0.1235769631026671,0.15289601460923904,descriptive selected-subset interval; no new hypothesis test
mathematics,reasoning_elicitation,student_state_vs_domain,8,320,0.0003015334933660768,-0.0012720737644708723,0.0018835684074574892,descriptive selected-subset interval; no new hypothesis test
mathematics,affect_acknowledgement,default_vs_context,8,320,0.01991879417770368,0.005556475786949497,0.03238867255552452,descriptive selected-subset interval; no new hypothesis test
mathematics,affect_acknowledgement,student_state_vs_domain,8,320,0.0138032830123996,0.008520371584642661,0.018665317503177,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,answer_reveal,default_vs_context,32,1255,0.0923391377461438,0.07243690957532829,0.11012356201981809,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,answer_reveal,student_state_vs_domain,32,1255,0.00046861488651789155,-0.0003339755888309191,0.001332907380579107,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,reasoning_elicitation,default_vs_context,32,1255,0.12947888150394443,0.12083005174576568,0.1377627650943102,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,reasoning_elicitation,student_state_vs_domain,32,1255,-0.0001719859560502799,-0.0010827104679909986,0.00078237341377056,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,affect_acknowledgement,default_vs_context,32,1255,0.0200999594554433,0.014210848079459118,0.025488589154320822,descriptive selected-subset interval; no new hypothesis test
without_unanimous_error_slots,affect_acknowledgement,student_state_vs_domain,32,1255,0.009869526091406526,0.0055152552743677795,0.01405034610447879,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,answer_reveal,default_vs_context,32,1065,0.0953451490918086,0.07677962221761855,0.11219508263220265,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,answer_reveal,student_state_vs_domain,32,1065,0.0007591913558053943,-0.00012205811653460482,0.0016936774669494077,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,reasoning_elicitation,default_vs_context,32,1065,0.13178871012175947,0.12250010714808629,0.1409177440346815,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,reasoning_elicitation,student_state_vs_domain,32,1065,0.0002283593265661962,-0.0008720256273099794,0.0013800755329095096,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,affect_acknowledgement,default_vs_context,32,1065,0.020680185624486612,0.0134720787326259,0.027191498445964104,descriptive selected-subset interval; no new hypothesis test
without_any_error_slots,affect_acknowledgement,student_state_vs_domain,32,1065,0.009890735149384305,0.005099311505850203,0.014724331330063026,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,answer_reveal,default_vs_context,32,1065,0.0953451490918086,0.07677962221761855,0.11219508263220265,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,answer_reveal,student_state_vs_domain,32,1065,0.0007591913558053943,-0.00012205811653460482,0.0016936774669494077,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,reasoning_elicitation,default_vs_context,32,1065,0.13178871012175947,0.12250010714808629,0.1409177440346815,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,reasoning_elicitation,student_state_vs_domain,32,1065,0.0002283593265661962,-0.0008720256273099794,0.0013800755329095096,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,affect_acknowledgement,default_vs_context,32,1065,0.020680185624486612,0.0134720787326259,0.027191498445964104,descriptive selected-subset interval; no new hypothesis test
without_error_or_uncertain_slots,affect_acknowledgement,student_state_vs_domain,32,1065,0.009890735149384305,0.005099311505850203,0.014724331330063026,descriptive selected-subset interval; no new hypothesis test
