model_requested,event,n,agreement,positive_agreement,negative_agreement
MiniMax-M2.7,affect_acknowledgement,16,0.875,0.8333333333333334,0.9
MiniMax-M2.7,answer_reveal,16,0.9375,0.967741935483871,0.0
MiniMax-M2.7,epistemic_qualification,16,0.9375,0.8888888888888888,0.9565217391304348
MiniMax-M2.7,information_request,16,1.0,,1.0
MiniMax-M2.7,learner_choice,16,0.9375,0.8571428571428571,0.96
MiniMax-M2.7,reasoning_elicitation,16,0.75,0.5,0.8333333333333334
MiniMax-M2.7,unsupported_ability_claim,16,1.0,1.0,1.0
MiniMax-M2.7,worked_explanation,16,1.0,1.0,
MiniMax-M3,affect_acknowledgement,16,0.875,0.9285714285714286,0.5
MiniMax-M3,answer_reveal,16,0.75,0.8571428571428571,0.0
MiniMax-M3,epistemic_qualification,16,1.0,1.0,1.0
MiniMax-M3,information_request,16,1.0,,1.0
MiniMax-M3,learner_choice,16,0.5625,0.2222222222222222,0.6956521739130435
MiniMax-M3,reasoning_elicitation,16,0.5,0.42857142857142855,0.5555555555555556
MiniMax-M3,unsupported_ability_claim,16,0.5,0.0,0.6666666666666666
MiniMax-M3,worked_explanation,16,1.0,1.0,
deepseek-v4-pro,affect_acknowledgement,16,0.6875,0.8148148148148148,0.0
deepseek-v4-pro,answer_reveal,16,1.0,1.0,
deepseek-v4-pro,epistemic_qualification,16,1.0,1.0,1.0
deepseek-v4-pro,information_request,16,0.9375,0.0,0.967741935483871
deepseek-v4-pro,learner_choice,16,0.875,0.0,0.9333333333333333
deepseek-v4-pro,reasoning_elicitation,16,0.875,0.6666666666666666,0.9230769230769231
deepseek-v4-pro,unsupported_ability_claim,16,0.9375,0.0,0.967741935483871
deepseek-v4-pro,worked_explanation,16,1.0,1.0,
doubao-seed-2.0-lite,affect_acknowledgement,16,0.875,0.9090909090909091,0.8
doubao-seed-2.0-lite,answer_reveal,16,1.0,1.0,
doubao-seed-2.0-lite,epistemic_qualification,16,0.875,0.75,0.9166666666666666
doubao-seed-2.0-lite,information_request,16,1.0,,1.0
doubao-seed-2.0-lite,learner_choice,16,0.9375,0.0,0.967741935483871
doubao-seed-2.0-lite,reasoning_elicitation,16,0.9375,0.0,0.967741935483871
doubao-seed-2.0-lite,unsupported_ability_claim,16,1.0,,1.0
doubao-seed-2.0-lite,worked_explanation,16,1.0,1.0,
glm-5.2,affect_acknowledgement,16,0.75,0.8181818181818182,0.6
glm-5.2,answer_reveal,16,0.875,0.6666666666666666,0.9230769230769231
glm-5.2,epistemic_qualification,16,0.9375,0.8571428571428571,0.96
glm-5.2,information_request,16,1.0,,1.0
glm-5.2,learner_choice,16,0.875,0.5,0.9285714285714286
glm-5.2,reasoning_elicitation,16,1.0,1.0,
glm-5.2,unsupported_ability_claim,16,1.0,,1.0
glm-5.2,worked_explanation,16,0.8125,0.8695652173913043,0.6666666666666666
